Overall graph size pval = 0.3528
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MYCN	0.0018	1.0	0.0015
RELA	0.5548	0.0093	1.0
FOS	0.3246	1.0	0.0379
ATM	0.1859	1.0	0.1012
ATR	0.1069	1.0	0.1018
CCNK	0.1839	1.0	0.1737
CCNT2	0.1839	1.0	0.1737
ELL	0.1839	1.0	0.1737
CCNT1	0.1839	1.0	0.1737
CCNH	0.1839	1.0	0.1737
ELOA	0.1839	1.0	0.1737
NELFB	0.1839	1.0	0.1737
ELOB	0.1839	1.0	0.1737
NELFA	0.1839	1.0	0.1737
NELFCD	0.1839	1.0	0.1737
ELOC	0.1839	1.0	0.1737
NELFE	0.1839	1.0	0.1737
SUPT16H	0.1839	1.0	0.1737
GTF2F1	0.1839	1.0	0.1737
GTF2F2	0.1839	1.0	0.1737
RAD51D	0.1839	1.0	0.1737
CTDP1	0.1839	1.0	0.1737
SUPT4H1	0.1839	1.0	0.1737
POLR2A	0.1839	1.0	0.1737
POLR2B	0.1839	1.0	0.1737
POLR2C	0.1839	1.0	0.1737
POLR2D	0.1839	1.0	0.1737
POLR2E	0.1839	1.0	0.1737
POLR2F	0.1839	1.0	0.1737
POLR2G	0.1839	1.0	0.1737
POLR2H	0.1839	1.0	0.1737
POLR2I	0.1839	1.0	0.1737
POLR2J	0.1839	1.0	0.1737
POLR2K	0.1839	1.0	0.1737
POLR2L	0.1839	1.0	0.1737
ELOA2	0.1839	1.0	0.1737
GTF2H1	0.1839	1.0	0.1737
ELOA3	0.1839	1.0	0.1737
GTF2H2	0.1839	1.0	0.1737
SSRP1	0.1839	1.0	0.1737
GTF2H3	0.1839	1.0	0.1737
SUPT5H	0.1839	1.0	0.1737
GTF2H4	0.1839	1.0	0.1737
GTF2H5	0.1839	1.0	0.1737
CDK9	0.1839	1.0	0.1737
CDK7	0.1839	1.0	0.1737
ERCC3	0.1839	1.0	0.1737
ELOA3D	0.1839	1.0	0.1737
TCEA1	0.1839	1.0	0.1737
ELOA3B	0.1839	1.0	0.1737
CDK12	0.1839	1.0	0.1737
MNAT1	0.1839	1.0	0.1737
FOXM1	0.2174	1.0	0.2079
ERCC2	0.2745	1.0	0.2608
BRCA1	0.2747	1.0	0.2612
ATF2	0.5501	1.0	0.2672
TP53	0.3105	0.5436	0.2791
FANCD2	0.3348	1.0	0.3213
CHEK1	0.4464	1.0	0.3236
MDC1	0.3403	1.0	0.3267
JUN	0.6507	1.0	0.3275
FANCI	0.343	1.0	0.3289
TFDP1	0.7659	1.0	0.3487
RBL2	0.445	0.4293	1.0
E2F4	0.462	0.4411	1.0
YBX1	0.669	0.541	1.0
RBL1	0.5612	0.548	1.0
STAT3	0.9226	0.5663	1.0
NR3C1	0.878	1.0	0.5723
HDAC1	0.7576	0.7441	1.0
E2F3	0.821	1.0	0.8105
SP1	0.9411	1.0	0.8219
E2F1	0.8767	1.0	0.8283
MYC	0.9386	1.0	0.9048
PTGDR	0.9797	1.0	0.9473
TP63	1.0	1.0	1.0
TFDP2	1.0	1.0	1.0
ESR1	1.0	1.0	1.0
