Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
ITGAV	upregulates-expression	ILK		ITGAV-G	-17.946018614770786	1.6074709881853E-8	ILK-G	-11.41355899664383	1.10447097903449E-5
RUNX1	upregulates-expression	MYL9		RUNX1-G	-8.928853537007322	1.325098551243E-4	MYL9-G	-9.135924159025823	1.077255079716E-4
RUNX2	upregulates-expression	ITGBL1		RUNX2-G	-7.466476082822157	5.719402198361E-4	ITGBL1-G	-16.415983172756643	7.423848371633019E-8
RUNX2	upregulates-expression	ITGA5		RUNX2-G	-7.466476082822157	5.719402198361E-4	ITGA5-G	-15.167538988961049	2.58714942631377E-7
RUNX2	upregulates-expression	MMP2		RUNX2-G	-7.466476082822157	5.719402198361E-4	MMP2-G	-19.63808100357095	2.9599868725460104E-9
COL10A1	upregulates-expression	RUNX2		COL10A1-G	-7.055553510896642	8.626051435731E-4	RUNX2-G	-7.466476082822157	5.719402198361E-4
CFB	upregulates-expression	STAT2		CFB-G	-11.089444847820616	1.5272681508660695E-5	STAT2-G	-6.713801501080704	0.0012140401661751
HSF1	downregulates-expression	BAG3		HSF1-G	6.62689756532415	0.0013242651656832	BAG3-G	-8.540259133737834	1.954396085882E-4
PARP1	downregulates-expression	SERPINF1		PARP1-G	6.556743494723124	0.0014205040654014	SERPINF1-G	-26.44108068447747	3.286885406557251E-12
ACTL6A	upregulates-expression	PTMA		ACTL6A-G	6.450463452436171	0.0015797898415992	PTMA-G	9.558013542789036	7.06329687652045E-5
RUNX2	upregulates-expression	COL1A1		RUNX2-G	-7.466476082822157	5.719402198361E-4	COL1A1-G	-5.899615853130087	0.002740497370075
ACTL6A	upregulates-expression	NCL		ACTL6A-G	6.450463452436171	0.0015797898415992	NCL-G	5.614761475361367	0.0036436787016344
EZH2	downregulates-expression	PIP5K1C		EZH2-G	5.28197677060662	0.0050823741682865	PIP5K1C-G	-5.540078585170279	0.0039262182836495
RUVBL1	upregulates-expression	NCL		RUVBL1-G	5.258863554494896	0.0052012122555615	NCL-G	5.614761475361367	0.0036436787016344
RUVBL1	upregulates-expression	PTMA		RUVBL1-G	5.258863554494896	0.0052012122555615	PTMA-G	9.558013542789036	7.06329687652045E-5
RBBP4	upregulates-expression	PLK1		RBBP4-G	9.591763629150531	6.8288879086264E-5	PLK1-G	5.100418640823706	0.0060941947526953
LIN9	upregulates-expression	PLK1		LIN9-G	5.1868130016131495	0.0055897931190574	PLK1-G	5.100418640823706	0.0060941947526953
RUVBL2	upregulates-expression	NCL		RUVBL2-G	4.995515280252631	0.0067682326636474	NCL-G	5.614761475361367	0.0036436787016344
RUVBL2	upregulates-expression	PTMA		RUVBL2-G	4.995515280252631	0.0067682326636474	PTMA-G	9.558013542789036	7.06329687652045E-5
CEBPZ	downregulates-expression	COL11A1		CEBPZ-G	4.873362668933746	0.0076476056356889	COL11A1-G	-16.415983172756643	7.423848371633019E-8
RBBP4	upregulates-expression	CCNB1		RBBP4-G	9.591763629150531	6.8288879086264E-5	CCNB1-G	4.644156055186926	0.0096176429955043
LIN9	upregulates-expression	CCNB1		LIN9-G	5.1868130016131495	0.0055897931190574	CCNB1-G	4.644156055186926	0.0096176429955043
RFX5	downregulates-expression	COL1A2		RFX5-G	4.5850414305540035	0.0102033270494994	COL1A2-G	-6.6661560321170965	0.0012732838180741
RUVBL2	upregulates-expression	HSPD1		RUVBL2-G	4.995515280252631	0.0067682326636474	HSPD1-G	4.471386567990445	0.0114314543678242
RUVBL1	upregulates-expression	HSPD1		RUVBL1-G	5.258863554494896	0.0052012122555615	HSPD1-G	4.471386567990445	0.0114314543678242
ACTL6A	upregulates-expression	HSPD1		ACTL6A-G	6.450463452436171	0.0015797898415992	HSPD1-G	4.471386567990445	0.0114314543678242
ZEB1	downregulates-expression	EPCAM		ZEB1-G	-7.404750554843665	6.083558577617E-4	EPCAM-G	4.358673515438999	0.012795349230618
EZH2	upregulates-expression	PCNA		EZH2-G	5.28197677060662	0.0050823741682865	PCNA-G	4.274876706963917	0.0139137640834064
KLF5	upregulates-expression	BIRC5		KLF5-G	4.231213959064177	0.014534735260571	BIRC5-G	8.350292727586494	2.363273287737E-4
KLF5	upregulates-expression	CCNB1		KLF5-G	4.231213959064177	0.014534735260571	CCNB1-G	4.644156055186926	0.0096176429955043
TRRAP	upregulates-expression	HSPD1		TRRAP-G	4.181516798615624	0.015275320401203	HSPD1-G	4.471386567990445	0.0114314543678242
TRRAP	upregulates-expression	NCL		TRRAP-G	4.181516798615624	0.015275320401203	NCL-G	5.614761475361367	0.0036436787016344
TRRAP	upregulates-expression	PTMA		TRRAP-G	4.181516798615624	0.015275320401203	PTMA-G	9.558013542789036	7.06329687652045E-5
MAX	upregulates-expression	PTMA		MAX-G	4.048184010595176	0.0174540422325496	PTMA-G	9.558013542789036	7.06329687652045E-5
MAX	downregulates-expression	PDGFRB		MAX-G	4.048184010595176	0.0174540422325496	PDGFRB-G	-21.489528717714833	4.64746640618894E-10
MAX	upregulates-expression	DKC1		MAX-G	4.048184010595176	0.0174540422325496	DKC1-G	5.64228216257229	0.003544769428028
MAX	downregulates-expression	COL1A2		MAX-G	4.048184010595176	0.0174540422325496	COL1A2-G	-6.6661560321170965	0.0012732838180741
MAX	downregulates-expression	LGALS1		MAX-G	4.048184010595176	0.0174540422325496	LGALS1-G	-11.864508972567561	7.035730938101268E-6
MAX	downregulates-expression	SFXN3		MAX-G	4.048184010595176	0.0174540422325496	SFXN3-G	-13.434781302507787	1.4633513573759E-6
MAX	downregulates-expression	ITGB1		MAX-G	4.048184010595176	0.0174540422325496	ITGB1-G	-7.642537365878759	4.796099608833E-4
MAX	upregulates-expression	RIOX2		MAX-G	4.048184010595176	0.0174540422325496	RIOX2-G	5.813220496633753	0.0029877923862656
MAX	upregulates-expression	CCNB1		MAX-G	4.048184010595176	0.0174540422325496	CCNB1-G	4.644156055186926	0.0096176429955043
MAX	upregulates-expression	DDX18		MAX-G	4.048184010595176	0.0174540422325496	DDX18-G	4.875366778269409	0.0076322943457133
MAX	upregulates-expression	HSPD1		MAX-G	4.048184010595176	0.0174540422325496	HSPD1-G	4.471386567990445	0.0114314543678242
MAX	upregulates-expression	BIRC5		MAX-G	4.048184010595176	0.0174540422325496	BIRC5-G	8.350292727586494	2.363273287737E-4
TAF9	upregulates-expression	HSPD1		TAF9-G	4.026511010464144	0.0178364527146876	HSPD1-G	4.471386567990445	0.0114314543678242
WT1	downregulates-expression	IGF2		WT1-G	4.015767363895391	0.0180291143497762	IGF2-G	-10.816324529467865	2.00691945205252E-5
HDAC2	downregulates-expression	COL1A2		HDAC2-G	4.015114937903005	0.0180408808505658	COL1A2-G	-6.6661560321170965	0.0012732838180741
ILF3	upregulates-expression	BIRC5		ILF3-G	4.004987295898531	0.0182245207833679	BIRC5-G	8.350292727586494	2.363273287737E-4
