Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
MAX	downregulates-expression	PDGFRB		MAX-G	4.048184010595176	0.0174540422325496	PDGFRB-R	-18.113306490382616	1.35984980149221E-8
MAX	downregulates-expression	PDGFRB		MAX-active-by-network-sig	1.0		PDGFRB-R	-18.113306490382616	1.35984980149221E-8
MYC	downregulates-expression	PDGFRB		MYC-active-by-network-sig	1.0		PDGFRB-R	-18.113306490382616	1.35984980149221E-8
RUNX2	upregulates-expression	MMP2		RUNX2-inactive-by-network-sig	-1.0		MMP2-R	-16.77731757867214	5.1725363868171695E-8
RUNX2	upregulates-expression	MMP2		RUNX2-G	-7.466476082822157	5.719402198361E-4	MMP2-R	-16.77731757867214	5.1725363868171695E-8
RUNX2	upregulates-expression	COL1A1		RUNX2-inactive-by-network-sig	-1.0		COL1A1-R	-15.406572057816643	2.0370925957667E-7
RUNX2	upregulates-expression	COL1A1		RUNX2-G	-7.466476082822157	5.719402198361E-4	COL1A1-R	-15.406572057816643	2.0370925957667E-7
MAX	downregulates-expression	COL1A2		MAX-G	4.048184010595176	0.0174540422325496	COL1A2-R	-15.0446260201662	2.92551235893533E-7
MAX	downregulates-expression	COL1A2		MAX-active-by-network-sig	1.0		COL1A2-R	-15.0446260201662	2.92551235893533E-7
MYC	downregulates-expression	COL1A2		MYC-active-by-network-sig	1.0		COL1A2-R	-15.0446260201662	2.92551235893533E-7
RUNX2	upregulates-expression	ITGBL1		RUNX2-G	-7.466476082822157	5.719402198361E-4	ITGBL1-R	-13.635109042584611	1.19769816082328E-6
RUNX2	upregulates-expression	ITGBL1		RUNX2-inactive-by-network-sig	-1.0		ITGBL1-R	-13.635109042584611	1.19769816082328E-6
E2F2	downregulates-expression	PLAU		E2F2-active-by-network-sig	1.0		PLAU-R	-12.489641341821846	3.76545692888772E-6
E2F3	downregulates-expression	PLAU		E2F3-active-by-network-sig	1.0		PLAU-R	-12.489641341821846	3.76545692888772E-6
E2F1	downregulates-expression	PLAU		E2F1-active-by-network-sig	1.0		PLAU-R	-12.489641341821846	3.76545692888772E-6
TFDP1	downregulates-expression	PLAU		TFDP1-active-by-network-sig	1.0		PLAU-R	-12.489641341821846	3.76545692888772E-6
SMAD4	upregulates-expression	ITGB5		SMAD4-inactive-by-network-sig	-1.0		ITGB5-R	-11.194897874723932	1.37441418113022E-5
RUNX2	upregulates-expression	SNAI2		RUNX2-inactive-by-network-sig	-1.0		SNAI2-R	-10.612487768670276	2.46067990597542E-5
RUNX2	upregulates-expression	SNAI2		RUNX2-G	-7.466476082822157	5.719402198361E-4	SNAI2-R	-10.612487768670276	2.46067990597542E-5
