Overall graph size pval = 0.0036
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
E2F2	0.007	1.0	1.0E-4
E2F3	0.0024	0.897	1.0E-4
MYC	0.1038	0.9991	1.0E-4
CDK2	0.0898	0.9981	1.0E-4
RUNX2	2.0E-4	1.0E-4	0.4285
FAM20C	1.0E-4	1.0E-4	1.0
SMAD4	1.0E-4	1.0E-4	0.6438
ESR1	0.0024	1.0E-4	0.637
RBL2	0.0125	1.0E-4	1.0
RBL1	0.0067	1.0E-4	1.0
MAX	0.0224	0.8823	3.0E-4
FYN	0.0086	3.0E-4	1.0
E2F4	0.0817	4.0E-4	1.0
RUVBL2	0.0205	1.0	5.0E-4
TP53	0.0193	5.0E-4	0.8611
E2F5	0.0424	6.0E-4	1.0
MYBL2	0.0182	1.0	6.0E-4
ESRRA	0.0174	1.0	6.0E-4
TFDP1	0.0014	0.3657	6.0E-4
NOTCH1	0.0043	9.0E-4	0.6155
TRRAP	0.0385	1.0	0.001
MYCN	0.0515	0.9685	0.001
CCNA2	0.0181	1.0	0.0013
E2F6	0.1032	0.0023	1.0
NRF1	0.0294	0.8126	0.0024
EPAS1	0.0471	0.0026	1.0
CDKN2A	0.0045	0.4365	0.0027
SRF	0.009	0.0028	0.6839
E2F1	0.0577	0.7845	0.0031
CAMK2D	0.013	0.0036	1.0
RBPJ	0.0177	0.0037	0.7746
PTTG1	0.0037	0.2431	0.0043
ETS1	0.137	0.0038	1.0
KLF2	0.0524	0.0042	1.0
ETV6	0.0398	0.0044	1.0
CHEK1	0.2271	1.0	0.0048
ACTL6A	0.0692	1.0	0.0053
SMAD2	0.0374	0.0058	1.0
PITX2	0.0322	0.0065	1.0
CTNNB1	0.0679	0.0073	0.8707
PARP1	0.0075	0.2505	0.0143
MED19	0.0517	0.0084	1.0
MED16	0.0517	0.0084	1.0
MED15	0.0517	0.0084	1.0
MED18	0.0517	0.0084	1.0
MED17	0.0517	0.0084	1.0
MED11	0.0517	0.0084	1.0
MED14	0.0517	0.0084	1.0
MED13	0.0517	0.0084	1.0
MED10	0.0517	0.0084	1.0
MED27	0.0517	0.0084	1.0
MED26	0.0517	0.0084	1.0
MED29	0.0517	0.0084	1.0
MED28	0.0517	0.0084	1.0
MED22	0.0517	0.0084	1.0
MED25	0.0517	0.0084	1.0
MED24	0.0517	0.0084	1.0
MED21	0.0517	0.0084	1.0
MED20	0.0517	0.0084	1.0
MED30	0.0517	0.0084	1.0
MED31	0.0517	0.0084	1.0
CCNC	0.0517	0.0084	1.0
MED13L	0.0517	0.0084	1.0
MED8	0.0517	0.0084	1.0
MED9	0.0517	0.0084	1.0
MED4	0.0517	0.0084	1.0
MED6	0.0517	0.0084	1.0
MED7	0.0517	0.0084	1.0
FAM120B	0.0517	0.0084	1.0
HOXB7	0.0153	0.0088	0.5531
LIN37	0.0092	0.0286	0.1951
SNW1	0.0106	0.0095	0.4581
LIN52	0.0101	0.0326	0.2003
ZBTB17	0.0109	0.3901	0.0103
PPARGC1A	0.0104	0.0343	0.1497
LIN54	0.0104	0.0301	0.2024
LIN9	0.0104	0.0301	0.2024
GATA3	0.0901	0.0107	0.8991
KLF4	0.0289	0.0109	0.5487
RUVBL1	0.1045	1.0	0.0111
IL4	0.1489	0.0111	1.0
CDK19	0.0615	0.0111	1.0
CDK8	0.0623	0.0111	1.0
