Overall graph size pval = 0.0158
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MYC	0.2214	1.0E-4	0.9995
TFDP1	0.0034	1.0E-4	0.4875
E2F2	0.0109	1.0E-4	1.0
E2F3	0.0045	1.0E-4	0.9249
SMAD4	3.0E-4	0.6216	1.0E-4
RBL2	0.0192	1.0	1.0E-4
RBL1	0.0078	1.0	1.0E-4
ESRRA	0.0262	3.0E-4	1.0
E2F4	0.0643	1.0	3.0E-4
RUNX2	4.0E-4	0.4133	5.0E-4
MAX	0.0541	7.0E-4	0.9333
E2F5	0.0558	1.0	7.0E-4
RUVBL2	0.0253	8.0E-4	1.0
TRRAP	0.0558	0.001	1.0
MYBL2	0.0254	0.0011	1.0
NRF1	0.0473	0.0013	0.8684
ESR1	0.0048	0.5966	0.0013
MYCN	0.0839	0.0014	0.9779
E2F1	0.1213	0.0017	0.9149
CDKN2A	0.0064	0.0023	0.4646
E2F6	0.1311	1.0	0.0028
PTTG1	0.0076	0.0036	0.334
CDK1	0.0434	0.0039	1.0
NOTCH1	0.0094	0.5895	0.0041
SRF	0.0112	0.6553	0.0043
ACTL6A	0.082	0.0049	1.0
TP53	0.0821	0.8811	0.0064
KLF2	0.0664	1.0	0.0067
ETV6	0.0459	1.0	0.0076
EPAS1	0.0757	1.0	0.0078
PARP1	0.0081	0.0131	0.2624
SMAD2	0.0415	1.0	0.0081
ETS1	0.202	1.0	0.0098
RBPJ	0.0323	0.754	0.0099
KAT5	0.0512	0.0101	0.7531
IL4	0.1538	1.0	0.0102
RUVBL1	0.1244	0.0111	1.0
GABPA	0.2256	0.0127	1.0
PITX2	0.05	1.0	0.0132
GABPB1	0.2289	0.0135	1.0
MED8	0.067	1.0	0.0138
MED9	0.067	1.0	0.0138
MED4	0.067	1.0	0.0138
MED6	0.067	1.0	0.0138
MED7	0.067	1.0	0.0138
CDK19	0.067	1.0	0.0138
MED19	0.067	1.0	0.0138
MED16	0.067	1.0	0.0138
MED15	0.067	1.0	0.0138
MED18	0.067	1.0	0.0138
MED17	0.067	1.0	0.0138
MED11	0.067	1.0	0.0138
MED14	0.067	1.0	0.0138
MED13	0.067	1.0	0.0138
MED10	0.067	1.0	0.0138
MED27	0.067	1.0	0.0138
MED26	0.067	1.0	0.0138
MED29	0.067	1.0	0.0138
MED28	0.067	1.0	0.0138
MED22	0.067	1.0	0.0138
MED25	0.067	1.0	0.0138
MED24	0.067	1.0	0.0138
MED21	0.067	1.0	0.0138
MED20	0.067	1.0	0.0138
MED30	0.067	1.0	0.0138
MED31	0.067	1.0	0.0138
CDK8	0.067	1.0	0.0138
CCNC	0.067	1.0	0.0138
MED13L	0.067	1.0	0.0138
FAM120B	0.067	1.0	0.0138
SNW1	0.0143	0.433	0.0179
LIN54	0.0146	0.2356	0.0289
LIN52	0.0146	0.2356	0.0289
LIN37	0.0146	0.2356	0.0289
LIN9	0.0146	0.2356	0.0289
FANCD2	0.2257	0.0157	1.0
HOXB7	0.0246	0.5659	0.0162
FOXM1	0.0393	0.0171	0.404
EZH2	0.018	0.1243	0.0796
PPARGC1A	0.0192	0.1214	0.0768
POLR2F	0.2823	0.0194	1.0
GATA2	0.1607	1.0	0.0198
MED23	0.0955	1.0	0.0213
WWTR1	0.0927	1.0	0.0225
THRAP3	0.024	0.5013	0.0227
CTNNB1	0.0935	0.8301	0.0231
GATA3	0.1346	0.9115	0.0234
FOSL1	0.0272	0.4576	0.0242
KLF10	0.1189	1.0	0.0243
ZNF382	0.0246	0.0265	0.4595
KAT2A	0.0257	0.076	0.1565
KLF4	0.0489	0.5601	0.0261
POU1F1	0.0823	1.0	0.0272
PCNA	0.2279	0.0291	1.0
POLE3	0.2283	0.0305	1.0
ASF1B	0.2268	0.0314	1.0
MED12	0.1279	1.0	0.0335
TWIST2	0.0364	0.1388	0.1459
MITF	0.165	1.0	0.0371
NELFCD	0.1355	0.0389	0.7412
MAML2	0.0635	0.6321	0.0397
RB1	0.1898	0.801	0.0398
MCM5	0.2306	0.0455	1.0
IL13	0.3546	1.0	0.0469
NKX3-1	0.0472	0.1001	0.3165
NCOA3	0.0487	0.1706	0.1427
BRCA1	0.1107	0.0496	0.579
TSC22D3	0.0497	0.1014	0.3237
HIST2H2AA3	0.0501	0.2593	0.126
HIST2H2AC	0.0501	0.2593	0.126
HIST1H2AD	0.0501	0.2593	0.126
HIST1H2AB	0.0501	0.2593	0.126
HIST1H2AJ	0.0501	0.2593	0.126
H2AFB1	0.0501	0.2593	0.126
H2AFJ	0.0501	0.2593	0.126
H2AFZ	0.0501	0.2593	0.126
H2AFX	0.0501	0.2593	0.126
H2AFV	0.0501	0.2593	0.126
SMAD3	0.0505	0.208	0.1158
ELK1	0.3971	0.0506	1.0
SMAD7	0.0528	0.0857	0.3024
CITED2	0.053	0.3765	0.082
MAML1	0.1074	0.717	0.0534
EGR1	0.058	0.4281	0.0566
HEY2	0.0723	0.5452	0.0574
STAT6	0.386	1.0	0.0594
CDC6	0.1191	0.0604	0.6072
CDC25A	0.3125	0.0605	1.0
ZBTB17	0.0611	0.0626	0.4366
MDC1	0.3885	0.0628	1.0
ZNF300	0.2313	0.0629	1.0
RAD51D	0.387	0.0632	1.0
ATR	0.3901	0.0636	1.0
FOXP2	0.2329	1.0	0.0639
WT1	0.1532	0.0649	0.669
MSC	0.2811	1.0	0.0663
ELL	0.1723	0.0667	0.7389
SIRT1	0.0669	0.1843	0.1765
FOS	0.256	0.8943	0.0677
RBBP4	0.0754	0.4255	0.0686
REL	0.2142	0.0695	0.785
ATF3	0.2817	0.0711	1.0
NFIC	0.3907	0.0711	1.0
HSF1	0.0767	0.0905	0.3858
VHL	0.3898	1.0	0.0781
TFDP2	0.0787	0.0908	0.3293
CDK12	0.461	0.0802	1.0
ELOA	0.461	0.0802	1.0
ELOB	0.461	0.0802	1.0
ELOC	0.461	0.0802	1.0
NELFA	0.461	0.0802	1.0
NELFE	0.461	0.0802	1.0
MMP13	0.2322	1.0	0.0802
CTDP1	0.461	0.0802	1.0
GTF2H1	0.461	0.0802	1.0
GTF2H3	0.461	0.0802	1.0
GTF2H4	0.461	0.0802	1.0
GTF2H5	0.461	0.0802	1.0
CCNT2	0.461	0.0802	1.0
SUPT16H	0.461	0.0802	1.0
ELOA2	0.461	0.0802	1.0
ELOA3	0.461	0.0802	1.0
CDK7	0.461	0.0802	1.0
MNAT1	0.461	0.0802	1.0
CCNK	0.461	0.0802	1.0
CCNH	0.461	0.0802	1.0
SUPT4H1	0.461	0.0802	1.0
ELOA3D	0.461	0.0802	1.0
TCEA1	0.461	0.0802	1.0
ELOA3B	0.461	0.0802	1.0
SUPT5H	0.461	0.0802	1.0
ERCC3	0.461	0.0802	1.0
TFE3	0.0818	0.3058	0.1675
HIST3H2BB	0.0827	0.3027	0.1681
H3F3B	0.0827	0.3027	0.1681
HIST2H3C	0.0827	0.3027	0.1681
HIST1H3E	0.0827	0.3027	0.1681
HIST1H4C	0.0827	0.3027	0.1681
HIST1H2AC	0.0827	0.3027	0.1681
HIST1H2BH	0.0827	0.3027	0.1681
HIST1H2BG	0.0827	0.3027	0.1681
HIST1H2BB	0.0827	0.3027	0.1681
HIST1H2BA	0.0827	0.3027	0.1681
HIST1H2BD	0.0827	0.3027	0.1681
H2BFS	0.0827	0.3027	0.1681
HIST1H2BN	0.0827	0.3027	0.1681
HIST1H2BM	0.0827	0.3027	0.1681
HIST1H2BO	0.0827	0.3027	0.1681
HIST1H2BJ	0.0827	0.3027	0.1681
HIST1H2BL	0.0827	0.3027	0.1681
HIST1H2BK	0.0827	0.3027	0.1681
LEF1	0.2866	0.9149	0.0903
BCL2	0.093	0.4693	0.1176
PROX1	0.3349	0.0949	1.0
NF1	0.3893	0.0951	1.0
APC	0.4502	1.0	0.0963
CCNT1	0.5281	0.0983	1.0
GTF2F1	0.5281	0.0983	1.0
GTF2F2	0.5281	0.0983	1.0
CDK9	0.5281	0.0983	1.0
POLR2A	0.5281	0.0983	1.0
POLR2B	0.5281	0.0983	1.0
POLR2C	0.5281	0.0983	1.0
POLR2D	0.5281	0.0983	1.0
POLR2E	0.5281	0.0983	1.0
POLR2G	0.5281	0.0983	1.0
POLR2H	0.5281	0.0983	1.0
POLR2I	0.5281	0.0983	1.0
POLR2J	0.5281	0.0983	1.0
POLR2K	0.5281	0.0983	1.0
POLR2L	0.5281	0.0983	1.0
HIC1	0.0984	0.285	0.1867
EDNRA	0.2374	1.0	0.099
CDKN1A	0.0992	0.3922	0.1314
HEY1	0.1008	0.4665	0.0995
IRF2	0.3107	0.1007	1.0
ERBB4	0.1332	0.6002	0.1032
ATF4	0.3788	0.1054	0.8459
MAML3	0.1389	0.6105	0.1078
MAMLD1	0.1389	0.6105	0.1078
TWIST1	0.1087	0.1383	0.3658
JUN	0.1747	0.5998	0.1089
GTF2H2	0.2277	0.1146	0.686
RELA	0.2243	0.6861	0.1156
SIN3A	0.5726	1.0	0.1159
CREB1	0.2646	0.1168	0.6706
DCT	0.3157	1.0	0.1169
PTGDR	0.133	0.117	0.4236
SSRP1	0.285	0.1171	0.7462
NELFB	0.522	0.1195	1.0
NKX2-5	0.3134	0.122	1.0
HIST2H2BE	0.1273	0.3885	0.1907
NPM1	0.1287	0.2626	0.2802
HDAC7	0.1661	0.1307	0.6088
EP300	0.2598	0.7479	0.131
NFKB1	0.197	0.5815	0.133
NANOG	0.1361	0.4172	0.1529
HBP1	0.3099	0.1433	1.0
IL6ST	0.3142	1.0	0.1459
TCF3	0.4517	1.0	0.1468
TP63	0.2756	0.7369	0.1474
KAT2B	0.1483	0.4181	0.1939
MYB	0.3367	0.1487	0.7058
NPAS2	0.1858	0.6456	0.1492
POU5F1	0.1499	0.2304	0.3248
HDAC4	0.4529	0.1518	1.0
MAPK3	0.3348	1.0	0.1537
YY1	0.1991	0.155	0.514
MLX	0.3101	1.0	0.1656
SNAI2	0.2975	0.7639	0.1668
AHR	0.1668	0.1851	0.4272
YBX1	0.4688	0.9054	0.1679
MAPK1	0.1686	0.5294	0.1854
HDAC5	0.3837	0.1703	1.0
ERG	0.5015	1.0	0.1711
AGO2	0.1724	0.1878	0.5283
KLF8	0.1735	0.5154	0.1877
ARNTL	0.22	0.6685	0.1737
NOTCH4	0.3229	1.0	0.1752
SP1	0.3693	0.7994	0.1761
IRF3	0.1792	0.4798	0.2101
CBFB	0.4402	0.9321	0.1796
DNMT1	0.5756	0.1809	1.0
VEGFA	0.3821	1.0	0.1868
ARNT	0.612	0.9894	0.1874
IRF9	0.452	1.0	0.1883
LMO2	0.2365	0.1936	0.6114
SP3	0.2166	0.5236	0.2044
HDAC2	0.5439	0.2081	1.0
TERT	0.2777	0.6508	0.211
PPARG	0.2134	0.361	0.283
SMARCA4	0.3312	0.2166	0.7115
MOV10	0.2173	0.2231	0.5553
AGO3	0.2173	0.2231	0.5553
AGO4	0.2173	0.2231	0.5553
AGO1	0.2173	0.2231	0.5553
TNRC6C	0.2173	0.2231	0.5553
TNRC6A	0.2173	0.2231	0.5553
TNRC6B	0.2173	0.2231	0.5553
NCOA1	0.5536	0.9671	0.2196
SNAI1	0.2254	0.2635	0.5072
