Overall graph size pval = 0.0176
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MYC	0.224	0.9998	1.0E-4
E2F2	0.0103	1.0	1.0E-4
E2F3	0.0053	0.932	1.0E-4
E2F4	0.065	1.0E-4	1.0
SMAD4	3.0E-4	1.0E-4	0.6321
RBL2	0.0174	1.0E-4	1.0
RBL1	0.0069	1.0E-4	1.0
TFDP1	0.0031	0.4947	3.0E-4
RUNX2	5.0E-4	3.0E-4	0.4156
MYBL2	0.0251	1.0	4.0E-4
RUVBL2	0.0262	1.0	6.0E-4
MYCN	0.0831	0.9749	6.0E-4
TRRAP	0.0545	1.0	7.0E-4
MAX	0.0543	0.9291	7.0E-4
E2F5	0.0561	7.0E-4	1.0
ESRRA	0.0249	1.0	0.0011
E2F1	0.1186	0.9196	0.0013
ESR1	0.0062	0.0017	0.5949
NRF1	0.0459	0.8654	0.0021
PTTG1	0.0059	0.3434	0.0022
CDKN2A	0.0075	0.4691	0.0028
E2F6	0.1283	0.0029	1.0
ACTL6A	0.08	1.0	0.0043
NOTCH1	0.0085	0.0045	0.5827
SRF	0.0131	0.0051	0.6528
CDK1	0.0479	1.0	0.0057
ETV6	0.047	0.0057	1.0
TP53	0.0904	0.0061	0.8693
KLF2	0.0663	0.0074	1.0
SMAD2	0.0463	0.0081	1.0
EPAS1	0.073	0.0087	1.0
PARP1	0.0091	0.2656	0.0143
IL4	0.1481	0.0092	1.0
RBPJ	0.0299	0.0097	0.75
KAT5	0.0554	0.7509	0.0097
ETS1	0.2085	0.0098	1.0
RUVBL1	0.1246	1.0	0.01
PITX2	0.0477	0.0103	1.0
GABPA	0.224	1.0	0.0126
GABPB1	0.2198	1.0	0.0128
SNW1	0.0137	0.0183	0.4292
MED8	0.0669	0.0138	1.0
MED9	0.0669	0.0138	1.0
MED4	0.0669	0.0138	1.0
MED6	0.0669	0.0138	1.0
MED7	0.0669	0.0138	1.0
CDK19	0.0669	0.0138	1.0
MED19	0.0669	0.0138	1.0
MED16	0.0669	0.0138	1.0
MED15	0.0669	0.0138	1.0
MED18	0.0669	0.0138	1.0
MED17	0.0669	0.0138	1.0
MED11	0.0669	0.0138	1.0
MED14	0.0669	0.0138	1.0
MED13	0.0669	0.0138	1.0
MED10	0.0669	0.0138	1.0
MED27	0.0669	0.0138	1.0
MED26	0.0669	0.0138	1.0
MED29	0.0669	0.0138	1.0
MED28	0.0669	0.0138	1.0
MED22	0.0669	0.0138	1.0
MED25	0.0669	0.0138	1.0
MED24	0.0669	0.0138	1.0
MED21	0.0669	0.0138	1.0
MED20	0.0669	0.0138	1.0
MED30	0.0669	0.0138	1.0
MED31	0.0669	0.0138	1.0
CDK8	0.0669	0.0138	1.0
CCNC	0.0669	0.0138	1.0
MED13L	0.0669	0.0138	1.0
FAM120B	0.0669	0.0138	1.0
LIN54	0.0152	0.0313	0.244
LIN52	0.0152	0.0313	0.244
LIN37	0.0152	0.0313	0.244
LIN9	0.0152	0.0313	0.244
HOXB7	0.0251	0.0154	0.5723
PPARGC1A	0.0187	0.0821	0.1234
EZH2	0.019	0.0737	0.1231
FOXM1	0.0421	0.412	0.0193
GATA2	0.162	0.0198	1.0
POLR2F	0.2851	1.0	0.0199
FANCD2	0.2302	1.0	0.0206
THRAP3	0.0226	0.0217	0.4998
GATA3	0.137	0.0219	0.911
MED23	0.0981	0.0228	1.0
CTNNB1	0.0894	0.0231	0.8269
ZNF382	0.0235	0.4608	0.0287
KLF4	0.0489	0.0237	0.5617
KAT2A	0.0238	0.1606	0.0798
WWTR1	0.0957	0.0246	1.0
KLF10	0.1293	0.0256	1.0
POU1F1	0.0791	0.0267	1.0
FOSL1	0.0306	0.0273	0.4583
ASF1B	0.2335	1.0	0.0321
PCNA	0.2351	1.0	0.0321
MED12	0.1263	0.0323	1.0
POLE3	0.2361	1.0	0.033
MITF	0.162	0.0358	1.0
TWIST2	0.0373	0.1405	0.1405
NELFCD	0.127	0.7322	0.0402
IL13	0.3461	0.0414	1.0
RB1	0.2015	0.0427	0.8016
MAML2	0.0622	0.0428	0.6317
ELK1	0.3837	1.0	0.0436
MCM5	0.2363	1.0	0.0446
NCOA3	0.0466	0.1407	0.1685
HIST2H2AA3	0.047	0.1217	0.26
HIST2H2AC	0.047	0.1217	0.26
HIST1H2AD	0.047	0.1217	0.26
HIST1H2AB	0.047	0.1217	0.26
HIST1H2AJ	0.047	0.1217	0.26
H2AFB1	0.047	0.1217	0.26
H2AFJ	0.047	0.1217	0.26
H2AFZ	0.047	0.1217	0.26
H2AFX	0.047	0.1217	0.26
H2AFV	0.047	0.1217	0.26
TSC22D3	0.0472	0.3238	0.097
CITED2	0.0489	0.0818	0.3641
NKX3-1	0.0499	0.3124	0.1102
SMAD3	0.0501	0.1212	0.2
BRCA1	0.1067	0.5682	0.0516
EGR1	0.0613	0.0537	0.4275
MAML1	0.1004	0.0539	0.7168
STAT6	0.3794	0.0574	1.0
ZBTB17	0.0574	0.4314	0.0602
SMAD7	0.0583	0.3113	0.0887
CDC6	0.1237	0.6132	0.0604
HEY2	0.0714	0.0612	0.5386
ZNF300	0.2316	1.0	0.0621
FOXP2	0.238	0.0625	1.0
CDC25A	0.3123	1.0	0.0629
ELL	0.1683	0.7303	0.0639
ATR	0.387	1.0	0.0649
MDC1	0.3869	1.0	0.0657
RAD51D	0.3926	1.0	0.0657
WT1	0.1579	0.6761	0.0661
RBBP4	0.0789	0.0673	0.4383
MSC	0.2906	0.0679	1.0
NFIC	0.3843	1.0	0.0681
ATF3	0.287	1.0	0.0688
FOS	0.2568	0.0701	0.8911
REL	0.2125	0.7823	0.0716
SIRT1	0.073	0.1814	0.1937
HSF1	0.0759	0.3797	0.0886
VHL	0.398	0.0775	1.0
TFDP2	0.0776	0.329	0.0849
MMP13	0.229	0.0782	1.0
HIST3H2BB	0.0823	0.1649	0.303
H3F3B	0.0823	0.1649	0.303
HIST2H3C	0.0823	0.1649	0.303
HIST1H3E	0.0823	0.1649	0.303
HIST1H4C	0.0823	0.1649	0.303
HIST1H2AC	0.0823	0.1649	0.303
HIST1H2BH	0.0823	0.1649	0.303
HIST1H2BG	0.0823	0.1649	0.303
HIST1H2BB	0.0823	0.1649	0.303
HIST1H2BA	0.0823	0.1649	0.303
HIST1H2BD	0.0823	0.1649	0.303
H2BFS	0.0823	0.1649	0.303
HIST1H2BN	0.0823	0.1649	0.303
HIST1H2BM	0.0823	0.1649	0.303
HIST1H2BO	0.0823	0.1649	0.303
HIST1H2BJ	0.0823	0.1649	0.303
HIST1H2BL	0.0823	0.1649	0.303
HIST1H2BK	0.0823	0.1649	0.303
CDK12	0.4586	1.0	0.0837
ELOA	0.4586	1.0	0.0837
ELOB	0.4586	1.0	0.0837
ELOC	0.4586	1.0	0.0837
NELFA	0.4586	1.0	0.0837
NELFE	0.4586	1.0	0.0837
CTDP1	0.4586	1.0	0.0837
GTF2H1	0.4586	1.0	0.0837
GTF2H3	0.4586	1.0	0.0837
GTF2H4	0.4586	1.0	0.0837
GTF2H5	0.4586	1.0	0.0837
CCNT2	0.4586	1.0	0.0837
SUPT16H	0.4586	1.0	0.0837
ELOA2	0.4586	1.0	0.0837
ELOA3	0.4586	1.0	0.0837
CDK7	0.4586	1.0	0.0837
MNAT1	0.4586	1.0	0.0837
CCNK	0.4586	1.0	0.0837
CCNH	0.4586	1.0	0.0837
SUPT4H1	0.4586	1.0	0.0837
ELOA3D	0.4586	1.0	0.0837
TCEA1	0.4586	1.0	0.0837
ELOA3B	0.4586	1.0	0.0837
SUPT5H	0.4586	1.0	0.0837
ERCC3	0.4586	1.0	0.0837
TFE3	0.0869	0.173	0.307
LEF1	0.2928	0.0878	0.9168
PROX1	0.3343	1.0	0.09
IRF2	0.3051	1.0	0.0916
EDNRA	0.2334	0.0947	1.0
HIC1	0.0949	0.184	0.2812
APC	0.4474	0.0959	1.0
CDKN1A	0.0973	0.1291	0.3902
NF1	0.3807	1.0	0.0976
BCL2	0.1001	0.123	0.4647
CCNT1	0.5225	1.0	0.1026
GTF2F1	0.5225	1.0	0.1026
GTF2F2	0.5225	1.0	0.1026
CDK9	0.5225	1.0	0.1026
POLR2A	0.5225	1.0	0.1026
POLR2B	0.5225	1.0	0.1026
POLR2C	0.5225	1.0	0.1026
POLR2D	0.5225	1.0	0.1026
POLR2E	0.5225	1.0	0.1026
POLR2G	0.5225	1.0	0.1026
POLR2H	0.5225	1.0	0.1026
POLR2I	0.5225	1.0	0.1026
POLR2J	0.5225	1.0	0.1026
POLR2K	0.5225	1.0	0.1026
POLR2L	0.5225	1.0	0.1026
HEY1	0.1095	0.1054	0.4608
ATF4	0.3885	0.8441	0.1062
TWIST1	0.1079	0.3418	0.1391
ERBB4	0.1351	0.1093	0.5925
MAML3	0.1322	0.1094	0.6081
MAMLD1	0.1322	0.1094	0.6081
PTGDR	0.134	0.4292	0.1139
CREB1	0.2733	0.6713	0.1139
JUN	0.1743	0.1158	0.5911
RELA	0.2228	0.1173	0.68
NKX2-5	0.3138	1.0	0.1177
HIST2H2BE	0.1219	0.1864	0.3911
GTF2H2	0.2273	0.6779	0.1226
DCT	0.3056	0.1227	1.0
SIN3A	0.577	0.124	1.0
SSRP1	0.2781	0.7366	0.1243
NELFB	0.5261	1.0	0.1279
EP300	0.2488	0.129	0.744
NPM1	0.1298	0.2807	0.2629
HDAC7	0.1707	0.6198	0.1374
NFKB1	0.188	0.1386	0.5766
HBP1	0.3037	1.0	0.1397
NANOG	0.1399	0.1519	0.4173
IL6ST	0.3106	0.1411	1.0
TCF3	0.4546	0.1416	1.0
MAPK3	0.3282	0.1476	1.0
MYB	0.3404	0.7085	0.148
POU5F1	0.1489	0.3282	0.2269
TP63	0.2726	0.149	0.742
HDAC4	0.4474	1.0	0.15
NPAS2	0.1949	0.1541	0.6559
KAT2B	0.1564	0.196	0.4167
YY1	0.1946	0.5065	0.1572
SNAI2	0.3031	0.1577	0.7661
MAPK1	0.1625	0.1827	0.5178
ERG	0.4983	0.1652	1.0
YBX1	0.4671	0.1653	0.9095
MLX	0.3119	0.1679	1.0
HDAC5	0.3895	1.0	0.1682
IRF3	0.1686	0.2174	0.4748
AGO2	0.1687	0.5307	0.1806
NOTCH4	0.311	0.1687	1.0
AHR	0.1709	0.4357	0.1824
DNMT1	0.5708	1.0	0.1731
KLF8	0.174	0.1861	0.5122
CBFB	0.4428	0.1745	0.9301
ARNT	0.606	0.1775	0.9891
ARNTL	0.2317	0.1783	0.6779
SP1	0.3677	0.1817	0.7914
VEGFA	0.3759	0.1867	1.0
LMO2	0.2269	0.6025	0.1883
IRF9	0.4618	0.194	1.0
HDAC2	0.5431	1.0	0.203
PPARG	0.2071	0.2759	0.3588
TERT	0.2786	0.2079	0.6476
MOV10	0.2109	0.5587	0.2178
AGO3	0.2109	0.5587	0.2178
AGO4	0.2109	0.5587	0.2178
AGO1	0.2109	0.5587	0.2178
TNRC6C	0.2109	0.5587	0.2178
TNRC6A	0.2109	0.5587	0.2178
TNRC6B	0.2109	0.5587	0.2178
SP3	0.226	0.2122	0.5234
SMARCA4	0.3329	0.7018	0.2126
TCF7L2	0.222	0.3722	0.3168
NCOA1	0.5541	0.2224	0.9652
SOX2	0.2229	0.3375	0.3464
SNAI1	0.2254	0.4967	0.27
POU4F1	0.2308	0.4022	0.3664
MLLT10	0.2317	0.3651	0.405
PIK3CA	0.2326	0.4579	0.3087
PURA	0.2339	0.3132	0.4562
DLX5	0.2341	0.4524	0.314
MSX1	0.2345	0.4464	0.3169
FOXQ1	0.2348	0.4941	0.2741
TP73	0.4882	0.7589	0.2352
ERCC2	0.4491	0.7949	0.2359
IRF1	0.3099	0.2446	0.6258
CLOCK	0.347	0.2482	0.7531
NFYA	0.6503	0.8973	0.2614
ATM	0.8068	1.0	0.2622
NR2F1	0.6336	0.2641	1.0
MLXIPL	0.4549	0.2646	1.0
JAK3	0.6437	1.0	0.2662
PRDM1	0.6414	0.2675	1.0
E2F7	0.651	0.2691	1.0
MTOR	0.6481	1.0	0.2693
SUPT7L	0.6375	1.0	0.2721
TAF12	0.6375	1.0	0.2721
TAF10	0.6375	1.0	0.2721
JUNB	0.6419	0.2752	1.0
NCOR1	0.3517	0.2766	0.5946
JUND	0.2784	0.3073	0.4916
CCND1	0.4435	0.7715	0.2789
HES1	0.2978	0.3561	0.465
GLI2	0.6345	0.2994	1.0
RUNX1	0.6612	0.305	0.9606
FOSL2	0.588	0.3054	1.0
GATA6	0.306	0.4818	0.3987
SOX6	0.3076	0.4019	0.4846
TAL1	0.3077	0.4883	0.4051
POU2F1	0.389	0.3078	0.7138
SOX17	0.3084	0.3541	0.5148
ZBTB7A	0.7138	0.3084	1.0
JAK1	0.7109	1.0	0.3106
CCND3	0.3107	0.4843	0.4022
ZFHX3	0.6407	0.3107	1.0
SP4	0.708	1.0	0.312
SALL4	0.3128	0.4494	0.4446
RUNX3	0.3128	0.459	0.3594
MET	0.3133	0.5276	0.357
TRIM28	0.7105	0.3135	1.0
TFAP2B	0.6437	1.0	0.3135
HMGA1	0.3379	0.3144	0.6247
BCL6	0.3155	0.4405	0.3995
ATF5	0.64	1.0	0.3156
SUPT3H	0.7065	1.0	0.3156
ZEB2	0.3177	0.4496	0.447
FOXD3	0.647	1.0	0.3241
RXRB	0.649	1.0	0.3251
KLF5	0.3326	0.408	0.4928
HOXA10	0.6857	1.0	0.3336
NR4A1	0.3954	0.3364	0.6752
EDN1	0.5819	0.3427	1.0
TCF4	0.5839	0.8426	0.3448
TFAP2C	0.3453	0.3965	0.5324
MTA1	0.3481	0.4758	0.4226
PPP1R13B	0.7576	1.0	0.3503
TP53BP2	0.7576	1.0	0.3503
SATB1	0.6352	0.354	1.0
FANCI	0.7665	1.0	0.3595
TIMP3	0.6431	1.0	0.3611
DAPK2	0.6431	1.0	0.3657
AKT1	0.7144	1.0	0.366
RXRG	0.7143	1.0	0.3669
ANKRD1	0.6455	1.0	0.3677
MCM6	0.6483	1.0	0.3679
CTCF	0.6453	0.3714	1.0
CIITA	0.7999	1.0	0.3727
ELF3	0.3769	0.5476	0.4361
ETV4	0.6366	0.3824	1.0
ESR2	0.3836	0.4852	0.5126
ATF2	0.4513	0.3858	0.6582
HELZ2	0.6842	0.386	0.9495
RAD51	0.4525	0.6554	0.3864
XBP1	0.6253	0.7782	0.3867
PITX1	0.3909	0.5658	0.4365
NOTCH3	0.3945	0.416	0.5903
PAX5	0.3951	0.5355	0.4279
EHMT2	0.7029	0.396	1.0
TAF9	0.4537	0.654	0.3971
F2	0.7138	1.0	0.4035
GATA4	0.6817	0.4056	1.0
PIAS1	0.7137	1.0	0.4058
LHX2	0.6542	0.411	1.0
HDAC1	0.4342	0.4207	0.5424
OTX2	0.5179	0.6981	0.425
PML	0.6483	0.8448	0.428
MED1	0.7315	0.4296	0.9546
CDX2	0.7443	0.4318	1.0
CHEK1	0.8052	1.0	0.4361
HIPK2	0.7619	0.44	1.0
FOSB	0.7004	1.0	0.4413
DDIT3	0.5944	0.7914	0.4444
ING1	0.6488	0.4454	1.0
ING4	0.5482	0.744	0.4473
MAF	0.6467	0.4513	1.0
PAX8	0.4523	0.5771	0.5054
NR2F2	0.6463	1.0	0.4524
HDAC3	0.5231	0.7287	0.4543
FOXF2	0.4584	0.5069	0.5755
HIF1A	0.6872	0.4589	0.8683
MAZ	0.6512	0.4613	1.0
NCOA2	0.642	0.4648	0.8458
SOX9	0.7583	0.4653	1.0
ELF1	0.5358	0.6971	0.4674
GLI3	0.7652	0.4715	1.0
IL8	0.7628	1.0	0.4759
INS	0.7641	1.0	0.4777
HIF3A	0.6362	0.4803	1.0
CREB3L3	0.6436	0.4862	1.0
TCF7	0.6401	0.4867	1.0
PBX1	0.64	0.488	1.0
NEUROG3	0.6415	0.4898	1.0
NOTCH2	0.6415	0.491	1.0
PAX3	0.6449	0.496	1.0
NR1H4	0.7938	0.4969	1.0
IL2RG	0.897	1.0	0.503
APEX1	0.5227	0.6564	0.5088
TBX21	0.8086	0.5108	1.0
USF2	0.734	0.831	0.5139
ILF3	0.7071	0.5162	1.0
BTF3	0.5182	0.5637	0.5995
RORA	0.7094	0.5187	1.0
SPDEF	0.5704	0.6961	0.5293
IL2RB	0.8958	1.0	0.5382
IL37	0.9254	1.0	0.5466
CREBBP	0.7402	0.5513	0.8597
MMP7	0.7095	0.553	1.0
NR1H3	0.7125	0.5602	1.0
NR5A1	0.9149	1.0	0.5616
IL2RA	0.6823	0.7846	0.5626
PAX6	0.6372	0.7355	0.5739
TFAP2A	0.5754	0.5875	0.5887
MSX2	0.8059	1.0	0.5755
IRF8	0.8149	0.5783	1.0
HNF4A	0.8857	0.957	0.5798
ZFP36	0.8084	1.0	0.5799
KLK3	0.7676	0.5801	1.0
FOXA1	0.9347	0.5801	1.0
CEBPB	0.8462	0.5839	0.9642
PPARD	0.8981	1.0	0.5909
TBP	0.8705	1.0	0.5909
STAT5B	0.6453	0.6864	0.5913
NFATC3	0.8292	0.5977	1.0
MEF2C	0.8065	0.6123	1.0
ONECUT1	0.7653	0.6124	1.0
NFATC1	0.8537	0.6149	1.0
ASCL1	0.7624	1.0	0.6149
RARA	0.7155	0.621	0.7841
CEBPD	0.8455	0.6264	1.0
REST	0.875	1.0	0.6301
MECP2	0.7173	0.7485	0.6318
FOXP3	0.8487	0.6327	1.0
CD3D	0.8025	0.6356	1.0
AR	0.9833	0.6376	1.0
GATA1	0.8383	0.6437	0.9153
GLI1	0.7233	0.773	0.6478
RXRA	0.7326	0.6481	0.7661
KLF6	0.7325	0.7852	0.6487
ABL1	0.8397	0.6505	1.0
FOXA3	0.8065	0.6534	1.0
NR1I2	0.912	0.6569	1.0
HDAC9	0.8016	0.6657	0.8522
IL2	0.8014	0.8458	0.6673
ZEB1	0.8701	1.0	0.6683
USF1	0.8674	0.8946	0.6701
SREBF2	0.8517	0.8788	0.673
PGR	0.6754	0.6855	0.6863
ATF1	0.8473	0.6776	1.0
FLI1	0.7634	0.7949	0.6825
NR3C1	0.9307	0.9668	0.6849
STAT5A	0.7344	0.7208	0.6869
SPP1	0.8387	0.7025	1.0
FOXA2	0.805	0.7184	0.7901
PPARA	0.8933	0.7343	0.9181
ABCB1	0.876	0.7476	1.0
HNF1A	0.9898	1.0	0.7652
NFYC	0.8251	0.799	0.7652
CEBPA	0.9581	0.7693	1.0
NFKBIA	0.8931	0.77	0.896
TBL1X	0.8966	0.7712	0.9188
TBL1XR1	0.8966	0.7712	0.9188
SMARCD3	0.8981	0.7714	0.9198
CHD9	0.8981	0.7714	0.9198
TGS1	0.8981	0.7714	0.9198
NFYB	0.845	0.8167	0.779
STAT3	0.9395	0.7835	0.9396
SREBF1	0.8834	0.8405	0.7916
NCOA6	0.9284	0.8196	0.9327
STAT1	0.918	0.8289	0.8754
CARM1	0.9383	0.8329	0.938
FOXO3	0.9277	0.8345	0.9128
IL12RB2	0.9458	0.8389	1.0
IL12A	0.9458	0.8389	1.0
NFATC2	0.9156	0.8692	0.8492
FOXO1	0.9508	0.9093	0.8588
IL23R	0.9564	0.869	1.0
STAT4	0.963	0.8708	0.9399
IL12RB1	0.9766	0.8795	1.0
IL12B	0.9766	0.8795	1.0
IL23A	0.9653	0.8854	1.0
TYK2	0.98	0.8855	1.0
JAK2	0.983	0.8915	1.0
ETS2	0.9707	0.9026	1.0
IL10	0.9957	1.0	0.931
FOXO4	0.9843	0.9317	1.0
SPI1	0.9966	0.9407	1.0
HOXA9	1.0	1.0	1.0
MEF2A	1.0	1.0	1.0
PRKCQ	1.0	1.0	1.0
ATF6	1.0	1.0	1.0
SF1	1.0	1.0	1.0
ABCA3	1.0	1.0	1.0
NR0B1	1.0	1.0	1.0
NR1D1	1.0	1.0	1.0
