Overall graph size pval = 1.0
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
SP1	0.0121	1.0	0.0033
RELA	0.095	0.0386	1.0
NR3C1	0.1003	1.0	0.0468
ESR1	0.1026	1.0	0.0626
MYC	0.1872	0.0712	1.0
MDC1	1.0	1.0	1.0
ATF2	1.0	1.0	1.0
CCNK	1.0	1.0	1.0
CCNT2	1.0	1.0	1.0
ELL	1.0	1.0	1.0
CCNT1	1.0	1.0	1.0
CCNH	1.0	1.0	1.0
BRCA1	1.0	1.0	1.0
YBX1	1.0	1.0	1.0
FOXM1	1.0	1.0	1.0
CHEK1	1.0	1.0	1.0
ELOA	1.0	1.0	1.0
NELFB	1.0	1.0	1.0
ELOB	1.0	1.0	1.0
NELFA	1.0	1.0	1.0
NELFCD	1.0	1.0	1.0
ELOC	1.0	1.0	1.0
TP63	1.0	1.0	1.0
PTGDR	1.0	1.0	1.0
NELFE	1.0	1.0	1.0
SUPT16H	1.0	1.0	1.0
FOS	1.0	1.0	1.0
GTF2F1	1.0	1.0	1.0
GTF2F2	1.0	1.0	1.0
RBL2	1.0	1.0	1.0
RAD51D	1.0	1.0	1.0
MYCN	1.0	1.0	1.0
TFDP1	1.0	1.0	1.0
RBL1	1.0	1.0	1.0
TFDP2	1.0	1.0	1.0
FANCD2	1.0	1.0	1.0
TP53	1.0	1.0	1.0
CTDP1	1.0	1.0	1.0
HDAC1	1.0	1.0	1.0
SUPT4H1	1.0	1.0	1.0
POLR2A	1.0	1.0	1.0
POLR2B	1.0	1.0	1.0
POLR2C	1.0	1.0	1.0
POLR2D	1.0	1.0	1.0
POLR2E	1.0	1.0	1.0
E2F1	1.0	1.0	1.0
POLR2F	1.0	1.0	1.0
POLR2G	1.0	1.0	1.0
E2F3	1.0	1.0	1.0
POLR2H	1.0	1.0	1.0
E2F4	1.0	1.0	1.0
POLR2I	1.0	1.0	1.0
POLR2J	1.0	1.0	1.0
POLR2K	1.0	1.0	1.0
POLR2L	1.0	1.0	1.0
FANCI	1.0	1.0	1.0
JUN	1.0	1.0	1.0
STAT3	1.0	1.0	1.0
ELOA2	1.0	1.0	1.0
GTF2H1	1.0	1.0	1.0
ELOA3	1.0	1.0	1.0
GTF2H2	1.0	1.0	1.0
SSRP1	1.0	1.0	1.0
GTF2H3	1.0	1.0	1.0
SUPT5H	1.0	1.0	1.0
GTF2H4	1.0	1.0	1.0
GTF2H5	1.0	1.0	1.0
CDK9	1.0	1.0	1.0
CDK7	1.0	1.0	1.0
ERCC3	1.0	1.0	1.0
ERCC2	1.0	1.0	1.0
ELOA3D	1.0	1.0	1.0
TCEA1	1.0	1.0	1.0
ATM	1.0	1.0	1.0
ELOA3B	1.0	1.0	1.0
CDK12	1.0	1.0	1.0
MNAT1	1.0	1.0	1.0
ATR	1.0	1.0	1.0
