Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
MED29	upregulates-expression	FABP4		MED29-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED28	upregulates-expression	FABP4		MED28-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED27	upregulates-expression	FABP4		MED27-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED26	upregulates-expression	FABP4		MED26-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED25	upregulates-expression	FABP4		MED25-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED24	upregulates-expression	FABP4		MED24-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED23	upregulates-expression	FABP4		MED23-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED22	upregulates-expression	FABP4		MED22-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED21	upregulates-expression	FABP4		MED21-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED20	upregulates-expression	FABP4		MED20-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED19	upregulates-expression	FABP4		MED19-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED18	upregulates-expression	FABP4		MED18-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED17	upregulates-expression	FABP4		MED17-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED16	upregulates-expression	FABP4		MED16-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED15	upregulates-expression	FABP4		MED15-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED14	upregulates-expression	FABP4		MED14-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED13	upregulates-expression	FABP4		MED13-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
RXRA	upregulates-expression	FABP4		RXRA-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
FOS	upregulates-expression	FABP4		FOS-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED12	upregulates-expression	FABP4		MED12-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED11	upregulates-expression	FABP4		MED11-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
MED10	upregulates-expression	FABP4		MED10-inactive-by-network-sig	-1.0		FABP4-R	-6.085259247740214	0.0022761741547522
