Overall graph size pval = 0.5878
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MED1	1.0E-4	0.4092	1.0E-4
MED8	1.0E-4	0.0999	1.0E-4
MED9	1.0E-4	0.0999	1.0E-4
MED4	1.0E-4	0.0999	1.0E-4
MED6	1.0E-4	0.0999	1.0E-4
MED7	1.0E-4	0.0999	1.0E-4
CDK19	1.0E-4	0.0999	1.0E-4
MED19	1.0E-4	0.0999	1.0E-4
MED16	1.0E-4	0.0999	1.0E-4
MED15	1.0E-4	0.0999	1.0E-4
MED18	1.0E-4	0.0999	1.0E-4
MED17	1.0E-4	0.0999	1.0E-4
MED12	1.0E-4	0.1188	1.0E-4
MED11	1.0E-4	0.0999	1.0E-4
MED14	1.0E-4	0.0999	1.0E-4
MED13	1.0E-4	0.0999	1.0E-4
MED10	1.0E-4	0.0999	1.0E-4
MED27	1.0E-4	0.0999	1.0E-4
MED26	1.0E-4	0.0999	1.0E-4
MED29	1.0E-4	0.0999	1.0E-4
MED28	1.0E-4	0.0999	1.0E-4
MED23	1.0E-4	0.1087	1.0E-4
MED22	1.0E-4	0.0999	1.0E-4
MED25	1.0E-4	0.0999	1.0E-4
MED24	1.0E-4	0.0999	1.0E-4
MED21	1.0E-4	0.0999	1.0E-4
MED20	1.0E-4	0.0999	1.0E-4
PPARG	0.0018	0.5744	1.0E-4
MED30	1.0E-4	0.0999	1.0E-4
MED31	1.0E-4	0.0999	1.0E-4
CDK8	1.0E-4	0.0999	1.0E-4
KLF8	1.0E-4	0.0044	0.0071
CCNC	1.0E-4	0.0999	1.0E-4
HELZ2	1.0E-4	0.3968	1.0E-4
MED13L	1.0E-4	0.0999	1.0E-4
NCOA1	2.0E-4	0.4301	1.0E-4
NCOA2	3.0E-4	0.4269	1.0E-4
NCOA3	1.0E-4	0.2241	1.0E-4
RXRA	1.0E-4	0.487	1.0E-4
THRAP3	1.0E-4	0.1093	1.0E-4
FAM120B	1.0E-4	0.0999	1.0E-4
CTNNB1	0.0037	1.0	2.0E-4
MITF	7.0E-4	1.0	3.0E-4
PPARGC1A	5.0E-4	0.2835	7.0E-4
NFKB1	0.0024	0.6305	7.0E-4
RELA	0.0043	0.6734	9.0E-4
CREBBP	0.0041	0.6496	0.0011
ETV4	0.0037	1.0	0.0015
TWIST1	0.0022	0.3715	0.0017
ESR1	0.0844	0.0021	1.0
SRF	0.0122	1.0	0.0026
CEBPB	0.0195	1.0	0.0031
CREB3L3	0.0086	1.0	0.0035
IL4	0.0264	1.0	0.0038
HIPK2	0.016	0.0052	1.0
EGR1	0.0102	0.5237	0.0052
TWIST2	0.0053	0.2897	0.0061
SPDEF	0.0382	0.0059	1.0
CBFB	0.0069	0.0108	0.1909
EP300	0.0073	0.0894	0.0362
IL13	0.0497	1.0	0.0108
NCOR1	0.0111	0.0417	0.1641
ERBB4	0.0515	0.0113	1.0
ELF1	0.0306	1.0	0.0117
ARNT	0.021	0.5339	0.0126
FOS	0.0245	0.5729	0.0128
FOXA2	0.0396	0.0132	0.5572
MSC	0.0405	1.0	0.0133
NR4A1	0.0471	1.0	0.0144
ATF4	0.0525	1.0	0.0173
WT1	0.1167	1.0	0.0176
HIF1A	0.02	0.2769	0.029
IL2RG	0.0441	1.0	0.0223
REL	0.0623	1.0	0.0239
MTA1	0.0886	1.0	0.0289
NFKB2	0.0295	0.0987	0.1651
CEBPA	0.0887	1.0	0.0297
LEF1	0.0905	1.0	0.0308
TCF4	0.093	1.0	0.037
HOXB7	0.038	0.1257	0.1637
TP53	0.2024	0.9186	0.0398
STAT6	0.0399	0.0756	0.2116
ATF3	0.0416	0.1623	0.1371
RUNX1	0.044	0.0974	0.1928
AR	0.24	0.0446	1.0
PARP1	0.045	0.1618	0.1586
TFAP2C	0.0462	0.1211	0.2035
VHL	0.0535	0.1796	0.1674
BCL6	0.1327	0.0552	1.0
FOXO1	0.1756	1.0	0.0558
NKX3-1	0.1465	1.0	0.0562
GATA3	0.2221	0.0565	1.0
TBL1X	0.1444	1.0	0.0566
TBL1XR1	0.1444	1.0	0.0566
SMARCD3	0.1459	1.0	0.0573
CHD9	0.1459	1.0	0.0573
TGS1	0.1459	1.0	0.0573
TFAP2B	0.1484	0.058	1.0
PIK3CA	0.147	0.0585	1.0
NR5A2	0.1803	0.0591	1.0
ZFHX3	0.1507	1.0	0.06
STAT3	0.1591	0.829	0.0605
FOSL1	0.1452	1.0	0.0627
MSX1	0.151	0.0629	1.0
JUN	0.0661	0.2083	0.1381
RUNX2	0.145	1.0	0.0661
FOXP2	0.1448	1.0	0.068
NCOA6	0.1663	1.0	0.0683
ATF2	0.0687	0.4424	0.0791
CDC25A	0.1739	0.071	1.0
CARM1	0.1749	1.0	0.0713
IRF4	0.1506	1.0	0.0739
EGR2	0.1752	1.0	0.0793
FOXA3	0.2233	0.0795	1.0
CITED2	0.1424	1.0	0.0798
GATA6	0.1747	0.0804	1.0
TAL1	0.1751	0.0819	1.0
ZEB2	0.1693	1.0	0.0872
MAZ	0.1451	1.0	0.0882
PPARA	0.0902	0.1469	0.2797
CCNT1	0.2585	0.0908	1.0
GTF2F1	0.2585	0.0908	1.0
GTF2F2	0.2585	0.0908	1.0
CDK9	0.2585	0.0908	1.0
POLR2A	0.2585	0.0908	1.0
POLR2B	0.2585	0.0908	1.0
POLR2C	0.2585	0.0908	1.0
POLR2D	0.2585	0.0908	1.0
POLR2E	0.2585	0.0908	1.0
POLR2G	0.2585	0.0908	1.0
POLR2H	0.2585	0.0908	1.0
POLR2I	0.2585	0.0908	1.0
POLR2J	0.2585	0.0908	1.0
POLR2K	0.2585	0.0908	1.0
POLR2L	0.2585	0.0908	1.0
SOX2	0.2086	1.0	0.0914
MAML2	0.0939	0.1564	0.2983
IRF2	0.181	0.0947	1.0
RUNX3	0.3118	0.0982	1.0
