Overall graph size pval = 0.809
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
IL13	8.0E-4	1.0E-4	1.0
IL4	0.0013	2.0E-4	1.0
ERBB4	0.0022	0.0569	0.0275
MITF	0.0056	0.0027	1.0
NCOA3	0.0031	0.0412	0.0263
RELA	0.0234	0.0044	0.7593
VHL	0.0335	0.0045	1.0
TWIST2	0.0591	0.0049	1.0
RXRA	0.0054	0.0168	0.1804
CCNC	0.0122	0.0055	1.0
MED8	0.0122	0.0055	1.0
MED9	0.0122	0.0055	1.0
MED4	0.0122	0.0055	1.0
MED6	0.0122	0.0055	1.0
MED7	0.0122	0.0055	1.0
CDK19	0.0122	0.0055	1.0
MED13L	0.0122	0.0055	1.0
MED19	0.0122	0.0055	1.0
MED16	0.0122	0.0055	1.0
MED15	0.0122	0.0055	1.0
MED18	0.0122	0.0055	1.0
MED17	0.0122	0.0055	1.0
MED12	0.0122	0.0055	1.0
MED11	0.0122	0.0055	1.0
MED14	0.0122	0.0055	1.0
MED13	0.0122	0.0055	1.0
MED10	0.0122	0.0055	1.0
MED27	0.0122	0.0055	1.0
MED26	0.0122	0.0055	1.0
MED29	0.0122	0.0055	1.0
MED28	0.0122	0.0055	1.0
MED23	0.0122	0.0055	1.0
MED22	0.0122	0.0055	1.0
MED25	0.0122	0.0055	1.0
MED24	0.0122	0.0055	1.0
MED21	0.0122	0.0055	1.0
MED20	0.0122	0.0055	1.0
MED30	0.0122	0.0055	1.0
MED31	0.0122	0.0055	1.0
CDK8	0.0122	0.0055	1.0
THRAP3	0.0122	0.0055	1.0
FAM120B	0.0122	0.0055	1.0
FOXA1	0.0065	0.1123	0.0169
HELZ2	0.0087	0.0072	0.4705
NCOA2	0.0105	0.0076	0.5006
PPARG	0.0079	0.0108	0.2863
MED1	0.0094	0.0083	0.4819
MTF1	0.0913	1.0	0.0089
NFIC	0.0117	0.307	0.0107
KLF8	0.0117	0.2564	0.0224
NCOA1	0.015	0.0138	0.4997
FOS	0.0748	0.0154	1.0
NFKB1	0.0984	0.0156	0.9262
KLF4	0.0259	0.0162	0.5298
PPARA	0.0535	0.5344	0.0164
NFE2L2	0.0174	0.0618	0.1719
NR3C1	0.0178	0.0734	0.11
NR4A1	0.0733	0.0188	1.0
ATF4	0.0673	0.0189	1.0
TWIST1	0.1587	0.0207	1.0
ESR1	0.2276	0.8973	0.0229
GATA3	0.1158	1.0	0.0257
RAD51	0.0485	0.03	1.0
SMAD4	0.0855	0.0324	1.0
ETV4	0.0711	0.0325	1.0
NANOG	0.1415	1.0	0.033
AR	0.1159	0.7555	0.0337
STAT3	0.066	0.0385	0.5978
ARNT	0.0652	0.0422	0.6424
PPARGC1A	0.1019	0.0431	1.0
TBL1X	0.0443	0.0571	0.4061
TBL1XR1	0.0443	0.0571	0.4061
ATF2	0.1439	0.0451	1.0
HIF1A	0.0493	0.0458	0.4509
BCL6	0.2547	0.0464	1.0
SP1	0.0486	0.0941	0.2283
ERG	0.0506	0.0908	0.318
CHD9	0.052	0.0647	0.4184
SMARCD3	0.052	0.0647	0.4184
TGS1	0.052	0.0647	0.4184
CARM1	0.052	0.0647	0.4184
NCOA6	0.0587	0.0709	0.4306
GATA1	0.1179	0.5555	0.0624
GLI1	0.1425	0.0627	1.0
ZNF382	0.1102	1.0	0.0648
WT1	0.288	0.067	1.0
CREBBP	0.0945	0.0698	0.6475
