Overall graph size pval = 0.0767
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MED19	1.0E-4	1.0E-4	0.3678
MED16	1.0E-4	1.0E-4	0.3678
MED15	1.0E-4	1.0E-4	0.3678
MED18	1.0E-4	1.0E-4	0.3678
MED17	1.0E-4	1.0E-4	0.3678
MED12	7.0E-4	1.0E-4	0.4236
MED11	1.0E-4	1.0E-4	0.3678
MED14	1.0E-4	1.0E-4	0.3678
MED13	1.0E-4	1.0E-4	0.3678
MED10	1.0E-4	1.0E-4	0.3678
MED27	1.0E-4	1.0E-4	0.3678
MED26	1.0E-4	1.0E-4	0.3678
MED29	1.0E-4	1.0E-4	0.3678
MED28	1.0E-4	1.0E-4	0.3678
MED23	5.0E-4	1.0E-4	0.3971
MED22	1.0E-4	1.0E-4	0.3678
MED25	1.0E-4	1.0E-4	0.3678
MED24	1.0E-4	1.0E-4	0.3678
MED21	1.0E-4	1.0E-4	0.3678
MED20	1.0E-4	1.0E-4	0.3678
MED30	1.0E-4	1.0E-4	0.3678
MED31	1.0E-4	1.0E-4	0.3678
SRF	4.0E-4	1.0E-4	0.5743
CCNC	1.0E-4	1.0E-4	0.3678
MED13L	1.0E-4	1.0E-4	0.3678
MED1	6.0E-4	1.0E-4	0.3823
MED8	1.0E-4	1.0E-4	0.3678
MED9	1.0E-4	1.0E-4	0.3678
MED4	1.0E-4	1.0E-4	0.3678
MED6	1.0E-4	1.0E-4	0.3678
MED7	1.0E-4	1.0E-4	0.3678
CDK19	2.0E-4	1.0E-4	0.3779
CDK8	3.0E-4	1.0E-4	0.3885
HELZ2	2.0E-4	1.0E-4	0.3595
PARP1	1.0E-4	0.004	0.0437
FAM20C	1.0E-4	1.0E-4	0.6768
SMAD4	9.0E-4	1.0E-4	1.0
THRAP3	2.0E-4	1.0E-4	0.4073
FAM120B	1.0E-4	1.0E-4	0.3678
RXRA	7.0E-4	2.0E-4	0.5498
ETS1	0.0031	2.0E-4	0.9315
NCOA1	3.0E-4	3.0E-4	0.4305
CBFB	3.0E-4	0.0082	0.0387
NCOA2	9.0E-4	4.0E-4	0.426
RELA	0.0255	5.0E-4	0.9732
PAK2	0.0029	5.0E-4	1.0
RUNX2	0.0015	6.0E-4	0.6447
NFKB1	0.0344	9.0E-4	0.953
IL4	0.0291	0.0011	1.0
VEGFA	0.0119	0.0012	1.0
GH2	0.0042	0.0013	1.0
GH1	0.0042	0.0013	1.0
CREBBP	0.0057	0.0018	0.6382
PPARGC1A	0.0019	0.0077	0.1643
SMAD3	0.0038	0.0021	0.448
PPARA	0.0026	0.007	0.1741
EPAS1	0.0208	0.0026	1.0
CAMK2D	0.0103	0.0036	1.0
NCOA3	0.0038	0.0258	0.0919
IL13	0.0754	0.0045	1.0
MSC	0.0465	0.0048	1.0
FGA	0.0133	0.0052	1.0
FOXP3	0.0323	0.0056	1.0
TFE3	0.0058	0.1184	0.029
E2F3	0.2334	1.0	0.0068
JUN	0.1149	0.0069	0.9751
CHD9	0.0129	0.0073	0.5414
TGS1	0.0129	0.0073	0.5414
SMARCD3	0.0129	0.0073	0.5414
PAK1	0.0359	0.0075	1.0
ELF1	0.0466	0.0076	1.0
NFKB2	0.0079	0.052	0.1011
TP53	0.0434	0.0083	0.6982
TWIST2	0.0085	0.0168	0.2056
STAT3	0.0092	0.0216	0.1952
NKX2-5	0.0446	1.0	0.0095
PRKCA	0.0349	0.011	0.8214
NCOA6	0.0218	0.0116	0.5773
ARNT	0.1631	0.0119	1.0
EGR1	0.1222	0.0119	0.9649
ZNF382	0.0433	1.0	0.0135
NCOR1	0.0685	1.0	0.0143
EDNRA	0.0523	0.0144	1.0
CARM1	0.0262	0.0152	0.5959
MITF	0.0731	0.0153	1.0
CSK	0.0454	0.0161	1.0
CTNNB1	0.1062	0.018	0.9221
TBL1X	0.0281	0.0198	0.5429
TBL1XR1	0.0281	0.0198	0.5429
CEBPB	0.0973	0.022	0.9042
RUNX1	0.0221	0.0587	0.1906
ESRRA	0.1684	1.0	0.0232
MAPKAPK5	0.0598	0.0234	1.0
ATF5	0.1533	1.0	0.0237
FYN	0.0798	0.0237	1.0
SP3	0.028	0.2992	0.0238
CITED2	0.025	0.0493	0.2952
HEY1	0.0346	0.4153	0.0258
PPP2R5D	0.063	1.0	0.0265
SRC	0.1072	0.0271	1.0
LMO2	0.0295	0.147	0.1234
KIT	0.063	0.0321	1.0
DYRK2	0.0667	0.5158	0.0334
HRAS	0.1025	0.0335	1.0
SOX2	0.0356	0.0823	0.204
POU5F1	0.0443	0.408	0.0361
FOS	0.2399	0.0375	0.981
CREB1	0.238	0.8353	0.0388
FOXP2	0.1528	0.0394	1.0
MARK3	0.0758	0.0394	1.0
HIPK2	0.2335	1.0	0.0403
TRIM24	0.09	0.0406	1.0
PKC	0.0775	0.0408	1.0
ZEB2	0.0412	0.0643	0.354
DUSP1	0.1333	1.0	0.0423
NEK3	0.0431	0.2181	0.1036
NOTCH1	0.1311	0.0432	1.0
ATG7	0.0834	0.0433	1.0
PLCG1	0.0856	0.044	1.0
CXCR4	0.1054	0.0442	1.0
CREB5	0.2057	1.0	0.0448
STAT6	0.2515	0.045	1.0
CALM1	0.1805	0.0454	1.0
ARRB2	0.092	0.0469	1.0
F2	0.2103	1.0	0.0471
STAT5B	0.0482	0.054	0.4161
RET	0.0991	0.0515	1.0
PPARG	0.0862	0.0521	0.5198
SNW1	0.1304	0.0524	1.0
MAMLD1	0.1599	0.0539	1.0
MAML3	0.1599	0.0539	1.0
MAPKAPK2	0.0544	0.0834	0.3806
ARAF	0.1109	0.0552	1.0
FGG	0.1085	0.0566	1.0
NR4A1	0.2475	0.0569	1.0
GABPA	0.3876	1.0	0.057
IL12RB2	0.0582	0.1757	0.1543
IL12A	0.0582	0.1757	0.1543
GSK3A	0.3763	1.0	0.06
YWHAE	0.4034	1.0	0.0605
E2F2	0.3724	1.0	0.0614
CDC42	0.1257	0.0623	1.0
SALL4	0.1995	0.0632	1.0
TWIST1	0.0638	0.078	0.3624
YWHAB	0.2258	0.0641	1.0
