Overall graph size pval = 0.4169
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
SRF	0.006	0.808	0.001
HNF4A	0.0305	1.0	0.0013
IL13	0.0678	1.0	0.0015
SMAD4	0.0227	0.8401	0.003
SP1	0.0309	0.739	0.0037
HELZ2	0.0485	0.9156	0.0039
MED1	0.0609	0.9232	0.0045
RXRA	0.0538	0.8596	0.0047
NCOA2	0.0631	0.9253	0.005
RELA	0.1489	0.9605	0.0054
NFKB1	0.2224	0.9871	0.0055
TBL1X	0.0457	0.8419	0.0064
TBL1XR1	0.0457	0.8419	0.0064
SMAD3	0.1226	0.9752	0.0068
IL4	0.118	1.0	0.0072
NCOA1	0.0939	0.9353	0.0074
CHD9	0.0603	0.8574	0.0083
SMARCD3	0.0603	0.8574	0.0083
TGS1	0.0603	0.8574	0.0083
CARM1	0.0603	0.8574	0.0083
ZEB1	0.1479	1.0	0.0088
ARNT	0.4229	1.0	0.0099
HIF1A	0.1898	0.9572	0.0102
NCOA6	0.0356	0.6791	0.0111
FOSL1	0.0185	0.0948	0.1365
PARP1	0.0197	0.0625	0.2357
KAT5	0.2214	0.0198	1.0
GATA6	0.0236	0.0204	0.5442
XBP1	0.2171	0.965	0.0204
PPARD	0.225	0.0205	1.0
SNAI1	0.0206	0.2929	0.0399
NANOG	0.0712	0.0209	0.7562
MSX2	0.1373	0.0239	1.0
ACTL6A	0.213	0.0245	1.0
RUVBL2	0.213	0.0245	1.0
FOXA2	0.0278	0.091	0.1808
FOXA3	0.1265	1.0	0.0287
TWIST2	0.0293	0.2911	0.0469
CREBBP	0.1184	0.7704	0.0316
SPDEF	0.2139	0.0319	1.0
NOTCH3	0.0526	0.0344	0.6125
CEBPD	0.0415	0.2479	0.1192
PPARGC1A	0.0424	0.3069	0.0703
RUVBL1	0.3013	0.0427	1.0
HDGF	0.2123	1.0	0.0434
NFIC	0.0966	0.0444	0.6846
GLI2	0.0495	0.4241	0.0619
MLX	0.2139	1.0	0.0519
KLF8	0.0909	0.0551	0.6518
MITF	0.2092	1.0	0.0552
GABPB1	0.3864	0.0565	1.0
GABPA	0.3892	0.0581	1.0
HDAC2	0.1161	0.6183	0.0611
TRRAP	0.3917	0.0628	1.0
