Overall graph size pval = 0.7495
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
SRF	0.0051	6.0E-4	0.795
IL13	0.0707	0.0019	1.0
SMAD4	0.0199	0.0021	0.8476
HNF4A	0.0337	0.0023	1.0
SP1	0.0337	0.0036	0.7465
HELZ2	0.0514	0.0037	0.914
RELA	0.1444	0.0044	0.9587
NCOA2	0.0626	0.0049	0.9246
MED1	0.0645	0.005	0.9235
RXRA	0.0515	0.0053	0.8648
NFKB1	0.2285	0.0053	0.985
SMAD3	0.1281	0.0065	0.9743
TBL1X	0.0474	0.0068	0.8425
TBL1XR1	0.0474	0.0068	0.8425
NCOA1	0.0985	0.0083	0.936
IL4	0.1304	0.0085	1.0
CHD9	0.064	0.0097	0.8556
SMARCD3	0.064	0.0097	0.8556
TGS1	0.064	0.0097	0.8556
CARM1	0.064	0.0097	0.8556
ARNT	0.4307	0.0103	1.0
ZEB1	0.159	0.0107	1.0
HIF1A	0.1931	0.0112	0.9627
NCOA6	0.0379	0.0133	0.6858
PARP1	0.0181	0.2369	0.0611
KAT5	0.2213	1.0	0.0189
XBP1	0.2212	0.0197	0.9653
NANOG	0.0739	0.7563	0.02
GATA6	0.0234	0.5349	0.0203
FOSL1	0.0207	0.1415	0.0964
SNAI1	0.0222	0.0504	0.2891
PPARD	0.2215	1.0	0.0222
ACTL6A	0.2123	1.0	0.0247
RUVBL2	0.2123	1.0	0.0247
FOXA2	0.0252	0.1782	0.0916
MSX2	0.1331	1.0	0.0256
TWIST2	0.0315	0.0489	0.304
NOTCH3	0.0538	0.6134	0.0317
CREBBP	0.1194	0.0327	0.7706
FOXA3	0.1336	0.0327	1.0
SPDEF	0.218	1.0	0.0339
PPARGC1A	0.0431	0.071	0.3152
CEBPD	0.0434	0.1251	0.243
RUVBL1	0.2956	1.0	0.0435
HDGF	0.2189	0.0445	1.0
NFIC	0.0965	0.6897	0.0463
MLX	0.2146	0.0539	1.0
KLF8	0.0952	0.6595	0.0539
GLI2	0.0543	0.0646	0.43
MITF	0.2113	0.0548	1.0
GABPB1	0.383	1.0	0.0566
GABPA	0.384	1.0	0.0573
HDAC2	0.12	0.061	0.6209
FOXA1	0.0964	0.0626	0.585
TRRAP	0.3875	1.0	0.0631
FOS	0.3942	0.0636	0.9635
VDR	0.0701	0.3812	0.1002
ERBB4	0.071	0.136	0.3343
NR3C1	0.0712	0.349	0.1052
CCNC	0.3035	0.0811	1.0
MED8	0.3035	0.0811	1.0
MED9	0.3035	0.0811	1.0
MED4	0.3035	0.0811	1.0
MED6	0.3035	0.0811	1.0
MED7	0.3035	0.0811	1.0
CDK19	0.3035	0.0811	1.0
MED13L	0.3035	0.0811	1.0
MED19	0.3035	0.0811	1.0
MED16	0.3035	0.0811	1.0
MED15	0.3035	0.0811	1.0
MED18	0.3035	0.0811	1.0
MED17	0.3035	0.0811	1.0
MED12	0.3035	0.0811	1.0
MED11	0.3035	0.0811	1.0
MED14	0.3035	0.0811	1.0
MED13	0.3035	0.0811	1.0
MED10	0.3035	0.0811	1.0
MED27	0.3035	0.0811	1.0
MED26	0.3035	0.0811	1.0
MED29	0.3035	0.0811	1.0
MED28	0.3035	0.0811	1.0
MED23	0.3035	0.0811	1.0
MED22	0.3035	0.0811	1.0
MED25	0.3035	0.0811	1.0
