Overall graph size pval = 0.7724
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MED8	1.0E-4	1.0E-4	0.3117
MED9	1.0E-4	1.0E-4	0.3117
MED4	1.0E-4	1.0E-4	0.3117
MED6	1.0E-4	1.0E-4	0.3117
MED7	1.0E-4	1.0E-4	0.3117
CDK19	1.0E-4	1.0E-4	0.3117
MED19	1.0E-4	1.0E-4	0.3117
MED16	1.0E-4	1.0E-4	0.3117
MED15	1.0E-4	1.0E-4	0.3117
MED18	1.0E-4	1.0E-4	0.3117
MED17	1.0E-4	1.0E-4	0.3117
MED11	1.0E-4	1.0E-4	0.3117
MED14	1.0E-4	1.0E-4	0.3117
MED13	1.0E-4	1.0E-4	0.3117
MED10	1.0E-4	1.0E-4	0.3117
MED27	1.0E-4	1.0E-4	0.3117
MED26	1.0E-4	1.0E-4	0.3117
MED29	1.0E-4	1.0E-4	0.3117
MED28	1.0E-4	1.0E-4	0.3117
MED23	1.0E-4	1.0E-4	0.335
MED22	1.0E-4	1.0E-4	0.3117
MED25	1.0E-4	1.0E-4	0.3117
MED24	1.0E-4	1.0E-4	0.3117
MED21	1.0E-4	1.0E-4	0.3117
MED20	1.0E-4	1.0E-4	0.3117
MED30	1.0E-4	1.0E-4	0.3117
MED31	1.0E-4	1.0E-4	0.3117
CDK8	1.0E-4	1.0E-4	0.3117
CCNC	1.0E-4	1.0E-4	0.3117
MED13L	1.0E-4	1.0E-4	0.3117
SMAD4	0.0011	1.0E-4	1.0
THRAP3	1.0E-4	3.0E-4	0.3333
FAM120B	1.0E-4	1.0E-4	0.3117
PARP1	2.0E-4	0.0048	0.0537
MED12	6.0E-4	3.0E-4	0.3478
SRF	7.0E-4	4.0E-4	0.4816
HELZ2	7.0E-4	0.0019	0.1939
ETS1	0.0069	7.0E-4	0.8923
MED1	0.0012	0.0022	0.2071
NCOA1	0.0013	0.002	0.2411
CBFB	0.0016	0.0308	0.0154
RUNX2	0.002	0.0016	0.5694
RXRA	0.0023	0.0018	0.3519
NCOA2	0.0019	0.0026	0.2492
VEGFA	0.0134	0.0032	1.0
RELA	0.0571	0.005	0.9342
IL4	0.0812	0.0051	1.0
PPARGC1A	0.0054	0.0304	0.0733
E2F3	0.2832	1.0	0.006
IL13	0.0978	0.006	1.0
NCOA3	0.0061	0.0527	0.0391
SMAD3	0.0144	0.0063	0.6273
FOXP3	0.0385	0.0064	1.0
PPARA	0.0068	0.0235	0.1215
TFE3	0.0068	0.1712	0.0126
EPAS1	0.03	0.0086	1.0
MSC	0.0554	0.0087	1.0
EDNRA	0.0293	0.0092	1.0
NKX2-5	0.0476	1.0	0.011
SP3	0.0433	0.4546	0.0111
NFKB1	0.0799	0.0112	0.9011
TWIST2	0.0114	0.0202	0.2413
CREBBP	0.0117	0.0132	0.3652
ELF1	0.0423	0.0142	1.0
CREB1	0.3254	0.9203	0.0152
ATF5	0.1731	1.0	0.0169
SMARCD3	0.0192	0.0293	0.3393
CHD9	0.0192	0.0293	0.3393
TGS1	0.0192	0.0293	0.3393
ESRRA	0.1925	1.0	0.0196
HIPK2	0.0782	1.0	0.0215
STAT3	0.0235	0.1057	0.0853
GABPA	0.4154	1.0	0.0252
HEY1	0.0506	0.488	0.0259
CITED2	0.0274	0.0609	0.2918
ZNF382	0.0538	1.0	0.0288
NCOA6	0.0312	0.0429	0.3702
EGR1	0.1744	0.0342	0.9543
POU5F1	0.0717	0.4951	0.0354
LMO2	0.0355	0.1675	0.1287
TFDP1	0.141	0.6172	0.0359
E2F6	0.5313	0.0362	1.0
MITF	0.0873	0.0364	1.0
NCOR1	0.0905	1.0	0.0368
CARM1	0.038	0.0503	0.378
NFKB2	0.039	0.0753	0.3112
FOXP2	0.1759	0.0393	1.0
F2	0.2401	1.0	0.0426
TBL1X	0.0444	0.0651	0.3397
TBL1XR1	0.0444	0.0651	0.3397
RUNX1	0.0449	0.1328	0.1417
E2F1	0.8333	0.9951	0.0451
SOX2	0.0483	0.1308	0.179
ZEB2	0.0494	0.0709	0.3825
NFYA	0.6812	0.9809	0.0494
CTNNB1	0.1131	0.0497	0.837
CD3D	0.1122	0.051	1.0
TP53	0.1672	0.0513	0.7653
ARNT	0.2355	0.0515	1.0
CREB5	0.2484	1.0	0.0523
JUN	0.208	0.0539	0.9307
E2F2	0.4189	1.0	0.055
SALL4	0.2308	0.0648	1.0
STAT5B	0.0657	0.1081	0.3155
NR4A1	0.2826	0.0729	1.0
CEBPB	0.1433	0.0758	0.8202
PPARG	0.134	0.0805	0.5622
KLF8	0.1049	0.5246	0.0855
NOTCH1	0.1563	0.0861	1.0
TWIST1	0.0895	0.0996	0.3994
SNW1	0.149	0.0901	1.0
PITX2	0.1785	0.0916	1.0
IL12RB2	0.1588	0.5134	0.0932
IL12A	0.1588	0.5134	0.0932
FOS	0.329	0.0944	0.9629
ELK1	0.5766	1.0	0.0967
FOSL1	0.1	0.1879	0.2642
EDN1	0.2014	0.1004	1.0
NOTCH3	0.1033	0.1364	0.4377
HIC1	0.1901	0.1069	0.6476
ESR1	0.3471	0.7124	0.108
MAML3	0.1951	0.1093	1.0
MAMLD1	0.1951	0.1093	1.0
HOXB7	0.1951	0.6383	0.1121
NR3C1	0.4031	0.9126	0.1143
HDAC7	0.2896	1.0	0.1182
STAT6	0.3307	0.1191	1.0
ERG	0.3767	0.125	1.0
ETV4	0.2374	0.1282	1.0
NANOG	0.1309	0.2513	0.2634
MAML2	0.228	0.1324	1.0
MTOR	0.5652	1.0	0.1362
MAML1	0.1379	0.1432	0.5321
NR2F1	0.5745	0.1388	1.0
ZBTB17	0.4687	1.0	0.1456
HDAC5	0.3012	1.0	0.1479
HEY2	0.1482	0.1981	0.436
TFDP2	0.192	0.4563	0.1493
MAPK3	0.2368	0.1499	1.0
TCF3	0.356	1.0	0.1538
HIST3H2BB	0.6332	1.0	0.1615
H3F3B	0.6332	1.0	0.1615
HIST2H3C	0.6332	1.0	0.1615
HIST1H3E	0.6332	1.0	0.1615
HIST1H4C	0.6332	1.0	0.1615
HIST1H2AC	0.6332	1.0	0.1615
HIST1H2BH	0.6332	1.0	0.1615
HIST1H2BG	0.6332	1.0	0.1615
HIST1H2BB	0.6332	1.0	0.1615
HIST1H2BA	0.6332	1.0	0.1615
HIST1H2BD	0.6332	1.0	0.1615
H2BFS	0.6332	1.0	0.1615
HIST1H2BN	0.6332	1.0	0.1615
HIST1H2BM	0.6332	1.0	0.1615
HIST1H2BO	0.6332	1.0	0.1615
HIST1H2BJ	0.6332	1.0	0.1615
HIST1H2BL	0.6332	1.0	0.1615
HIST1H2BK	0.6332	1.0	0.1615
IL18	0.2345	0.5563	0.163
IL18R1	0.2345	0.5563	0.163
IL18RAP	0.2345	0.5563	0.163
POU1F1	0.2352	0.163	1.0
TRIM28	0.6359	0.1716	1.0
MSX1	0.1718	0.4239	0.2238
TSC22D3	0.1719	0.2227	0.4333
SP4	0.6424	1.0	0.1721
KLF2	0.435	0.1727	1.0
CEBPA	0.2417	0.1836	0.7246
MAPK1	0.2828	0.184	1.0
SREBF2	0.7424	0.972	0.1851
FLI1	0.3797	0.7692	0.1866
ATF3	0.1869	0.51	0.2083
GATA2	0.2389	0.1944	0.6366
ASCL1	0.6915	0.1958	1.0
CDC6	0.6867	1.0	0.1977
VHL	0.2826	0.2056	0.6604
PTGDR	0.2095	0.3864	0.2312
TP63	0.2379	0.2156	0.5718
STAT5A	0.2166	0.256	0.4531
TFAP2B	0.5639	1.0	0.2193
TFAP2A	0.2203	0.3157	0.3738
STAT4	0.6611	0.2272	0.9745
ZFHX3	0.5656	0.229	1.0
CCNT1	0.7767	1.0	0.2291
GTF2F1	0.7767	1.0	0.2291
GTF2F2	0.7767	1.0	0.2291
CDK9	0.7767	1.0	0.2291
POLR2A	0.7767	1.0	0.2291
POLR2B	0.7767	1.0	0.2291
POLR2C	0.7767	1.0	0.2291
POLR2D	0.7767	1.0	0.2291
POLR2E	0.7767	1.0	0.2291
POLR2G	0.7767	1.0	0.2291
POLR2H	0.7767	1.0	0.2291
POLR2I	0.7767	1.0	0.2291
POLR2J	0.7767	1.0	0.2291
POLR2K	0.7767	1.0	0.2291
POLR2L	0.7767	1.0	0.2291
MCM5	0.5661	1.0	0.2298
GABPB1	0.7839	1.0	0.2307
SNAI1	0.4167	1.0	0.2313
FOXD3	0.5763	1.0	0.2329
PIK3CA	0.5778	1.0	0.2337
GATA6	0.2347	0.4372	0.3224
FOSL2	0.2352	0.3031	0.4449
SATB1	0.2358	0.3376	0.4151
NKX3-1	0.5732	0.2368	1.0
SMAD7	0.279	0.6255	0.2383
TAL1	0.2387	0.4468	0.3274
IL12RB1	0.2582	0.4491	0.2394
IL12B	0.2582	0.4491	0.2394
SOX17	0.2399	0.2488	0.5056
ERBB4	0.2424	0.313	0.4761
PGR	0.2844	0.6239	0.2434
RBPJ	0.4179	0.2459	1.0
MEF2D	0.6408	1.0	0.2521
POLR2F	0.8108	1.0	0.254
PROX1	0.525	1.0	0.2629
EP300	0.4563	0.2629	0.8806
CDKN2A	0.2635	0.363	0.404
CEBPD	0.2655	0.337	0.4576
HIST2H2BE	0.6916	1.0	0.2661
FOXA2	0.7853	0.9555	0.2662
CIITA	0.4303	0.7534	0.2697
PTTG1	0.2714	0.3382	0.4596
MEF2A	0.6944	1.0	0.2734
HOXA10	0.2833	0.5894	0.2778
TYK2	0.2877	0.4564	0.2851
ATF1	0.4252	0.2858	1.0
PITX1	0.2865	0.3692	0.4262
CDKN1A	0.3048	0.2931	0.6242
JUND	0.3135	0.2949	0.6402
HIF1A	0.5136	0.2957	0.8872
PAX5	0.5093	0.8097	0.2963
POU4F1	0.564	1.0	0.2992
PER1	0.5769	1.0	0.3054
CDK1	0.574	1.0	0.3062
TIMP3	0.5784	1.0	0.3072
REST	0.5504	1.0	0.3183
JAK2	0.3195	0.4646	0.3352
HDAC4	0.3283	0.5557	0.3659
WWTR1	0.4787	0.3283	1.0
IL37	0.632	0.8282	0.3306
LEF1	0.6264	0.3306	1.0
CCND1	0.3336	0.3652	0.5566
MYCN	0.9165	1.0	0.3375
NF1	0.6986	1.0	0.3392
NR1I2	0.3885	0.3408	0.6751
EZH2	0.3426	0.4697	0.4027
SNAI2	0.4243	0.348	0.698
IRF1	0.6035	0.3511	0.913
TBX21	0.3606	0.4188	0.5336
NR5A1	0.8654	1.0	0.3619
DDIT3	0.473	0.7382	0.3626
MSX2	0.363	0.4194	0.5341
ETS2	0.5044	0.3632	1.0
ABCB1	0.4727	0.3642	1.0
NRF1	0.9233	1.0	0.3644
BCL2	0.4824	0.3655	1.0
KAT2A	0.5081	0.3687	1.0
MEF2C	0.7428	1.0	0.3714
ETV6	0.579	0.3724	1.0
LHX2	0.5748	0.3734	1.0
HDAC2	0.3761	0.583	0.3949
MMP13	0.5737	0.3762	1.0
KAT2B	0.3785	0.3954	0.5957
TFAP2C	0.5323	0.3791	1.0
SP1	0.393	0.4787	0.3821
ZBTB16	0.6385	0.3829	1.0
