Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
IL13	upregulates-expression	FN1		IL13-inactive-by-network-sig	-1.0		FN1-R	-20.866496331222805	8.66554310066086E-10
RELA	upregulates-expression	FN1		RELA-inactive-by-network-sig	-1.0		FN1-R	-20.866496331222805	8.66554310066086E-10
IL4	upregulates-expression	FN1		IL4-inactive-by-network-sig	-1.0		FN1-R	-20.866496331222805	8.66554310066086E-10
RELA	upregulates-expression	MMP2		RELA-inactive-by-network-sig	-1.0		MMP2-R	-20.099958629200803	1.86508608040842E-9
RUNX2	upregulates-expression	MMP2		RUNX2-inactive-by-network-sig	-1.0		MMP2-R	-20.099958629200803	1.86508608040842E-9
RUNX2	upregulates-expression	MMP2		RUNX2-G	-6.512036853174342	0.0014854509939959	MMP2-R	-20.099958629200803	1.86508608040842E-9
MSC	upregulates-expression	MMP2		MSC-inactive-by-network-sig	-1.0		MMP2-R	-20.099958629200803	1.86508608040842E-9
SRF	upregulates-expression	MMP2		SRF-inactive-by-network-sig	-1.0		MMP2-R	-20.099958629200803	1.86508608040842E-9
IL13	upregulates-expression	COL1A2		IL13-inactive-by-network-sig	-1.0		COL1A2-R	-19.844167641322727	2.4087265265499404E-9
EDNRA	upregulates-expression	COL1A2		EDNRA-inactive-by-network-sig	-1.0		COL1A2-R	-19.844167641322727	2.4087265265499404E-9
IL4	upregulates-expression	COL1A2		IL4-inactive-by-network-sig	-1.0		COL1A2-R	-19.844167641322727	2.4087265265499404E-9
EDNRA	upregulates-expression	COL3A1		EDNRA-inactive-by-network-sig	-1.0		COL3A1-R	-18.818991288578776	6.71453479012063E-9
PARP1	upregulates-expression	ZEB1		PARP1-inactive-by-network-sig	-1.0		ZEB1-R	-18.487309071408163	9.355428523187429E-9
RUNX2	upregulates-expression	ITGA5		RUNX2-G	-6.512036853174342	0.0014854509939959	ITGA5-R	-18.436344896687338	9.844578920319041E-9
RUNX2	upregulates-expression	ITGA5		RUNX2-inactive-by-network-sig	-1.0		ITGA5-R	-18.436344896687338	9.844578920319041E-9
EPAS1	upregulates-expression	MMP14		EPAS1-inactive-by-network-sig	-1.0		MMP14-R	-16.95105201378318	4.34762070098274E-8
SRF	upregulates-expression	MMP14		SRF-inactive-by-network-sig	-1.0		MMP14-R	-16.95105201378318	4.34762070098274E-8
RELA	upregulates-expression	MMP14		RELA-inactive-by-network-sig	-1.0		MMP14-R	-16.95105201378318	4.34762070098274E-8
RUNX2	upregulates-expression	COL1A1		RUNX2-inactive-by-network-sig	-1.0		COL1A1-R	-16.72645606395257	5.44242470828586E-8
