Overall graph size pval = 0.4628
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MYCN	5.0E-4	4.0E-4	1.0
FOS	0.1226	0.0183	1.0
TFDP1	0.3142	0.061	1.0
TP53	0.0702	0.1525	0.2381
FOXM1	0.1241	0.1099	1.0
YBX1	0.1979	1.0	0.1134
E2F3	0.1384	0.1198	1.0
FANCD2	0.2044	0.1824	1.0
JUN	0.3729	0.1832	1.0
ATR	0.2064	0.185	1.0
ATM	0.2927	0.1882	1.0
E2F1	0.2753	0.1883	1.0
E2F4	0.2694	1.0	0.238
RBL2	0.2822	1.0	0.2566
PTGDR	0.4513	0.261	1.0
CCNK	0.2912	0.2616	1.0
CCNT2	0.2912	0.2616	1.0
ELL	0.2912	0.2616	1.0
CCNT1	0.2912	0.2616	1.0
CCNH	0.2912	0.2616	1.0
ELOA	0.2912	0.2616	1.0
NELFB	0.2912	0.2616	1.0
ELOB	0.2912	0.2616	1.0
NELFA	0.2912	0.2616	1.0
NELFCD	0.2912	0.2616	1.0
ELOC	0.2912	0.2616	1.0
NELFE	0.2912	0.2616	1.0
SUPT16H	0.2912	0.2616	1.0
GTF2F1	0.2912	0.2616	1.0
GTF2F2	0.2912	0.2616	1.0
RAD51D	0.2912	0.2616	1.0
CTDP1	0.2912	0.2616	1.0
SUPT4H1	0.2912	0.2616	1.0
POLR2A	0.2912	0.2616	1.0
POLR2B	0.2912	0.2616	1.0
POLR2C	0.2912	0.2616	1.0
POLR2D	0.2912	0.2616	1.0
POLR2E	0.2912	0.2616	1.0
POLR2F	0.2912	0.2616	1.0
POLR2G	0.2912	0.2616	1.0
POLR2H	0.2912	0.2616	1.0
POLR2I	0.2912	0.2616	1.0
POLR2J	0.2912	0.2616	1.0
POLR2K	0.2912	0.2616	1.0
POLR2L	0.2912	0.2616	1.0
ELOA2	0.2912	0.2616	1.0
GTF2H1	0.2912	0.2616	1.0
ELOA3	0.2912	0.2616	1.0
GTF2H2	0.2912	0.2616	1.0
SSRP1	0.2912	0.2616	1.0
GTF2H3	0.2912	0.2616	1.0
SUPT5H	0.2912	0.2616	1.0
GTF2H4	0.2912	0.2616	1.0
GTF2H5	0.2912	0.2616	1.0
CDK9	0.2912	0.2616	1.0
CDK7	0.2912	0.2616	1.0
ERCC3	0.2912	0.2616	1.0
ELOA3D	0.2912	0.2616	1.0
TCEA1	0.2912	0.2616	1.0
ELOA3B	0.2912	0.2616	1.0
CDK12	0.2912	0.2616	1.0
MNAT1	0.2912	0.2616	1.0
RELA	0.7994	1.0	0.3016
ERCC2	0.3768	0.3449	1.0
BRCA1	0.3769	0.3451	1.0
RBL1	0.4104	1.0	0.3842
STAT3	0.8027	1.0	0.4684
HDAC1	0.5095	1.0	0.4822
MDC1	0.5214	0.4902	1.0
FANCI	0.5225	0.4905	1.0
CHEK1	0.6123	0.4939	1.0
ATF2	0.7898	0.5952	1.0
TFDP2	0.9472	0.7887	1.0
SP1	0.9637	0.8908	1.0
MYC	0.9647	0.9399	1.0
NR3C1	1.0	1.0	1.0
TP63	1.0	1.0	1.0
ESR1	1.0	1.0	1.0
