Overall graph size pval = 3.0E-4
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
GATA3	1.0E-4	1.0E-4	0.4099
E2F1	1.0E-4	0.1265	6.0E-4
E2F5	0.0074	1.0E-4	1.0
MYC	0.0733	0.9988	1.0E-4
CDK1	0.073	1.0	1.0E-4
ESR1	1.0E-4	1.0E-4	0.1362
WT1	0.002	0.3267	2.0E-4
FYN	0.002	3.0E-4	1.0
MYBL2	0.0039	1.0	3.0E-4
TFDP1	0.0074	0.6011	4.0E-4
FOXM1	5.0E-4	0.0596	0.0031
E2F2	0.0187	1.0	5.0E-4
AGO2	9.0E-4	0.1011	0.0052
SP1	0.0201	9.0E-4	0.8079
RBPJ	0.0011	0.0094	0.0644
E2F3	0.0341	1.0	0.0011
RBL1	0.0244	0.0012	1.0
HOXB7	0.0018	0.0014	0.3997
MOV10	0.0016	0.1117	0.0074
AGO3	0.0016	0.1117	0.0074
AGO4	0.0016	0.1117	0.0074
AGO1	0.0016	0.1117	0.0074
TNRC6C	0.0016	0.1117	0.0074
TNRC6A	0.0016	0.1117	0.0074
TNRC6B	0.0016	0.1117	0.0074
RUNX2	0.0056	0.0019	0.633
CAMK2D	0.0093	0.0019	1.0
IRF1	0.0245	0.6809	0.0023
CHEK1	0.0891	1.0	0.0023
MAX	0.0603	0.9224	0.0026
IL2RA	0.0693	1.0	0.0033
EZH2	0.0045	0.0038	0.2909
TWIST1	0.0038	0.2325	0.0051
STAT6	0.077	0.0039	1.0
FAM20C	0.0187	0.0042	0.7788
E2F4	0.1075	0.0043	1.0
MAML2	0.0045	0.0153	0.1484
RBL2	0.0889	0.0053	1.0
PTTG1	0.0285	0.6642	0.0054
EDNRA	0.0265	0.0056	1.0
PRKCD	0.019	0.0063	0.6353
TWIST2	0.0065	0.1056	0.0291
SIRT1	0.0066	0.0796	0.0446
RELA	0.0184	0.3621	0.0067
NFKB1	0.0117	0.2673	0.0069
CDK2	0.2176	0.9781	0.0072
YBX1	0.115	0.0077	1.0
IL2	0.1166	1.0	0.0079
MAML1	0.0085	0.0225	0.1956
LMO2	0.0094	0.0784	0.076
EP300	0.0184	0.01	0.4126
NOTCH1	0.0124	0.0101	0.4688
HIST2H2AA3	0.0103	0.0364	0.1999
HIST2H2AC	0.0103	0.0364	0.1999
TP53	0.0389	0.0103	0.5649
H2AFB1	0.0103	0.0364	0.1999
HIST1H2AD	0.0103	0.0364	0.1999
HIST1H2AB	0.0103	0.0364	0.1999
HIST1H2AJ	0.0103	0.0364	0.1999
H2AFJ	0.0103	0.0364	0.1999
H2AFZ	0.0103	0.0364	0.1999
H2AFX	0.0103	0.0364	0.1999
H2AFV	0.0103	0.0364	0.1999
TCF7L2	0.0103	0.1028	0.04
GATA2	0.0181	0.0104	0.5526
ETS1	0.0846	0.011	0.9069
HSF1	0.0116	0.1762	0.0308
LIN37	0.012	0.0705	0.0901
SRF	0.0757	0.0121	1.0
PRKG2	0.0121	0.2304	0.0216
PKD1	0.0357	0.0121	1.0
BRCA1	0.0134	0.3213	0.013
LIN54	0.0132	0.0752	0.0966
CTNNB1	0.0175	0.0132	0.4103
LIN9	0.0132	0.0752	0.0966
MSC	0.015	0.0138	0.4064
ESRRA	0.0172	0.4375	0.014
LIN52	0.0142	0.0759	0.0958
NCOA3	0.034	0.0144	0.6511
CDKN2A	0.0404	0.6182	0.0146
ATF3	0.0849	1.0	0.0153
RPS6KB2	0.0548	0.0153	1.0
TRRAP	0.1318	1.0	0.0154
HSP90AA1	0.0455	0.0158	1.0
PRDM1	0.0938	0.0158	1.0
MAMLD1	0.0162	0.0671	0.1337
MAML3	0.0162	0.0671	0.1337
STAT5A	0.1281	0.8701	0.0164
CREM	0.0315	0.0166	0.5403
ELK1	0.1307	1.0	0.0168
FOSL2	0.0216	0.0169	0.5133
SALL4	0.0169	0.2788	0.0315
PRKD1	0.0179	0.0172	0.3796
EPAS1	0.125	0.0174	1.0
JUN	0.0178	0.078	0.0979
TAL1	0.018	0.0397	0.2657
ZAP70	0.0624	0.0181	1.0
PKN1	0.0182	0.296	0.0263
FOXA1	0.196	0.0185	1.0
HIF1A	0.0502	0.0188	0.5789
YWHAE	0.115	1.0	0.0196
HIST3H2BB	0.0201	0.0509	0.2346
HIST2H3C	0.0201	0.0509	0.2346
H2BFS	0.0201	0.0509	0.2346
H3F3B	0.0201	0.0509	0.2346
HIST1H3E	0.0201	0.0509	0.2346
HIST1H4C	0.0201	0.0509	0.2346
HIST1H2AC	0.0201	0.0509	0.2346
HIST1H2BH	0.0201	0.0509	0.2346
HIST1H2BG	0.0201	0.0509	0.2346
HIST1H2BB	0.0201	0.0509	0.2346
HIST1H2BA	0.0201	0.0509	0.2346
HIST1H2BD	0.0201	0.0509	0.2346
HIST1H2BN	0.0201	0.0509	0.2346
HIST1H2BM	0.0201	0.0509	0.2346
