Overall graph size pval = 0.001
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
CDK1	0.0414	1.0	1.0E-4
FYN	0.0011	1.0E-4	1.0
CAMK2D	0.0068	0.0011	1.0
CHEK1	0.0683	1.0	0.0033
FAM20C	0.018	0.0041	0.7789
PKN1	0.0058	0.1848	0.0139
CDK2	0.3061	0.9965	0.0069
ERBB2	0.007	0.0211	0.2318
PRKG2	0.0095	0.2302	0.0183
PRKCD	0.0283	0.014	0.5723
RPS6KB2	0.0535	0.0155	1.0
ZAP70	0.0632	0.0176	1.0
PRKD1	0.0181	0.0177	0.385
CBL	0.0215	0.1079	0.1139
KDR	0.0664	0.0227	1.0
VEGFA	0.0664	0.0227	1.0
SRC	0.0586	0.0247	0.6417
FGR	0.0912	0.0309	1.0
SYK	0.1064	0.034	1.0
YES1	0.1166	0.0371	1.0
GNAI3	0.1526	0.0474	1.0
GNAI1	0.1526	0.0474	1.0
GNAI2	0.1526	0.0474	1.0
GNAZ	0.1526	0.0474	1.0
GNAO1	0.1526	0.0474	1.0
BUB1	0.1699	1.0	0.0486
SHC1	0.1463	0.0489	1.0
PDPK1	0.0531	0.0913	0.4041
DYRK2	0.1887	0.0684	1.0
CSNK1D	0.0795	0.2432	0.2189
PLK1	0.3671	1.0	0.0838
MRE11	0.176	1.0	0.0843
JAK2	0.25	0.088	1.0
CDK5R1	0.0922	0.2485	0.2321
YWHAE	0.3047	1.0	0.0951
CK1	0.096	0.2652	0.2441
PTK6	0.1832	0.1004	1.0
PIK3CA	0.1795	0.1041	1.0
ACTB	0.1999	1.0	0.106
CDH1	0.206	0.1066	1.0
WEE1	0.1072	0.2609	0.2362
AURKB	0.4507	1.0	0.1112
HIPK1	0.2067	0.1137	1.0
PTK2B	0.2233	0.1232	1.0
PPP2R5C	0.2513	0.125	1.0
HSP90AA1	0.2306	0.127	1.0
PTK2	0.2281	0.1276	1.0
LYN	0.1302	0.147	0.4658
ABL1	0.1302	0.3066	0.2775
PAK1	0.4119	0.1303	1.0
BCR	0.2355	0.1306	1.0
LCK	0.3392	0.1308	1.0
SOS1	0.2339	0.1343	1.0
RHOA	0.2553	0.1365	1.0
PPP2R5A	0.2246	1.0	0.139
CAMK2A	0.354	0.148	1.0
KITLG	0.281	1.0	0.1482
PDGFB	0.2588	0.1497	1.0
BLK	0.2641	0.1519	1.0
PRKD2	0.2791	0.1582	1.0
MET	0.2821	0.1595	1.0
ROCK2	0.3041	1.0	0.1598
SMPD1	0.3041	1.0	0.1607
PRKCH	0.3043	1.0	0.1608
PRKCA	0.565	0.1609	1.0
PRKACA	0.7532	0.1686	1.0
MAP2K4	0.3011	0.175	1.0
EPO	0.3039	0.177	1.0
EPOR	0.3039	0.177	1.0
EDN1	0.3029	0.1772	1.0
BTK	0.3077	0.1783	1.0
INSR	0.3192	0.179	1.0
HLA-DRB1	0.3316	0.1801	1.0
HLA-DRA	0.3316	0.1801	1.0
CD4	0.3316	0.1801	1.0
PIK3R1	0.3104	0.1809	1.0
ERBB3	0.3303	0.1822	1.0
EGF	0.3334	1.0	0.1832
PF4	0.3314	0.1833	1.0
CXCL10	0.3314	0.1833	1.0
CXCL11	0.3314	0.1833	1.0
CXCL9	0.3314	0.1833	1.0
FN1	0.3326	0.1914	1.0
ITGB3	0.3326	0.1914	1.0
CD3E	0.3492	0.1944	1.0
CD3D	0.3492	0.1944	1.0
PRKG1	0.1947	0.3515	0.3249
NRG1	0.3566	0.1959	1.0
PDGFRB	0.3306	0.1967	1.0
FLNA	0.3515	0.1968	1.0
WNT5A	0.3515	0.1968	1.0
PLCG2	0.3325	0.1973	1.0
MAPK14	0.2148	0.5223	0.1974
PPP2R3B	0.3518	1.0	0.1987
