Overall graph size pval = 1.0E-4
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
GATA3	1.0E-4	0.419	1.0E-4
FYN	0.001	1.0	1.0E-4
MYC	0.0776	1.0E-4	0.9991
CDK1	0.0728	1.0E-4	1.0
ESR1	1.0E-4	0.1323	1.0E-4
E2F5	0.0071	1.0	3.0E-4
MYBL2	0.0043	3.0E-4	1.0
FOXM1	4.0E-4	0.0022	0.068
E2F1	4.0E-4	5.0E-4	0.1274
AGO2	7.0E-4	0.0056	0.0957
E2F3	0.0302	7.0E-4	1.0
WT1	0.0019	9.0E-4	0.3233
TFDP1	0.0061	9.0E-4	0.5999
E2F2	0.0187	0.001	1.0
RBPJ	0.0011	0.0668	0.0096
SP1	0.0207	0.8068	0.0011
RBL1	0.0244	1.0	0.0011
MOV10	0.0012	0.0078	0.1046
AGO3	0.0012	0.0078	0.1046
AGO4	0.0012	0.0078	0.1046
AGO1	0.0012	0.0078	0.1046
TNRC6C	0.0012	0.0078	0.1046
TNRC6A	0.0012	0.0078	0.1046
TNRC6B	0.0012	0.0078	0.1046
RUNX2	0.0056	0.6227	0.0013
HOXB7	0.0021	0.401	0.0016
MAX	0.0605	0.0018	0.9209
CAMK2D	0.0099	1.0	0.0022
CHEK1	0.0927	0.0025	1.0
IRF1	0.0228	0.003	0.6866
EZH2	0.0042	0.2969	0.0034
IL2RA	0.0649	0.0038	1.0
E2F4	0.101	1.0	0.0039
STAT6	0.0822	1.0	0.0044
TWIST1	0.0053	0.0048	0.2456
MAML2	0.0049	0.1474	0.0167
RBL2	0.0883	1.0	0.0049
FAM20C	0.0185	0.7765	0.005
EDNRA	0.0262	1.0	0.0052
PTTG1	0.0319	0.0063	0.6815
RELA	0.0193	0.0073	0.3662
SIRT1	0.0075	0.0476	0.0839
NFKB1	0.0105	0.0076	0.2658
TWIST2	0.0083	0.0287	0.1163
PRKCD	0.0225	0.6408	0.0085
TCF7L2	0.0085	0.042	0.1031
NOTCH1	0.0106	0.4588	0.0086
IL2	0.119	0.009	1.0
YBX1	0.1138	1.0	0.0092
MAML1	0.0094	0.1958	0.022
TP53	0.0381	0.5765	0.0095
ETS1	0.0834	0.9073	0.0095
CDK2	0.2293	0.0096	0.9785
PRKG2	0.0098	0.0209	0.2343
ESRRA	0.0156	0.0099	0.4411
HIST2H2AA3	0.0111	0.1979	0.0379
