Overall graph size pval = 0.1235
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MYC	0.2656	1.0E-4	0.9998
GATA3	2.0E-4	0.4852	1.0E-4
ESR1	1.0E-4	0.1813	1.0E-4
E2F5	0.0125	1.0	2.0E-4
MYBL2	0.0084	3.0E-4	1.0
E2F1	0.0026	5.0E-4	0.32
RBL1	0.0429	1.0	0.0011
E2F2	0.0347	0.0012	1.0
TFDP1	0.0185	0.0013	0.7366
E2F3	0.0639	0.0014	1.0
IL2RA	0.0607	0.0017	1.0
AGO2	0.0021	0.014	0.1025
FOXM1	0.0023	0.0047	0.1338
E2F4	0.102	1.0	0.0024
RBPJ	0.0028	0.0737	0.0223
MOV10	0.0034	0.019	0.1215
AGO3	0.0034	0.019	0.1215
AGO4	0.0034	0.019	0.1215
AGO1	0.0034	0.019	0.1215
TNRC6C	0.0034	0.019	0.1215
TNRC6A	0.0034	0.019	0.1215
TNRC6B	0.0034	0.019	0.1215
HOXB7	0.005	0.4352	0.0036
WT1	0.0066	0.0043	0.4253
RBL2	0.1345	1.0	0.0045
MAX	0.1852	0.005	0.9684
IL2	0.1116	0.005	1.0
RUNX2	0.0111	0.6547	0.0052
IRF1	0.0623	0.0056	0.7951
PTTG1	0.0567	0.0076	0.7656
TWIST1	0.0119	0.0097	0.33
MAML2	0.0111	0.1648	0.0383
IL2RG	0.1548	0.0128	1.0
IL2RB	0.1531	0.0134	1.0
YBX1	0.1786	1.0	0.0151
TWIST2	0.0152	0.0464	0.1628
CREM	0.0569	0.6245	0.0153
NFKB1	0.0768	0.0154	0.5743
STAT6	0.1581	1.0	0.0157
RELA	0.1082	0.0162	0.6832
CD247	0.1219	0.0166	1.0
HIST2H2AA3	0.0177	0.2174	0.059
HIST2H2AC	0.0177	0.2174	0.059
HIST1H2AD	0.0177	0.2174	0.059
HIST1H2AB	0.0177	0.2174	0.059
HIST1H2AJ	0.0177	0.2174	0.059
H2AFB1	0.0177	0.2174	0.059
H2AFJ	0.0177	0.2174	0.059
H2AFZ	0.0177	0.2174	0.059
H2AFX	0.0177	0.2174	0.059
H2AFV	0.0177	0.2174	0.059
TRRAP	0.1925	0.0182	1.0
ESRRA	0.0281	0.0185	0.5078
PRDM1	0.1306	1.0	0.0195
CDKN2A	0.0552	0.0199	0.6766
ELK1	0.1856	0.02	1.0
MAML1	0.0201	0.224	0.0487
LIN54	0.0202	0.1226	0.0934
LIN52	0.0202	0.1226	0.0934
LIN37	0.0202	0.1226	0.0934
LIN9	0.0202	0.1226	0.0934
LMO2	0.021	0.103	0.1166
TCF7L2	0.0219	0.0507	0.1701
