Overall graph size pval = 0.0014
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
FYN	0.0016	1.0	1.0E-4
CDK1	0.0408	2.0E-4	1.0
CAMK2D	0.0065	1.0	8.0E-4
CHEK1	0.0746	0.0034	1.0
FAM20C	0.0168	0.7774	0.0041
PKN1	0.0046	0.0112	0.1882
PRKG2	0.0072	0.0193	0.2264
ERBB2	0.0079	0.2155	0.0256
CDK2	0.313	0.0086	0.9972
PRKCD	0.0274	0.5701	0.0139
RPS6KB2	0.0546	1.0	0.0151
CBL	0.0161	0.1109	0.1038
PRKD1	0.0186	0.3852	0.0174
KDR	0.0612	1.0	0.0196
VEGFA	0.0612	1.0	0.0196
SRC	0.0542	0.633	0.0208
ZAP70	0.0621	1.0	0.0214
FGR	0.0897	1.0	0.0299
SYK	0.1015	1.0	0.0342
YES1	0.1132	1.0	0.0388
BUB1	0.169	0.0442	1.0
SHC1	0.142	1.0	0.0465
PDPK1	0.0512	0.4117	0.0872
GNAI3	0.1551	1.0	0.0548
GNAI1	0.1551	1.0	0.0548
GNAI2	0.1551	1.0	0.0548
GNAZ	0.1551	1.0	0.0548
GNAO1	0.1551	1.0	0.0548
DYRK2	0.1936	1.0	0.0719
CSNK1D	0.0752	0.2118	0.2411
PLK1	0.3647	0.077	1.0
MRE11	0.1804	0.0842	1.0
JAK2	0.2427	1.0	0.0902
CDK5R1	0.094	0.224	0.2572
PIK3CA	0.1738	1.0	0.0946
YWHAE	0.3074	0.096	1.0
PTK6	0.1783	1.0	0.0973
CK1	0.0977	0.2352	0.2721
CDH1	0.2021	1.0	0.1043
ACTB	0.1999	0.1057	1.0
WEE1	0.1109	0.2427	0.2694
HIPK1	0.1998	1.0	0.1121
AURKB	0.459	0.114	1.0
SOS1	0.2225	1.0	0.1254
PTK2B	0.2282	1.0	0.1271
LYN	0.1273	0.4578	0.148
PTK2	0.2351	1.0	0.1277
HSP90AA1	0.2316	1.0	0.1282
PPP2R5C	0.2592	1.0	0.129
PAK1	0.4235	1.0	0.1298
ABL1	0.1313	0.2798	0.3005
LCK	0.3279	1.0	0.1324
BCR	0.2298	1.0	0.1341
KITLG	0.2712	0.1416	1.0
RHOA	0.2585	1.0	0.1422
PDGFB	0.2483	1.0	0.1427
CAMK2A	0.3519	1.0	0.1435
BLK	0.248	1.0	0.1438
PPP2R5A	0.2375	0.1443	1.0
PRKCH	0.3055	0.1562	1.0
ROCK2	0.3026	0.1565	1.0
PRKD2	0.2814	1.0	0.1597
MET	0.2752	1.0	0.1597
PRKCA	0.5667	1.0	0.1617
SMPD1	0.308	0.164	1.0
PIK3R1	0.3001	1.0	0.1721
PRKACA	0.7508	1.0	0.1725
EPO	0.3	1.0	0.1726
EPOR	0.3	1.0	0.1726
EGF	0.3214	0.1742	1.0
MAP2K4	0.3064	1.0	0.1745
BTK	0.3007	1.0	0.1762
EDN1	0.3038	1.0	0.1764
PLCG2	0.3133	1.0	0.181
INSR	0.3249	1.0	0.1834
HLA-DRB1	0.3191	1.0	0.1835
