Overall graph size pval = 0.0469
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
GATA3	1.0E-4	1.0E-4	0.4908
E2F5	0.0109	1.0E-4	1.0
ESR1	1.0E-4	1.0E-4	0.1774
MYBL2	0.0078	1.0	2.0E-4
MYC	0.268	0.9999	4.0E-4
E2F3	0.0685	1.0	8.0E-4
E2F1	0.0041	0.3223	0.0011
E2F2	0.0349	1.0	0.0011
TFDP1	0.0205	0.7279	0.0013
RBL1	0.0429	0.0013	1.0
E2F4	0.1043	0.0017	1.0
IL2RA	0.062	1.0	0.0018
AGO2	0.002	0.1028	0.0129
HOXB7	0.0039	0.003	0.4419
WT1	0.0061	0.4232	0.0031
MOV10	0.0033	0.1178	0.0179
AGO3	0.0033	0.1178	0.0179
AGO4	0.0033	0.1178	0.0179
AGO1	0.0033	0.1178	0.0179
TNRC6C	0.0033	0.1178	0.0179
TNRC6A	0.0033	0.1178	0.0179
TNRC6B	0.0033	0.1178	0.0179
RBPJ	0.0035	0.0248	0.0732
FOXM1	0.0036	0.1342	0.0039
RUNX2	0.0118	0.0037	0.6576
RBL2	0.1393	0.0044	1.0
MAX	0.1861	0.9666	0.0053
IL2	0.1181	1.0	0.0054
IRF1	0.0669	0.8027	0.0065
PTTG1	0.0606	0.7601	0.008
MAML2	0.0105	0.0384	0.161
TWIST1	0.0128	0.3368	0.0114
IL2RG	0.1588	1.0	0.0117
TWIST2	0.014	0.1704	0.0467
IL2RB	0.1611	1.0	0.0144
TRRAP	0.1977	1.0	0.0164
YBX1	0.1893	0.0167	1.0
STAT6	0.1657	0.0169	1.0
RELA	0.1131	0.6895	0.0171
NFKB1	0.0799	0.5854	0.0172
ESRRA	0.0268	0.505	0.0175
PRDM1	0.1248	0.0184	1.0
HIST2H2AA3	0.0187	0.0595	0.2128
HIST2H2AC	0.0187	0.0595	0.2128
HIST1H2AD	0.0187	0.0595	0.2128
HIST1H2AB	0.0187	0.0595	0.2128
HIST1H2AJ	0.0187	0.0595	0.2128
H2AFB1	0.0187	0.0595	0.2128
H2AFJ	0.0187	0.0595	0.2128
H2AFZ	0.0187	0.0595	0.2128
H2AFX	0.0187	0.0595	0.2128
H2AFV	0.0187	0.0595	0.2128
LIN54	0.0191	0.089	0.1237
LIN52	0.0191	0.089	0.1237
LIN37	0.0191	0.089	0.1237
LIN9	0.0191	0.089	0.1237
MAML1	0.0192	0.0465	0.2263
LMO2	0.0192	0.1143	0.0976
CREM	0.0573	0.0194	0.6392
ELK1	0.195	1.0	0.02
ATF3	0.128	1.0	0.0205
CDKN2A	0.0586	0.6684	0.0211
CD247	0.1284	1.0	0.0212
TCF7L2	0.0224	0.174	0.0526
STAT5A	0.227	0.925	0.0231
SRF	0.1152	0.0234	1.0
MSC	0.0328	0.0236	0.4659
GATA2	0.0432	0.0237	0.6156
EZH2	0.0367	0.0242	0.4055
SP1	0.1535	0.0243	0.8841
NOTCH1	0.0256	0.0251	0.4804
BRCA1	0.0476	0.4413	0.0253
REL	0.2304	1.0	0.0284
IL12RB2	0.2702	1.0	0.0298
IL12A	0.2702	1.0	0.0298
SIRT1	0.0303	0.1289	0.0987
SALL4	0.0305	0.3431	0.0482
HIST3H2BB	0.0322	0.0826	0.2477
H3F3B	0.0322	0.0826	0.2477
HIST2H3C	0.0322	0.0826	0.2477
HIST1H3E	0.0322	0.0826	0.2477
HIST1H4C	0.0322	0.0826	0.2477
HIST1H2AC	0.0322	0.0826	0.2477
HIST1H2BH	0.0322	0.0826	0.2477
HIST1H2BG	0.0322	0.0826	0.2477
HIST1H2BB	0.0322	0.0826	0.2477
HIST1H2BA	0.0322	0.0826	0.2477
HIST1H2BD	0.0322	0.0826	0.2477
H2BFS	0.0322	0.0826	0.2477
HIST1H2BN	0.0322	0.0826	0.2477
HIST1H2BM	0.0322	0.0826	0.2477
HIST1H2BO	0.0322	0.0826	0.2477
HIST1H2BJ	0.0322	0.0826	0.2477
HIST1H2BL	0.0322	0.0826	0.2477
HIST1H2BK	0.0322	0.0826	0.2477
NCOA3	0.066	0.0324	0.6728
FOSL2	0.0407	0.0326	0.5374
CREB1	0.0789	0.5205	0.0327
IL6ST	0.1829	1.0	0.0331
TAL1	0.0342	0.057	0.3048
VHL	0.1919	0.0346	1.0
CTNNB1	0.038	0.0347	0.4191
MAML3	0.035	0.1206	0.1422
MAMLD1	0.035	0.1206	0.1422
RUVBL2	0.2329	1.0	0.0354
ERBB4	0.0413	0.0362	0.4728
ETS1	0.184	0.0382	0.9244
PTGDR	0.1898	0.7864	0.0386
IL12RB1	0.4918	1.0	0.0396
IL12B	0.4918	1.0	0.0396
NR4A1	0.1924	0.0401	1.0
ETV6	0.1297	0.0411	1.0
MYCN	0.4517	1.0	0.0432
FOSL1	0.0439	0.2173	0.0922
TYK2	0.5199	1.0	0.0477
NKX3-1	0.1258	1.0	0.0479
EDNRA	0.1246	0.0486	1.0
FOXA1	0.3318	0.0487	1.0
TP53	0.1557	0.0495	0.7247
AIP	0.1305	1.0	0.0501
EPAS1	0.2088	0.0513	1.0
HDAC7	0.1971	1.0	0.0519
HIST2H2BE	0.0527	0.0988	0.3137
IRF2	0.1778	1.0	0.0527
NF1	0.2198	1.0	0.0528
STAT5B	0.1652	0.6798	0.0532
EP300	0.0728	0.0549	0.4772
CIITA	0.3014	1.0	0.0552
TCF4	0.1442	0.7101	0.0553
APC	0.2722	0.0554	1.0
JAK2	0.5474	1.0	0.0576
GABPB1	0.3137	1.0	0.0586
CD3D	0.2765	1.0	0.0587
GABPA	0.3157	1.0	0.0603
NKX2-5	0.1784	1.0	0.0627
IRF3	0.271	1.0	0.0655
DCT	0.1768	0.066	1.0
EGR1	0.1193	0.0661	0.6104
REST	0.0685	0.2352	0.1459
KLF8	0.0697	0.0966	0.3898
TFDP2	0.2838	0.8315	0.0705
RBBP4	0.0707	0.1519	0.2503
NELFB	0.325	1.0	0.072
SNAI2	0.1199	0.0723	0.6241
POLR2F	0.1308	0.5754	0.0733
FOS	0.1307	0.4909	0.0735
TCF3	0.0756	0.0854	0.4374
HSF1	0.0757	0.2194	0.1821
HDAC1	0.0766	0.3715	0.0882
POU1F1	0.1732	0.0767	1.0
HIF1A	0.1533	0.0781	0.6521
MMP7	0.1721	0.0819	1.0
SMAD4	0.0857	0.0823	0.4576
SP3	0.1095	0.0824	0.5248
MYB	0.0827	0.1785	0.216
HES1	0.1181	0.591	0.0832
PAX8	0.2701	0.091	1.0
SNAI1	0.0983	0.3976	0.1381
SNW1	0.0989	0.1658	0.3457
JUN	0.1007	0.2693	0.1442
HEY2	0.102	0.1314	0.42
ATF2	0.1029	0.3702	0.1026
KAT2B	0.1051	0.1986	0.2742
AHR	0.4589	1.0	0.1094
NELFCD	0.4222	1.0	0.111
JUND	0.1878	0.5777	0.113
LEF1	0.2644	0.1172	0.8316
NANOG	0.2856	0.1237	0.8233
SMARCA4	0.4256	1.0	0.1243
PIK3CA	0.1249	0.3289	0.2376
PCNA	0.128	0.3542	0.2093
FOXA3	0.272	0.128	1.0
SMAD2	0.2801	0.1283	1.0
PURA	0.1295	0.2379	0.3246
NOTCH2	0.13	0.3589	0.2083
DLX5	0.1318	0.3311	0.2411
BCL2	0.135	0.2024	0.3824
MITF	0.338	0.1352	1.0
ZBTB17	0.1379	0.2597	0.291
POU5F1	0.162	0.1384	0.5259
PDX1	0.2719	0.139	1.0
NCOR1	0.1399	0.1828	0.3704
IL10	0.743	0.1419	1.0
TFAP2A	0.3632	0.1419	0.8849
NRF1	0.2968	0.7248	0.1421
ATF4	0.4658	0.8917	0.1443
IL4	0.4806	0.1489	1.0
IL23R	0.5956	1.0	0.1507
NFIC	0.4738	1.0	0.1558
JUNB	0.162	0.2636	0.3253
MAPK3	0.162	0.2401	0.407
MECP2	0.2003	0.5558	0.1621
IL23A	0.6287	1.0	0.1658
KAT2A	0.166	0.4219	0.176
SOX17	0.1663	0.2721	0.3817
POU2F1	0.169	0.3803	0.2176
RB1	0.4436	0.1692	0.8706
NPAS2	0.1694	0.424	0.1808
SPDEF	0.3725	0.17	1.0
GATA6	0.1727	0.3573	0.3065
SOX6	0.173	0.3005	0.3565
PGR	0.4715	0.1753	1.0
SMAD7	0.1901	0.1754	0.5445
PPARGC1A	0.5699	0.931	0.1797
EDN1	0.3666	0.1851	1.0
RUNX1	0.6202	0.1872	1.0
BCL6	0.4911	1.0	0.1902
CBFB	0.5724	0.1903	1.0
CDKN1A	0.1928	0.3936	0.2607
MAPK1	0.1957	0.2695	0.4342
SMAD3	0.1963	0.4334	0.1969
ARNTL	0.1964	0.4558	0.1967
KAT5	0.1965	0.2201	0.4948
SATB1	0.4244	0.1969	1.0
SUPT7L	0.499	1.0	0.207
TAF12	0.499	1.0	0.207
TAF10	0.499	1.0	0.207
MTOR	0.5061	1.0	0.2085
FOXQ1	0.4996	1.0	0.2097
FOXA2	0.437	0.2099	0.8875
JAK3	0.5056	1.0	0.2107
POLE3	0.5019	1.0	0.2111
ETV4	0.4197	0.2152	1.0
TFAP2C	0.4208	0.2186	1.0
INS	0.2199	0.3819	0.3558
NOTCH3	0.4686	0.2295	1.0
ASCL1	0.2343	0.2887	0.4617
IRF7	0.5629	1.0	0.2368
TSC22D3	0.4948	0.2374	1.0
HDAC4	0.5159	1.0	0.2398
ZBTB7A	0.5643	0.2408	1.0
FOXD3	0.5096	1.0	0.2413
SUPT3H	0.5623	1.0	0.2434
ACTL6A	0.5638	1.0	0.2444
IL18	0.5676	1.0	0.2466
IL18R1	0.5676	1.0	0.2466
IL18RAP	0.5676	1.0	0.2466
TRIM28	0.5679	0.2483	1.0
JAK1	0.5712	1.0	0.2493
PITX1	0.472	1.0	0.2501
ERG	0.2654	0.2506	0.581
PAX5	0.3725	0.7102	0.2571
MTA1	0.3356	0.6706	0.2583
FLI1	0.2605	0.2707	0.559
CLOCK	0.2862	0.5236	0.2642
PML	0.6628	1.0	0.2648
ZNF300	0.4937	1.0	0.2662
ANKRD1	0.4955	1.0	0.2672
CTCF	0.4992	0.2689	1.0
MLLT10	0.5003	0.2735	1.0
IL13	0.6652	0.2737	1.0
HNF1A	0.7965	1.0	0.274
STAT3	0.2752	0.4235	0.2921
AKT1	0.5642	1.0	0.2765
ATR	0.6173	1.0	0.2814
FOXF2	0.2816	0.3937	0.4449
MDC1	0.6189	1.0	0.2825
RAD51D	0.6178	1.0	0.2831
STAT4	0.287	0.4178	0.3606
MMP13	0.4964	0.2944	1.0
MEN1	0.5631	0.3014	1.0
ARNT	0.6426	0.3017	0.962
RUVBL1	0.6202	1.0	0.3031
PIAS1	0.5692	1.0	0.3049
HNF4A	0.4355	0.3103	0.7609
TAF9	0.668	1.0	0.3103
AR	0.8476	0.3119	1.0
CDK12	0.6662	1.0	0.3156
ELOA	0.6662	1.0	0.3156
ELOB	0.6662	1.0	0.3156
ELOC	0.6662	1.0	0.3156
NELFA	0.6662	1.0	0.3156
NELFE	0.6662	1.0	0.3156
CTDP1	0.6662	1.0	0.3156
GTF2H1	0.6662	1.0	0.3156
GTF2H3	0.6662	1.0	0.3156
GTF2H4	0.6662	1.0	0.3156
GTF2H5	0.6662	1.0	0.3156
CCNT2	0.6662	1.0	0.3156
SUPT16H	0.6662	1.0	0.3156
ELOA2	0.6662	1.0	0.3156
ELOA3	0.6662	1.0	0.3156
CDK7	0.6662	1.0	0.3156
MNAT1	0.6662	1.0	0.3156
CCNK	0.6662	1.0	0.3156
CCNH	0.6662	1.0	0.3156
SUPT4H1	0.6662	1.0	0.3156
ELOA3D	0.6662	1.0	0.3156
TCEA1	0.6662	1.0	0.3156
ELOA3B	0.6662	1.0	0.3156
SUPT5H	0.6662	1.0	0.3156
ERCC3	0.6662	1.0	0.3156
MAZ	0.5024	0.3226	1.0
RXRB	0.49	0.323	1.0
ZFHX3	0.4994	1.0	0.3237
CCNT1	0.3245	0.5368	0.3439
GTF2F1	0.3245	0.5368	0.3439
GTF2F2	0.3245	0.5368	0.3439
CDK9	0.3245	0.5368	0.3439
POLR2A	0.3245	0.5368	0.3439
POLR2B	0.3245	0.5368	0.3439
POLR2C	0.3245	0.5368	0.3439
POLR2D	0.3245	0.5368	0.3439
