Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
ESR1	upregulates-expression	FOXA1		ESR1-inactive-by-network-sig	-1.0		FOXA1-R	-8.551177671525041	1.933173011677E-4
ESR1	upregulates-expression	PGR		ESR1-inactive-by-network-sig	-1.0		PGR-R	-7.567931221563365	5.167604063331E-4
ESR1	upregulates-expression	ZEB1		ESR1-inactive-by-network-sig	-1.0		ZEB1-R	-7.387587553184617	6.188871864483E-4
GATA3	upregulates-expression	ZEB1		GATA3-G	-7.33627350122468	6.514737191339E-4	ZEB1-R	-7.387587553184617	6.188871864483E-4
GATA3	upregulates-expression	ZEB1		GATA3-inactive-by-network-sig	-1.0		ZEB1-R	-7.387587553184617	6.188871864483E-4
ESR1	upregulates-expression	RARA		ESR1-inactive-by-network-sig	-1.0		RARA-R	-7.2495351322699175	7.105046027456E-4
MAX	downregulates-expression	PDGFRB		MAX-G	3.57522498243904	0.028009123504377	PDGFRB-R	-6.476790545714347	0.0015387412826232
MAX	downregulates-expression	PDGFRB		MAX-active-by-network-sig	1.0		PDGFRB-R	-6.476790545714347	0.0015387412826232
MYC	downregulates-expression	PDGFRB		MYC-active-by-network-sig	1.0		PDGFRB-R	-6.476790545714347	0.0015387412826232
ESR1	upregulates-expression	FOXP1		ESR1-inactive-by-network-sig	-1.0		FOXP1-R	-6.2456415394022455	0.0019388863068096
TFDP1	downregulates-expression	PLAU		TFDP1-active-by-network-sig	1.0		PLAU-R	-6.060406146534725	0.0023334529712075
E2F2	downregulates-expression	PLAU		E2F2-active-by-network-sig	1.0		PLAU-R	-6.060406146534725	0.0023334529712075
E2F3	downregulates-expression	PLAU		E2F3-active-by-network-sig	1.0		PLAU-R	-6.060406146534725	0.0023334529712075
E2F1	downregulates-expression	PLAU		E2F1-active-by-network-sig	1.0		PLAU-R	-6.060406146534725	0.0023334529712075
ESR1	upregulates-expression	TFF3		ESR1-inactive-by-network-sig	-1.0		TFF3-R	-5.540654202196723	0.0039239589358778
FOXA1	upregulates-expression	TFF3		FOXA1-G	-7.837170956596217	3.947843243069E-4	TFF3-R	-5.540654202196723	0.0039239589358778
GATA3	upregulates-expression	TFF3		GATA3-inactive-by-network-sig	-1.0		TFF3-R	-5.540654202196723	0.0039239589358778
GATA3	upregulates-expression	TFF3		GATA3-G	-7.33627350122468	6.514737191339E-4	TFF3-R	-5.540654202196723	0.0039239589358778
MAX	downregulates-expression	SFXN3		MAX-G	3.57522498243904	0.028009123504377	SFXN3-R	-5.060577742671783	0.0063418944712296
MAX	downregulates-expression	SFXN3		MAX-active-by-network-sig	1.0		SFXN3-R	-5.060577742671783	0.0063418944712296
MYC	downregulates-expression	SFXN3		MYC-active-by-network-sig	1.0		SFXN3-R	-5.060577742671783	0.0063418944712296
GATA3	downregulates-expression	IL12RB2		GATA3-G	-7.33627350122468	6.514737191339E-4	IL12RB2-R	5.039621277390434	0.0064762005374723
GATA3	downregulates-expression	IL12RB2		GATA3-inactive-by-network-sig	-1.0		IL12RB2-R	5.039621277390434	0.0064762005374723
EZH2	downregulates-expression	DACT3		EZH2-G	6.301023139082408	0.001834426942651	DACT3-R	-4.968178078244026	0.006955809437746
IL2RA	upregulates-expression	GZMB		IL2RA-active-by-network-sig	1.0		GZMB-R	4.845077673897492	0.0078670063702078
E2F1	upregulates-expression	ATG5		E2F1-active-by-network-sig	1.0		ATG5-R	4.696818232107369	0.0091242622499066
MYC	downregulates-expression	COL1A2		MYC-active-by-network-sig	1.0		COL1A2-R	-4.656108881268621	0.0095033692888548
MAX	downregulates-expression	COL1A2		MAX-G	3.57522498243904	0.028009123504377	COL1A2-R	-4.656108881268621	0.0095033692888548
MAX	downregulates-expression	COL1A2		MAX-active-by-network-sig	1.0		COL1A2-R	-4.656108881268621	0.0095033692888548
MAX	upregulates-expression	DKC1		MAX-G	3.57522498243904	0.028009123504377	DKC1-R	4.640750617342167	0.0096504511122334
MAX	upregulates-expression	DKC1		MAX-active-by-network-sig	1.0		DKC1-R	4.640750617342167	0.0096504511122334
MYC	upregulates-expression	DKC1		MYC-active-by-network-sig	1.0		DKC1-R	4.640750617342167	0.0096504511122334
PGR	upregulates-expression	KLK4		PGR-G	-4.496601697498851	0.0111468124875881	KLK4-R	-5.465308205447276	0.004231036817463
E2F1	upregulates-expression	CDCA7		E2F1-active-by-network-sig	1.0		CDCA7-R	4.414716576967523	0.0120979824860997
MAX	upregulates-expression	CDCA7		MAX-active-by-network-sig	1.0		CDCA7-R	4.414716576967523	0.0120979824860997
MAX	upregulates-expression	CDCA7		MAX-G	3.57522498243904	0.028009123504377	CDCA7-R	4.414716576967523	0.0120979824860997
MYC	upregulates-expression	CDCA7		MYC-active-by-network-sig	1.0		CDCA7-R	4.414716576967523	0.0120979824860997
MYC	upregulates-expression	CD38		MYC-active-by-network-sig	1.0		CD38-R	4.320629851505012	0.0132915092283421
PTMA	upregulates-expression	IDO1		PTMA-G	4.138179711343144	0.0159518620862962	IDO1-R	4.152289362348661	0.0157283673038693
COL10A1	upregulates-expression	RUNX2		COL10A1-G	-4.820992702014967	0.0080587831966745	RUNX2-R	-4.078593353827709	0.0169312652094022
ESR1	upregulates-expression	KDM4B		ESR1-inactive-by-network-sig	-1.0		KDM4B-R	-4.07393591761437	0.0170103054166114
E2F1	upregulates-expression	CDC45		E2F1-active-by-network-sig	1.0		CDC45-R	4.06307361190205	0.0171960837180021
TFDP1	upregulates-expression	CDC45		TFDP1-active-by-network-sig	1.0		CDC45-R	4.06307361190205	0.0171960837180021
ESR1	upregulates-expression	CXCL12		ESR1-inactive-by-network-sig	-1.0		CXCL12-R	-4.041641638564474	0.0175686074256915
CEBPZ	downregulates-expression	COL11A1		CEBPZ-G	3.870196802212975	0.0208542648558602	COL11A1-R	-6.164556527162208	0.0021026506262981
MYC	upregulates-expression	HSPD1		MYC-active-by-network-sig	1.0		HSPD1-R	3.828037104735054	0.0217522711820671
MAX	upregulates-expression	HSPD1		MAX-active-by-network-sig	1.0		HSPD1-R	3.828037104735054	0.0217522711820671
MAX	upregulates-expression	HSPD1		MAX-G	3.57522498243904	0.028009123504377	HSPD1-R	3.828037104735054	0.0217522711820671
GATA3	upregulates-expression	CCND1		GATA3-inactive-by-network-sig	-1.0		CCND1-R	-3.7721496942370414	0.0230025616254067
GATA3	upregulates-expression	CCND1		GATA3-G	-7.33627350122468	6.514737191339E-4	CCND1-R	-3.7721496942370414	0.0230025616254067
MYC	downregulates-expression	CCND1		MYC-active-by-network-sig	1.0		CCND1-R	-3.7721496942370414	0.0230025616254067
ESR1	upregulates-expression	CCND1		ESR1-inactive-by-network-sig	-1.0		CCND1-R	-3.7721496942370414	0.0230025616254067
FOXA1	upregulates-expression	CCND1		FOXA1-G	-7.837170956596217	3.947843243069E-4	CCND1-R	-3.7721496942370414	0.0230025616254067
ESR1	upregulates-expression	CXXC5		ESR1-inactive-by-network-sig	-1.0		CXXC5-R	-3.770236637350119	0.0230466089534295
E2F1	upregulates-expression	EZH2		E2F1-active-by-network-sig	1.0		EZH2-R	3.75555047482189	0.0233875727951112
E2F2	upregulates-expression	EZH2		E2F2-active-by-network-sig	1.0		EZH2-R	3.75555047482189	0.0233875727951112
E2F3	upregulates-expression	EZH2		E2F3-active-by-network-sig	1.0		EZH2-R	3.75555047482189	0.0233875727951112
TFDP1	upregulates-expression	EZH2		TFDP1-active-by-network-sig	1.0		EZH2-R	3.75555047482189	0.0233875727951112
WT1	downregulates-expression	AR		WT1-active-by-network-sig	1.0		AR-R	-3.727610073699025	0.024050245521242
NCOR2	upregulates-expression	AR		NCOR2-G	-5.564805248079635	0.0038303264360396	AR-R	-3.727610073699025	0.024050245521242
KRT18	upregulates-expression	AR		KRT18-G	-4.8373420394775195	0.0079280986445708	AR-R	-3.727610073699025	0.024050245521242
ESR1	upregulates-expression	AR		ESR1-inactive-by-network-sig	-1.0		AR-R	-3.727610073699025	0.024050245521242
STAT1	downregulates-expression	GATA3		STAT1-G	3.6600718432493626	0.0257306640854384	GATA3-R	-9.648884945427396	6.449744512401851E-5
STAT1	upregulates-expression	IL12RB2		STAT1-G	3.6600718432493626	0.0257306640854384	IL12RB2-R	5.039621277390434	0.0064762005374723
ESR1	upregulates-expression	TFF1		ESR1-inactive-by-network-sig	-1.0		TFF1-R	-3.65195924836374	0.0259402555551376
FOXA1	upregulates-expression	TFF1		FOXA1-G	-7.837170956596217	3.947843243069E-4	TFF1-R	-3.65195924836374	0.0259402555551376
GATA3	upregulates-expression	TFF1		GATA3-G	-7.33627350122468	6.514737191339E-4	TFF1-R	-3.65195924836374	0.0259402555551376
GATA3	upregulates-expression	TFF1		GATA3-inactive-by-network-sig	-1.0		TFF1-R	-3.65195924836374	0.0259402555551376
E2F1	upregulates-expression	DBF4		E2F1-active-by-network-sig	1.0		DBF4-R	3.6148853313564064	0.0269200119215032
MAX	downregulates-expression	HMGCS2		MAX-active-by-network-sig	1.0		HMGCS2-R	-3.5702966059013717	0.0281475037263244
MAX	downregulates-expression	HMGCS2		MAX-G	3.57522498243904	0.028009123504377	HMGCS2-R	-3.5702966059013717	0.0281475037263244
MYC	downregulates-expression	HMGCS2		MYC-active-by-network-sig	1.0		HMGCS2-R	-3.5702966059013717	0.0281475037263244
WT1	downregulates-expression	IGF1		WT1-active-by-network-sig	1.0		IGF1-R	-3.5311722853878647	0.0292705822706958
WT1	downregulates-expression	TBXA2R		WT1-active-by-network-sig	1.0		TBXA2R-R	-3.529243535104299	0.0293270923939902
MYC	downregulates-expression	WNT5A		MYC-active-by-network-sig	1.0		WNT5A-R	-3.499911698146993	0.0302000500249619
MAX	downregulates-expression	WNT5A		MAX-active-by-network-sig	1.0		WNT5A-R	-3.499911698146993	0.0302000500249619
MAX	downregulates-expression	WNT5A		MAX-G	3.57522498243904	0.028009123504377	WNT5A-R	-3.499911698146993	0.0302000500249619
ESR1	upregulates-expression	XBP1		ESR1-inactive-by-network-sig	-1.0		XBP1-R	-3.439175129087715	0.032091145465698
