Overall graph size pval = 0.1633
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
CDK2	0.0033	0.0018	0.8092
CHEK1	0.0152	0.0083	1.0
MAPK1	0.1545	0.6149	0.088
PLK1	0.0922	0.1823	0.308
CDK5	0.1389	0.1002	0.3706
CSNK2A1	0.7727	0.9794	0.1489
AKT1	0.8166	1.0	0.1774
CDK7	0.2539	0.1956	0.2988
PRKACA	0.2382	0.4859	0.2136
CDK1	0.4718	0.2723	1.0
MAPK3	0.5438	0.7882	0.377
ATR	0.639	0.5581	1.0
MAPK14	0.72	0.6663	1.0
MRE11	0.7728	0.7201	1.0
CSNK2A2	0.9309	0.9032	1.0
NBN	0.9612	0.9372	1.0
ATM	0.9974	0.9944	1.0
PLK3	1.0	1.0	1.0
PRKDC	1.0	1.0	1.0
MAPK8	1.0	1.0	1.0
