Overall graph size pval = 0.8624
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MYCN	3.0E-4	1.0E-4	1.0
E2F4	0.0018	1.0	4.0E-4
E2F3	0.003	0.0014	1.0
E2F1	0.0093	0.0021	1.0
RBL2	0.0122	1.0	0.0053
TFDP1	0.0308	0.0379	0.4288
PTGDR	0.1669	0.049	1.0
RBL1	0.1011	1.0	0.0672
JUN	0.4077	0.1476	1.0
TP53	0.151	0.4009	0.2196
ATF2	0.3747	0.1517	1.0
FOS	0.4692	0.16	1.0
TFDP2	0.1671	0.3465	0.2869
HDAC1	0.2464	1.0	0.1708
FOXM1	0.3678	0.2903	1.0
E2F6	0.374	1.0	0.2985
YBX1	0.4753	1.0	0.3145
TP63	0.3705	0.6335	0.3263
ATR	0.474	0.3852	1.0
FANCD2	0.4758	0.3863	1.0
ATM	0.566	0.3977	1.0
CHEK1	0.5647	0.3986	1.0
CCNK	0.5675	0.4704	1.0
CCNT2	0.5675	0.4704	1.0
ELL	0.5675	0.4704	1.0
CCNT1	0.5675	0.4704	1.0
CCNH	0.5675	0.4704	1.0
ELOA	0.5675	0.4704	1.0
NELFB	0.5675	0.4704	1.0
ELOB	0.5675	0.4704	1.0
NELFA	0.5675	0.4704	1.0
NELFCD	0.5675	0.4704	1.0
ELOC	0.5675	0.4704	1.0
NELFE	0.5675	0.4704	1.0
SUPT16H	0.5675	0.4704	1.0
GTF2F1	0.5675	0.4704	1.0
GTF2F2	0.5675	0.4704	1.0
RAD51D	0.5675	0.4704	1.0
CTDP1	0.5675	0.4704	1.0
SUPT4H1	0.5675	0.4704	1.0
POLR2A	0.5675	0.4704	1.0
POLR2B	0.5675	0.4704	1.0
POLR2C	0.5675	0.4704	1.0
POLR2D	0.5675	0.4704	1.0
POLR2E	0.5675	0.4704	1.0
POLR2F	0.5675	0.4704	1.0
POLR2G	0.5675	0.4704	1.0
POLR2H	0.5675	0.4704	1.0
POLR2I	0.5675	0.4704	1.0
POLR2J	0.5675	0.4704	1.0
POLR2K	0.5675	0.4704	1.0
POLR2L	0.5675	0.4704	1.0
ELOA2	0.5675	0.4704	1.0
GTF2H1	0.5675	0.4704	1.0
ELOA3	0.5675	0.4704	1.0
GTF2H2	0.5675	0.4704	1.0
SSRP1	0.5675	0.4704	1.0
GTF2H3	0.5675	0.4704	1.0
SUPT5H	0.5675	0.4704	1.0
GTF2H4	0.5675	0.4704	1.0
GTF2H5	0.5675	0.4704	1.0
CDK9	0.5675	0.4704	1.0
CDK7	0.5675	0.4704	1.0
ERCC3	0.5675	0.4704	1.0
ELOA3D	0.5675	0.4704	1.0
TCEA1	0.5675	0.4704	1.0
ELOA3B	0.5675	0.4704	1.0
CDK12	0.5675	0.4704	1.0
MNAT1	0.5675	0.4704	1.0
BRCA1	0.641	0.5398	1.0
ERCC2	0.6445	0.5436	1.0
SP1	0.9656	1.0	0.6558
MYC	0.8177	0.6855	1.0
ESR1	0.8273	0.7136	1.0
MDC1	0.8324	0.7729	1.0
FANCI	0.8311	0.7733	1.0
NR3C1	1.0	1.0	1.0
SIRT1	1.0	1.0	1.0
RELA	1.0	1.0	1.0
STAT3	1.0	1.0	1.0
