Overall graph size pval = 2.0E-4
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MDC1	0.0016	1.0E-4	1.0
LIN54	1.0E-4	0.0126	1.0E-4
LIN52	1.0E-4	0.0136	1.0E-4
LIN37	1.0E-4	0.0112	1.0E-4
MAX	0.0209	1.0E-4	0.9713
FOXM1	1.0E-4	1.0E-4	0.1172
NKX3-1	0.0031	1.0E-4	1.0
E2F1	1.0E-4	1.0E-4	0.1307
E2F2	6.0E-4	1.0E-4	0.5793
E2F3	1.0E-4	1.0E-4	0.7264
E2F4	1.0E-4	0.7786	1.0E-4
E2F5	1.0E-4	1.0	1.0E-4
E2F6	0.0033	1.0	1.0E-4
TP53	1.0E-4	0.3347	1.0E-4
AURKB	1.0E-4	1.0E-4	0.8233
AURKA	1.0E-4	1.0E-4	1.0
MYC	0.0037	1.0E-4	0.9999
CDK2	1.0E-4	1.0E-4	0.9926
CDK1	1.0E-4	1.0E-4	0.9951
TFDP1	0.001	1.0E-4	0.5627
RBBP4	1.0E-4	0.033	3.0E-4
MYCN	1.0E-4	1.0E-4	0.8532
ESR1	2.0E-4	0.6109	1.0E-4
RBL2	1.0E-4	1.0	1.0E-4
RBL1	5.0E-4	1.0	1.0E-4
LIN9	1.0E-4	0.0126	1.0E-4
MYBL2	0.003	3.0E-4	1.0
PLK1	0.0033	4.0E-4	0.8411
GATA3	0.0254	1.0	5.0E-4
PTGDR	0.0058	5.0E-4	0.6147
TFDP2	7.0E-4	0.0026	0.0784
MNAT1	0.0079	8.0E-4	1.0
CCNH	0.0079	8.0E-4	1.0
TOPBP1	0.0078	8.0E-4	1.0
MSC	0.0167	1.0	9.0E-4
IRF1	9.0E-4	0.001	0.1789
NELFB	0.0104	0.0011	1.0
POLE3	0.0099	0.0012	1.0
RPS6KB2	0.0226	1.0	0.0013
BRCA1	0.0024	0.0014	0.2938
FAM20C	0.1817	1.0	0.0014
CCND3	0.0148	0.0015	1.0
TERT	0.0177	1.0	0.0015
RELA	0.0167	0.0017	0.5982
ASF1B	0.0105	0.0017	1.0
CCNB1	0.0184	0.0018	1.0
MCM6	0.0164	0.0021	1.0
YBX1	0.0152	0.7602	0.0021
MCM7	0.0123	0.0022	1.0
PLK4	0.0106	0.0023	1.0
NELFCD	0.0241	0.0024	1.0
MCM5	0.0147	0.0025	1.0
NFKB1	0.0248	0.0027	0.6177
CDK5R1	0.0133	0.003	1.0
HIST2H3C	0.0219	1.0	0.0031
H3F3B	0.0219	1.0	0.0031
HIST1H3E	0.0219	1.0	0.0031
HIST1H2AC	0.0219	1.0	0.0031
CDC6	0.0033	0.0045	0.3368
VHL	0.0445	1.0	0.0035
HIST3H2BB	0.0288	1.0	0.0037
H2BFS	0.0288	1.0	0.0037
HIST1H4C	0.0288	1.0	0.0037
HIST1H2BH	0.0288	1.0	0.0037
HIST1H2BG	0.0288	1.0	0.0037
HIST1H2BB	0.0288	1.0	0.0037
HIST1H2BA	0.0288	1.0	0.0037
HIST1H2BD	0.0288	1.0	0.0037
HIST1H2BN	0.0288	1.0	0.0037
HIST1H2BM	0.0288	1.0	0.0037
HIST1H2BO	0.0288	1.0	0.0037
HIST1H2BJ	0.0288	1.0	0.0037
HIST1H2BL	0.0288	1.0	0.0037
HIST1H2BK	0.0288	1.0	0.0037
RAD51D	0.0297	0.0042	1.0
CCNA2	0.0168	0.0044	1.0
ERCC2	0.0422	0.0044	1.0
MAP3K8	0.0155	0.0045	1.0
PPP1R13B	0.034	0.0054	1.0
TP53BP2	0.034	0.0054	1.0
NELFA	0.0454	0.0058	1.0
NELFE	0.0454	0.0058	1.0
CCNT2	0.0454	0.0058	1.0
ELOA2	0.0454	0.0058	1.0
ELOA3	0.0454	0.0058	1.0
CCNK	0.0454	0.0058	1.0
SUPT4H1	0.0454	0.0058	1.0
ELOA3D	0.0454	0.0058	1.0
TCEA1	0.0454	0.0058	1.0
ELOA3B	0.0454	0.0058	1.0
SUPT5H	0.0454	0.0058	1.0
ERCC3	0.0454	0.0058	1.0
ELOA	0.0454	0.0058	1.0
ELOB	0.0454	0.0058	1.0
ELOC	0.0454	0.0058	1.0
CTDP1	0.0454	0.0058	1.0
GTF2H3	0.0454	0.0058	1.0
GTF2H4	0.0454	0.0058	1.0
GTF2H5	0.0454	0.0058	1.0
HIST2H2BE	0.0447	1.0	0.0063
CDK4	0.0436	0.0063	0.9356
RB1	0.007	0.1974	0.0152
GTF2H1	0.0549	0.0075	1.0
STAT5A	0.0077	0.0091	0.2648
SUPT16H	0.054	0.0085	1.0
ATM	0.054	0.0086	0.8851
CCNT1	0.0109	0.0089	0.3976
NCOA3	0.0364	0.7331	0.0089
GTF2F1	0.0109	0.0089	0.3976
POLR2B	0.0109	0.0089	0.3976
POLR2C	0.0109	0.0089	0.3976
POLR2D	0.0109	0.0089	0.3976
POLR2E	0.0109	0.0089	0.3976
POLR2G	0.0109	0.0089	0.3976
POLR2H	0.0109	0.0089	0.3976
POLR2I	0.0109	0.0089	0.3976
POLR2J	0.0109	0.0089	0.3976
POLR2K	0.0109	0.0089	0.3976
POLR2L	0.0109	0.0089	0.3976
OTX2	0.0658	0.0094	1.0
GTF2H2	0.063	0.0101	1.0
CHEK1	0.1291	0.0102	1.0
FANCD2	0.0645	0.0106	1.0
GTF2F2	0.0137	0.0113	0.4081
STAT5B	0.0117	0.0177	0.2121
CDK9	0.0117	0.0166	0.3269
CDKN2A	0.0122	0.0703	0.0787
PTTG1	0.1085	0.0122	1.0
CDC7	0.0482	0.0134	1.0
POLR2A	0.0171	0.0134	0.4219
POLR2F	0.0187	0.0138	0.44
SSRP1	0.0925	0.0156	1.0
PRKCH	0.0708	0.0157	1.0
KLF5	0.0231	0.0168	0.4573
ETS1	0.0173	0.14	0.0609
JUN	0.0429	0.0181	0.4804
WT1	0.1188	0.0187	0.8862
SATB1	0.0262	0.4676	0.0187
ZBTB16	0.0197	0.0405	0.2872
MAP3K5	0.0788	0.02	1.0
ELL	0.0323	0.0218	0.4909
CDK12	0.0252	0.0222	0.4696
NPM1	0.1467	1.0	0.0236
HIF3A	0.0972	0.0247	1.0
HIST2H2AA3	0.0946	1.0	0.0263
HIST2H2AC	0.0946	1.0	0.0263
