Overall graph size pval = 0.6899
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
E2F3	0.0056	1.0E-4	1.0
E2F4	0.0016	1.0	1.0E-4
E2F5	0.0041	1.0	1.0E-4
IRF1	8.0E-4	1.0E-4	0.4692
MYCN	0.0199	2.0E-4	1.0
FOXA1	0.0086	0.8193	4.0E-4
STAT6	0.0177	1.0	5.0E-4
E2F1	0.0404	6.0E-4	0.9679
SREBF2	0.0488	0.0018	1.0
LIN54	0.0022	0.0385	0.0411
LIN52	0.0022	0.0385	0.0411
LIN37	0.0022	0.0385	0.0411
LIN9	0.0022	0.0385	0.0411
RBL2	0.0244	1.0	0.0024
MYBL2	0.022	0.0029	1.0
FOXM1	0.0472	0.0032	1.0
BRCA1	0.1224	0.0046	1.0
E2F2	0.0474	0.0054	1.0
AHR	0.0359	0.0059	1.0
NFYB	0.0606	0.006	1.0
NFYC	0.0606	0.006	1.0
YBX1	0.0946	1.0	0.0062
NELFB	0.047	0.0081	1.0
NFYA	0.1011	0.0105	1.0
CEBPD	0.0687	1.0	0.0107
KLF5	0.0514	0.0108	1.0
SREBF1	0.1557	0.0113	1.0
IL10	0.0906	1.0	0.0143
TP53	0.1313	0.8136	0.0152
CDKN2A	0.1008	1.0	0.0175
RBBP4	0.0187	0.0924	0.113
E2F6	0.0944	1.0	0.0199
CEBPA	0.2022	1.0	0.0215
FOXA3	0.0215	0.3164	0.0347
HNF4A	0.1681	1.0	0.0251
TFDP1	0.1538	0.0263	0.8919
POU2F1	0.0994	0.0292	1.0
NOTCH3	0.0329	0.0576	0.3203
MYC	0.2806	0.0342	0.926
MYB	0.0359	0.235	0.0629
GATA3	0.1977	1.0	0.0364
CIITA	0.1698	0.0372	1.0
MAX	0.2834	0.0376	0.9386
NPM1	0.1415	1.0	0.0399
SATB1	0.0458	0.3866	0.0576
KLF4	0.3105	1.0	0.047
ATR	0.1406	0.0475	1.0
STAT1	0.2053	0.0547	0.861
IL8	0.1819	1.0	0.0583
EDN1	0.2212	1.0	0.0585
RBL1	0.1748	1.0	0.0585
CHEK1	0.1762	0.06	1.0
FANCD2	0.1829	0.0604	1.0
SPI1	0.3287	0.0612	1.0
ESR1	0.2648	0.8484	0.0628
CDK12	0.1797	0.0631	1.0
ELOA	0.1797	0.0631	1.0
ELOB	0.1797	0.0631	1.0
