Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
PTGDR	upregulates-expression	RRM1		PTGDR-active-by-network-sig	1.0		RRM1-G	18.24039176393936	1.19756338500527E-8
TFDP1	upregulates-expression	RRM1		TFDP1-active-by-network-sig	1.0		RRM1-G	18.24039176393936	1.19756338500527E-8
E2F1	upregulates-expression	RRM1		E2F1-active-by-network-sig	1.0		RRM1-G	18.24039176393936	1.19756338500527E-8
E2F3	upregulates-expression	RRM1		E2F3-active-by-network-sig	1.0		RRM1-G	18.24039176393936	1.19756338500527E-8
MYCN	upregulates-expression	MCM7		MYCN-active-by-network-sig	1.0		MCM7-G	8.333984817380125	2.402129305394E-4
MYCN	upregulates-expression	MCM5		MYCN-active-by-network-sig	1.0		MCM5-G	7.5480034053189895	5.271616051359E-4
TFDP1	upregulates-expression	MCM3		TFDP1-active-by-network-sig	1.0		MCM3-G	7.069818218855103	8.503876795633E-4
MYCN	upregulates-expression	MCM3		MYCN-active-by-network-sig	1.0		MCM3-G	7.069818218855103	8.503876795633E-4
E2F3	upregulates-expression	MCM3		E2F3-active-by-network-sig	1.0		MCM3-G	7.069818218855103	8.503876795633E-4
E2F1	upregulates-expression	MCM3		E2F1-active-by-network-sig	1.0		MCM3-G	7.069818218855103	8.503876795633E-4
MYCN	upregulates-expression	MCM4		MYCN-active-by-network-sig	1.0		MCM4-G	6.997848831220154	9.138456889627E-4
E2F1	upregulates-expression	UHRF1		E2F1-active-by-network-sig	1.0		UHRF1-G	6.588957045397573	0.001375473772494
MYCN	upregulates-expression	MCM6		MYCN-active-by-network-sig	1.0		MCM6-G	6.520328672345869	0.0014731848276613
MYCN	upregulates-expression	MCM2		MYCN-active-by-network-sig	1.0		MCM2-G	6.371981120040207	0.0017087705903666
PTGDR	upregulates-expression	RRM2		PTGDR-active-by-network-sig	1.0		RRM2-G	5.836743276695903	0.0029183313640909
E2F1	upregulates-expression	RRM2		E2F1-active-by-network-sig	1.0		RRM2-G	5.836743276695903	0.0029183313640909
E2F3	upregulates-expression	RRM2		E2F3-active-by-network-sig	1.0		RRM2-G	5.836743276695903	0.0029183313640909
E2F1	upregulates-expression	ASF1B		E2F1-active-by-network-sig	1.0		ASF1B-G	5.2252312366373355	0.0053791159673999
MOV10	downregulates-expression	MECP2		MOV10-G	5.049338350719128	0.0064135755803697	MECP2-G	-6.270946958561644	0.0018904375692943
E2F1	upregulates-expression	CDK1		E2F1-active-by-network-sig	1.0		CDK1-G	3.836519529975588	0.0215685395146666
E2F3	upregulates-expression	CDK1		E2F3-active-by-network-sig	1.0		CDK1-G	3.836519529975588	0.0215685395146666
TFDP1	upregulates-expression	CDK1		TFDP1-active-by-network-sig	1.0		CDK1-G	3.836519529975588	0.0215685395146666
PTGDR	upregulates-expression	TYMS		PTGDR-active-by-network-sig	1.0		TYMS-G	3.2804213426470854	0.037612405757444
E2F1	upregulates-expression	TYMS		E2F1-active-by-network-sig	1.0		TYMS-G	3.2804213426470854	0.037612405757444
