Overall graph size pval = 0.4654
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
PTGDR	9.0E-4	1.0E-4	1.0
MYCN	1.0E-4	1.0E-4	0.5974
TFDP1	3.0E-4	1.0E-4	1.0
E2F1	2.0E-4	1.0E-4	0.599
E2F3	1.0E-4	1.0E-4	1.0
RBL2	0.0049	1.0	3.0E-4
E2F5	0.0057	1.0	7.0E-4
RBL1	0.0042	1.0	8.0E-4
TFDP2	0.0291	0.0017	1.0
SREBF2	0.0492	0.0054	1.0
ATR	0.0066	0.0203	0.1638
MDC1	0.0069	0.0214	0.1649
E2F2	0.0439	0.008	1.0
SOX2	0.01	0.0122	0.3374
CHEK1	0.0105	0.0282	0.2036
CCNK	0.0112	0.0281	0.1941
CCNH	0.0112	0.0281	0.1941
SUPT4H1	0.0112	0.0281	0.1941
CDK12	0.0112	0.0281	0.1941
ELOA	0.0112	0.0281	0.1941
NELFB	0.0112	0.0281	0.1941
ELOB	0.0112	0.0281	0.1941
NELFA	0.0112	0.0281	0.1941
ELOC	0.0112	0.0281	0.1941
NELFE	0.0112	0.0281	0.1941
RAD51D	0.0112	0.0281	0.1941
CTDP1	0.0112	0.0281	0.1941
GTF2H1	0.0112	0.0281	0.1941
GTF2H2	0.0112	0.0281	0.1941
GTF2H3	0.0112	0.0281	0.1941
GTF2H4	0.0112	0.0281	0.1941
GTF2H5	0.0112	0.0281	0.1941
ELOA3D	0.0112	0.0281	0.1941
TCEA1	0.0112	0.0281	0.1941
ELOA3B	0.0112	0.0281	0.1941
CCNT2	0.0112	0.0281	0.1941
CCNT1	0.0112	0.0281	0.1941
SUPT16H	0.0112	0.0281	0.1941
GTF2F1	0.0112	0.0281	0.1941
GTF2F2	0.0112	0.0281	0.1941
ELOA2	0.0112	0.0281	0.1941
ELOA3	0.0112	0.0281	0.1941
SUPT5H	0.0112	0.0281	0.1941
CDK9	0.0112	0.0281	0.1941
CDK7	0.0112	0.0281	0.1941
MNAT1	0.0112	0.0281	0.1941
POLR2A	0.0112	0.0281	0.1941
