Overall graph size pval = 0.6239
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MAX	0.0369	0.9998	1.0E-4
E2F1	7.0E-4	0.5753	1.0E-4
E2F4	1.0E-4	1.0E-4	0.9551
E2F6	0.0074	1.0E-4	1.0
MYC	0.0291	1.0	1.0E-4
CDK7	2.0E-4	0.3981	1.0E-4
TFDP1	1.0E-4	0.0624	6.0E-4
RBL2	7.0E-4	1.0E-4	1.0
FOXM1	0.0077	0.8948	2.0E-4
TFDP2	2.0E-4	0.17	6.0E-4
E2F3	0.0126	0.8833	4.0E-4
RBBP4	5.0E-4	0.0017	0.3057
MYCN	0.018	0.9153	8.0E-4
YBX1	0.0491	0.001	0.9849
FOXA2	0.0011	0.0137	0.0743
RBL1	0.007	0.0012	0.8182
PTGDR	0.0016	0.3039	0.0026
GLI2	0.0209	0.0017	0.8059
SF1	0.0034	0.0026	0.5963
STAT4	0.0207	0.0026	0.6865
E2F5	0.0026	0.0093	0.2576
NCOA1	0.0623	0.0032	0.8494
CTNNB1	0.2504	0.0036	0.9928
EZH2	0.0417	0.7857	0.0039
CDK2	0.0056	0.5784	0.004
NPM1	0.0281	0.0042	0.8594
LIN54	0.0053	0.0444	0.1482
LIN37	0.0053	0.0444	0.1482
LIN9	0.0053	0.0444	0.1482
RAD51D	0.0054	0.2716	0.02
LIN52	0.0055	0.0446	0.1493
GATA6	0.0818	0.0064	1.0
SP1	0.0065	0.1534	0.0192
GTF2H2	0.0066	0.3968	0.0091
NELFB	0.0067	0.1354	0.0527
HELZ2	0.0553	0.0071	0.7542
NKX2-5	0.0822	1.0	0.0074
ACTL6A	0.0812	1.0	0.0075
PRKAB1	0.0202	1.0	0.0077
JAK1	0.1184	0.0077	1.0
MDC1	0.0079	0.2774	0.0221
NRF1	0.0226	0.6669	0.0084
TRRAP	0.0537	0.8492	0.0084
ZNF382	0.1843	1.0	0.0087
MED1	0.0853	0.0101	0.7919
TCF7L2	0.0112	0.0118	0.3805
TERT	0.1816	0.0124	1.0
FOXA1	0.0721	0.8	0.0131
RXRA	0.1024	0.0143	0.7645
NCOA2	0.073	0.0153	0.6984
SSRP1	0.0155	0.4354	0.0185
ATF6	0.2042	1.0	0.0157
RUVBL1	0.036	0.6747	0.016
MYBL2	0.0367	0.6936	0.016
NELFA	0.0165	0.3273	0.0356
NELFE	0.0165	0.3273	0.0356
CCNT2	0.0165	0.3273	0.0356
ELOA2	0.0165	0.3273	0.0356
ELOA3	0.0165	0.3273	0.0356
CCNK	0.0165	0.3273	0.0356
SUPT4H1	0.0165	0.3273	0.0356
ELOA3D	0.0165	0.3273	0.0356
TCEA1	0.0165	0.3273	0.0356
ELOA3B	0.0165	0.3273	0.0356
SUPT5H	0.0165	0.3273	0.0356
ERCC3	0.0165	0.3273	0.0356
ELOA	0.0165	0.3273	0.0356
ELOB	0.0165	0.3273	0.0356
ELOC	0.0165	0.3273	0.0356
CTDP1	0.0165	0.3273	0.0356
GTF2H1	0.0165	0.3273	0.0356
GTF2H3	0.0165	0.3273	0.0356
GTF2H4	0.0165	0.3273	0.0356
GTF2H5	0.0165	0.3273	0.0356
SUPT16H	0.0165	0.3273	0.0356
IFNG	0.0166	0.0174	0.5201
MNAT1	0.0168	0.3283	0.0362
CCNH	0.0168	0.3283	0.0362
POLR2F	0.0169	0.1653	0.08
RUVBL2	0.0369	0.6592	0.0175
LCK	0.1621	0.0178	1.0
MLXIPL	0.2267	0.0179	1.0
NF1	0.0368	0.6735	0.018
CHEK1	0.0195	0.1399	0.0922
CREBBP	0.0198	0.0635	0.1575
CTBP1	0.0972	0.0202	1.0
CDK12	0.0208	0.3364	0.0414
CDK6	0.0553	1.0	0.0216
LEF1	0.5466	0.023	0.9986
SREBF2	0.2633	0.9574	0.0246
E2F2	0.0658	0.6942	0.0249
MSX2	0.2286	1.0	0.0249
JAK3	0.1995	0.0254	1.0
NR2F2	0.0333	0.595	0.0259
CHD9	0.0716	0.0264	0.5919
TGS1	0.0716	0.0264	0.5919
GLI1	0.0264	0.031	0.3803
SMARCD3	0.0716	0.0264	0.5919
YWHAB	0.2406	0.0275	0.4935
TBL1X	0.0749	0.0279	0.5922
TBL1XR1	0.0749	0.0279	0.5922
CITED2	0.1904	0.0294	1.0
ATR	0.0623	0.6812	0.03
PROX1	0.0302	0.26	0.0773
MAZ	0.1833	1.0	0.0332
TIMP3	0.1906	1.0	0.0335
BTF3	0.0336	0.1662	0.1579
CCNT1	0.0363	0.3826	0.0546
GTF2F1	0.0363	0.3826	0.0546
POLR2B	0.0363	0.3826	0.0546
POLR2C	0.0363	0.3826	0.0546
POLR2D	0.0363	0.3826	0.0546
POLR2E	0.0363	0.3826	0.0546
POLR2G	0.0363	0.3826	0.0546
POLR2H	0.0363	0.3826	0.0546
POLR2I	0.0363	0.3826	0.0546
POLR2J	0.0363	0.3826	0.0546
POLR2K	0.0363	0.3826	0.0546
POLR2L	0.0363	0.3826	0.0546
FANCD2	0.0363	0.3908	0.0566
ING1	0.1798	1.0	0.0371
GTF2F2	0.0373	0.3833	0.0553
NEUROG3	0.0381	0.5405	0.0373
FANCI	0.0374	0.2678	0.1055
NFKB2	0.335	0.038	1.0
POLR2A	0.038	0.384	0.0556
STAT3	0.3394	0.0381	0.9012
KAT5	0.1564	0.8624	0.0381
E2F7	0.19	0.0397	1.0
TRIM28	0.2829	1.0	0.04
PCNA	0.0404	0.1549	0.2044
MLX	0.2905	0.0413	1.0
PAK3	0.0544	1.0	0.0417
NCOA6	0.1287	0.0445	0.6675
BCL2	0.4115	0.0448	1.0
POU1F1	0.2924	0.0461	1.0
THRAP3	0.4053	0.0467	1.0
CDC7	0.0479	0.1759	0.2509
NR3C2	0.2892	0.0488	1.0
PRKAG2	0.0693	1.0	0.0501
CARM1	0.0909	0.0508	0.5406
PPARA	0.1639	0.0513	0.7109
ERCC2	0.0818	0.6023	0.0514
ELL	0.0527	0.272	0.1183
TFAP2A	0.4304	0.0529	0.9613
ESR1	0.0589	0.2902	0.101
MEN1	0.2883	0.0595	1.0
ARNT	0.1346	0.6609	0.0598
CDK9	0.0617	0.4113	0.0847
CDX2	0.1516	0.0624	0.6912
MED12	0.4811	0.0636	1.0
SUPT3H	0.289	1.0	0.0659
MEF2A	0.3888	0.0679	1.0
MITF	0.4107	0.0712	0.9535
SPDEF	0.1791	0.8035	0.0717
SMARCA4	0.48	0.0718	1.0
KAT2B	0.0725	0.1644	0.2414
NFE2L2	0.3971	1.0	0.0745
MYB	0.5953	0.9887	0.076
PRKACB	0.1018	1.0	0.0761
DUSP1	0.2575	1.0	0.0763
USF1	0.1825	0.7202	0.0787
INS	0.3892	0.08	1.0
PRKACG	0.1097	1.0	0.0816
EGFR	0.3325	1.0	0.0826
TGFB1	0.0827	0.244	0.2426
HNF4A	0.2998	0.0831	0.8418
ZBTB7A	0.0855	0.2858	0.2075
HLA-DRA	0.2711	1.0	0.0878
STAT1	0.1714	0.0879	0.6164
NR5A1	0.1502	0.0882	0.6325
DDIT3	0.3906	0.9386	0.0912
MECP2	0.5394	0.9744	0.0916
NFYC	0.4576	0.9725	0.0943
NELFCD	0.1013	0.5076	0.0962
YWHAZ	0.3206	0.0991	0.243
CCND2	0.1044	0.1266	0.5117
YY1	0.2329	0.7087	0.1052
NR4A1	0.1478	0.106	0.6087
NCOA3	0.2967	0.1066	0.7822
PPP1R13B	0.3896	1.0	0.1075
SREBF1	0.613	0.9847	0.1081
TP53BP2	0.3921	1.0	0.1084
CDK11B	0.38	0.1085	1.0
VHL	0.5583	0.1129	1.0
NFYB	0.5179	0.9761	0.1131
CEBPE	0.4049	1.0	0.1159
PTPN11	0.1162	0.3052	0.307
PIK3R1	0.4096	0.1174	1.0
STAT5B	0.6041	0.1225	0.9707
CDKN2A	0.1379	0.1225	0.5205
PAK2	0.1697	1.0	0.1254
HDAC1	0.2497	0.1254	0.6831
SNW1	0.5897	0.1275	1.0
CSNK2A1	0.1909	0.129	0.5091
COPS5	0.3803	1.0	0.1293
RB1	0.4492	0.1308	0.9176
MED19	0.582	0.131	1.0
MED16	0.582	0.131	1.0
MED15	0.582	0.131	1.0
MED18	0.582	0.131	1.0
MED17	0.582	0.131	1.0
MED11	0.582	0.131	1.0
MED14	0.582	0.131	1.0
MED13	0.582	0.131	1.0
MED10	0.582	0.131	1.0
MED27	0.582	0.131	1.0
MED26	0.582	0.131	1.0
MED29	0.582	0.131	1.0
MED28	0.582	0.131	1.0
MED22	0.582	0.131	1.0
MED25	0.582	0.131	1.0
MED24	0.582	0.131	1.0
MED21	0.582	0.131	1.0
MED20	0.582	0.131	1.0
MED30	0.582	0.131	1.0
MED31	0.582	0.131	1.0
CCNC	0.582	0.131	1.0
MED13L	0.582	0.131	1.0
MED8	0.582	0.131	1.0
MED9	0.582	0.131	1.0
MED4	0.582	0.131	1.0
MED6	0.582	0.131	1.0
MED7	0.582	0.131	1.0
FAM120B	0.582	0.131	1.0
CDK8	0.5845	0.1314	1.0
CDK19	0.587	0.1323	1.0
CCNA2	0.134	0.2807	0.3528
SOS1	0.1347	0.3102	0.3328
AHR	0.3223	0.8536	0.1349
CSNK2A2	0.428	0.1382	1.0
FOXO1	0.6359	0.1396	0.9642
ELF1	0.3155	0.1405	0.8202
MAPK9	0.5191	0.1415	1.0
NANOG	0.1465	0.2606	0.3039
MAPKAPK5	0.1903	1.0	0.148
FOXO4	0.6483	0.1481	0.9754
TOPBP1	0.4087	1.0	0.1494
TAF9	0.4904	1.0	0.1498
PRDM1	0.1818	0.6247	0.1514
NOTCH3	0.1519	0.264	0.3307
PTCH1	0.5108	0.1519	1.0
FOXQ1	0.5134	0.1527	1.0
TP73	0.154	0.2061	0.3764
ESR2	0.156	0.3165	0.3074
HDAC3	0.653	0.9763	0.1563
RFC2	0.3482	0.1579	1.0
