Overall graph size pval = 0.1586
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
CDK7	8.0E-4	1.0	2.0E-4
CDK2	0.0036	0.4845	0.0026
CDK6	0.0242	1.0	0.0106
YWHAB	0.2519	0.0257	0.5076
PAK3	0.0577	1.0	0.0423
CTNNB1	0.0785	0.0444	1.0
ROCK1	0.1694	0.0444	1.0
PRKAB1	0.0697	1.0	0.0531
PRKAG2	0.0697	1.0	0.0531
CCNA2	0.0772	1.0	0.057
MTOR	0.1227	1.0	0.0697
PRKACB	0.1056	1.0	0.0787
PRKACG	0.1137	1.0	0.0843
SFN	0.1166	1.0	0.0898
RPS6KB1	0.3376	0.0963	1.0
YWHAZ	0.3296	0.0975	0.2566
CDC7	0.1337	1.0	0.1037
CSNK2A1	0.2111	0.1225	0.5452
CSNK2A2	0.4419	0.1297	1.0
PAK2	0.1728	1.0	0.1312
MAPKAPK5	0.2029	1.0	0.1559
DYRK1A	0.2046	1.0	0.158
PIN1	0.2337	1.0	0.163
PRKG1	0.2251	1.0	0.171
CDK4	0.2662	1.0	0.1726
DYRK2	0.2247	1.0	0.1751
PRKCB	0.2282	1.0	0.1764
PRKAA2	0.2394	1.0	0.1869
CDK5	0.3528	1.0	0.2402
PRKAA1	0.3833	1.0	0.3066
AKT1	0.4127	0.3094	0.6506
PAK1	0.4224	1.0	0.3347
CDK1	0.5212	1.0	0.3439
CHEK1	0.4607	1.0	0.3726
AURKB	0.4898	1.0	0.3931
PRKACA	0.8989	1.0	0.8181
MAPK3	0.9162	1.0	0.8383
MAPK1	0.975	1.0	0.9337
ARAF	1.0	1.0	1.0
ACTB	1.0	1.0	1.0
RPS6KA4	1.0	1.0	1.0
RPS6KA3	1.0	1.0	1.0
TBK1	1.0	1.0	1.0
RPS6KA5	1.0	1.0	1.0
PPP2R1B	1.0	1.0	1.0
PPP2R1A	1.0	1.0	1.0
AKT2	1.0	1.0	1.0
RPS6KA2	1.0	1.0	1.0
CHEK2	1.0	1.0	1.0
AKT3	1.0	1.0	1.0
RPS6KA1	1.0	1.0	1.0
TRIM24	1.0	1.0	1.0
KDR	1.0	1.0	1.0
BTRC	1.0	1.0	1.0
PRKCG	1.0	1.0	1.0
PRKCI	1.0	1.0	1.0
PRKCH	1.0	1.0	1.0
DAPK1	1.0	1.0	1.0
PRKCE	1.0	1.0	1.0
PRKCD	1.0	1.0	1.0
CSNK1D	1.0	1.0	1.0
PRKCA	1.0	1.0	1.0
CSNK1E	1.0	1.0	1.0
UHMK1	1.0	1.0	1.0
BCR	1.0	1.0	1.0
CSNK2B	1.0	1.0	1.0
BTK	1.0	1.0	1.0
PRKCQ	1.0	1.0	1.0
PRKD2	1.0	1.0	1.0
SIK1	1.0	1.0	1.0
ULK1	1.0	1.0	1.0
PRKD1	1.0	1.0	1.0
TP53	1.0	1.0	1.0
PRKDC	1.0	1.0	1.0
PDGFB	1.0	1.0	1.0
PIK3R1	1.0	1.0	1.0
NLK	1.0	1.0	1.0
PRKCZ	1.0	1.0	1.0
NUAK1	1.0	1.0	1.0
PLCG2	1.0	1.0	1.0
PLCG1	1.0	1.0	1.0
LYN	1.0	1.0	1.0
SRPK2	1.0	1.0	1.0
PLK3	1.0	1.0	1.0
YES1	1.0	1.0	1.0
FZD2	1.0	1.0	1.0
INSR	1.0	1.0	1.0
PLK1	1.0	1.0	1.0
FN1	1.0	1.0	1.0
PTK6	1.0	1.0	1.0
BRAF	1.0	1.0	1.0
PTK2	1.0	1.0	1.0
WNK1	1.0	1.0	1.0
GRB2	1.0	1.0	1.0
ATM	1.0	1.0	1.0
CALM1	1.0	1.0	1.0
CALM2	1.0	1.0	1.0
CDK16	1.0	1.0	1.0
ATR	1.0	1.0	1.0
RET	1.0	1.0	1.0
BRCA1	1.0	1.0	1.0
IKBKB	1.0	1.0	1.0
RPTOR	1.0	1.0	1.0
PPP3CA	1.0	1.0	1.0
SMPD1	1.0	1.0	1.0
RAC1	1.0	1.0	1.0
IKBKG	1.0	1.0	1.0
JAK2	1.0	1.0	1.0
IKBKE	1.0	1.0	1.0
