Overall graph size pval = 0.4062
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
PTGDR	0.0016	1.0E-4	1.0
MYCN	1.0E-4	1.0E-4	0.59
TFDP1	2.0E-4	1.0E-4	1.0
E2F1	1.0E-4	1.0E-4	0.6071
E2F3	1.0E-4	1.0E-4	1.0
RBL2	0.0037	1.0	5.0E-4
RBL1	0.0042	1.0	6.0E-4
E2F5	0.0046	1.0	8.0E-4
TFDP2	0.0302	0.0011	1.0
MDC1	0.0038	0.0197	0.1581
ATR	0.0046	0.0196	0.1646
SREBF2	0.0545	0.0057	1.0
E2F2	0.0469	0.0074	1.0
CCNK	0.0085	0.0296	0.1915
CCNH	0.0085	0.0296	0.1915
SUPT4H1	0.0085	0.0296	0.1915
CDK12	0.0085	0.0296	0.1915
ELOA	0.0085	0.0296	0.1915
NELFB	0.0085	0.0296	0.1915
ELOB	0.0085	0.0296	0.1915
NELFA	0.0085	0.0296	0.1915
ELOC	0.0085	0.0296	0.1915
NELFE	0.0085	0.0296	0.1915
RAD51D	0.0085	0.0296	0.1915
CTDP1	0.0085	0.0296	0.1915
GTF2H1	0.0085	0.0296	0.1915
GTF2H2	0.0085	0.0296	0.1915
GTF2H3	0.0085	0.0296	0.1915
GTF2H4	0.0085	0.0296	0.1915
GTF2H5	0.0085	0.0296	0.1915
ELOA3D	0.0085	0.0296	0.1915
TCEA1	0.0085	0.0296	0.1915
ELOA3B	0.0085	0.0296	0.1915
CCNT2	0.0085	0.0296	0.1915
CCNT1	0.0085	0.0296	0.1915
SUPT16H	0.0085	0.0296	0.1915
GTF2F1	0.0085	0.0296	0.1915
GTF2F2	0.0085	0.0296	0.1915
ELOA2	0.0085	0.0296	0.1915
ELOA3	0.0085	0.0296	0.1915
SUPT5H	0.0085	0.0296	0.1915
CDK9	0.0085	0.0296	0.1915
CDK7	0.0085	0.0296	0.1915
MNAT1	0.0085	0.0296	0.1915
POLR2A	0.0085	0.0296	0.1915
POLR2B	0.0085	0.0296	0.1915
POLR2C	0.0085	0.0296	0.1915
POLR2D	0.0085	0.0296	0.1915
POLR2E	0.0085	0.0296	0.1915
POLR2F	0.0085	0.0296	0.1915
POLR2G	0.0085	0.0296	0.1915
POLR2H	0.0085	0.0296	0.1915
POLR2I	0.0085	0.0296	0.1915
POLR2J	0.0085	0.0296	0.1915
POLR2K	0.0085	0.0296	0.1915
POLR2L	0.0085	0.0296	0.1915
ERCC3	0.0085	0.0296	0.1915
CHEK1	0.0093	0.028	0.201
SOX2	0.0099	0.0124	0.3322
BRCA1	0.0492	0.0115	0.7415
SREBF1	0.0395	0.0135	0.681
SSRP1	0.0143	0.0418	0.2173
E2F4	0.0596	1.0	0.0146
POU5F1	0.0893	0.018	1.0
NANOG	0.1065	0.021	1.0
ELL	0.022	0.0435	0.2703
BTF3	0.1024	1.0	0.0282
CREB5	0.1066	1.0	0.0292
NELFCD	0.0299	0.0585	0.2892
POU2F1	0.1068	0.0348	1.0
AHR	0.1091	0.0361	1.0
EZH2	0.0887	0.0416	0.6101
NFYB	0.1821	0.0518	1.0
NFYC	0.1821	0.0518	1.0
IL12B	0.1339	0.0532	1.0
JAK2	0.1339	0.0532	1.0
TYK2	0.1339	0.0532	1.0
IL12RB1	0.1339	0.0532	1.0
TP63	0.1031	0.522	0.0557
ERCC2	0.0558	0.0877	0.3292
HDAC7	0.1971	0.0584	1.0
REST	0.059	0.1541	0.2284
FANCI	0.0597	0.2195	0.1644
E2F6	0.1604	1.0	0.0644
NFYA	0.0777	0.0695	0.4945
HDAC1	0.1552	0.735	0.0753
SOX17	0.0764	0.1946	0.2417
NRF1	0.3107	1.0	0.0765
FANCD2	0.0813	0.2504	0.2012
MLX	0.0847	0.259	0.1906
MAX	0.1562	0.0925	0.5796
