Overall graph size pval = 0.6262
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MYC	0.0319	1.0E-4	1.0
MAX	0.0371	1.0E-4	0.9999
FOXM1	0.0075	1.0E-4	0.9053
TFDP1	1.0E-4	1.0E-4	0.1394
E2F1	6.0E-4	1.0E-4	0.7119
E2F4	1.0E-4	0.9613	1.0E-4
RBL2	6.0E-4	1.0	1.0E-4
TFDP2	2.0E-4	5.0E-4	0.1865
E2F6	0.0065	1.0	2.0E-4
E2F3	0.0119	3.0E-4	0.8933
MYCN	0.0217	6.0E-4	0.9178
YBX1	0.0495	0.9854	7.0E-4
PTGDR	0.0015	8.0E-4	0.3354
RBL1	0.0061	0.8292	8.0E-4
FOXA2	0.0011	0.0661	0.0154
RBBP4	0.0013	0.3355	0.0025
SF1	0.0035	0.5977	0.0021
GLI2	0.0188	0.7994	0.0023
STAT4	0.0178	0.6893	0.0027
E2F5	0.0029	0.2803	0.0077
NPM1	0.0307	0.8509	0.003
EZH2	0.0394	0.004	0.7785
NCOA1	0.0568	0.831	0.0041
JAK1	0.0875	1.0	0.0045
MDC1	0.0051	0.018	0.2793
RAD51D	0.0054	0.0178	0.2779
GTF2H2	0.0056	0.0099	0.4068
NKX2-5	0.0868	0.0062	1.0
LIN54	0.0065	0.161	0.0462
LIN52	0.0065	0.161	0.0462
LIN37	0.0065	0.161	0.0462
LIN9	0.0065	0.161	0.0462
NRF1	0.0219	0.0066	0.6792
SP1	0.0066	0.0162	0.2025
NELFB	0.0069	0.048	0.1438
HELZ2	0.0518	0.727	0.0075
GATA6	0.0858	1.0	0.0079
TRRAP	0.0503	0.0083	0.8603
TCF7L2	0.0092	0.362	0.0114
ACTL6A	0.0867	0.0095	1.0
CTNNB1	0.3585	0.9932	0.0097
ZNF382	0.1848	0.0099	1.0
FOXA1	0.0745	0.0102	0.8227
MED1	0.0785	0.7652	0.0113
ATF6	0.199	0.0134	1.0
CDK12	0.0138	0.0308	0.3389
ELOA	0.0138	0.0308	0.3389
ELOB	0.0138	0.0308	0.3389
ELOC	0.0138	0.0308	0.3389
NELFA	0.0138	0.0308	0.3389
NELFE	0.0138	0.0308	0.3389
CTDP1	0.0138	0.0308	0.3389
GTF2H1	0.0138	0.0308	0.3389
GTF2H3	0.0138	0.0308	0.3389
GTF2H4	0.0138	0.0308	0.3389
GTF2H5	0.0138	0.0308	0.3389
CCNT2	0.0138	0.0308	0.3389
SUPT16H	0.0138	0.0308	0.3389
ELOA2	0.0138	0.0308	0.3389
ELOA3	0.0138	0.0308	0.3389
CDK7	0.0138	0.0308	0.3389
MNAT1	0.0138	0.0308	0.3389
CCNK	0.0138	0.0308	0.3389
CCNH	0.0138	0.0308	0.3389
SUPT4H1	0.0138	0.0308	0.3389
ELOA3D	0.0138	0.0308	0.3389
TCEA1	0.0138	0.0308	0.3389
ELOA3B	0.0138	0.0308	0.3389
SUPT5H	0.0138	0.0308	0.3389
ERCC3	0.0138	0.0308	0.3389
SSRP1	0.015	0.0146	0.4537
TERT	0.1856	1.0	0.0154
POLR2F	0.0157	0.0707	0.1792
CHEK1	0.0161	0.1321	0.1075
NCOA2	0.0658	0.6751	0.0162
RXRA	0.0902	0.7383	0.0165
MYBL2	0.041	0.0171	0.6962
CREBBP	0.0175	0.132	0.0795
NF1	0.0379	0.0175	0.6917
ATR	0.0351	0.0176	0.6814
RUVBL1	0.0385	0.0178	0.6805
RUVBL2	0.0373	0.0194	0.6715
MLXIPL	0.2339	1.0	0.0196
SREBF2	0.2585	0.0223	0.9639
E2F2	0.0712	0.0239	0.7075
GLI1	0.0245	0.3582	0.0363
JAK3	0.1931	1.0	0.0247
LEF1	0.5477	0.9983	0.0254
MSX2	0.2253	0.0268	1.0
PROX1	0.0296	0.0761	0.2624
NR2F2	0.0412	0.0299	0.5876
SMARCD3	0.0657	0.5533	0.0309
CITED2	0.189	1.0	0.0309
CHD9	0.0657	0.5533	0.0309
TGS1	0.0657	0.5533	0.0309
TBL1X	0.0667	0.5535	0.0323
TBL1XR1	0.0667	0.5535	0.0323
CCNT1	0.0325	0.049	0.3907
GTF2F1	0.0325	0.049	0.3907
GTF2F2	0.0325	0.049	0.3907
CDK9	0.0325	0.049	0.3907
POLR2A	0.0325	0.049	0.3907
POLR2B	0.0325	0.049	0.3907
POLR2C	0.0325	0.049	0.3907
POLR2D	0.0325	0.049	0.3907
POLR2E	0.0325	0.049	0.3907
POLR2G	0.0325	0.049	0.3907
POLR2H	0.0325	0.049	0.3907
POLR2I	0.0325	0.049	0.3907
POLR2J	0.0325	0.049	0.3907
POLR2K	0.0325	0.049	0.3907
POLR2L	0.0325	0.049	0.3907
TIMP3	0.1941	0.0342	1.0
E2F7	0.1848	1.0	0.0344
FANCD2	0.0346	0.0445	0.4047
NFKB2	0.3198	1.0	0.0348
MAZ	0.1887	0.0357	1.0
FANCI	0.038	0.1022	0.2819
KAT5	0.1485	0.038	0.8627
ING1	0.1936	0.0384	1.0
PCNA	0.0391	0.2067	0.1645
NEUROG3	0.0392	0.0422	0.548
BTF3	0.0399	0.1605	0.1627
MLX	0.2918	1.0	0.0429
BCL2	0.4119	1.0	0.0462
ARNT	0.1396	0.0462	0.6956
TRIM28	0.2923	0.0466	1.0
ERCC2	0.0827	0.0466	0.6099
NCOA6	0.1267	0.6313	0.0494
STAT3	0.3382	0.8847	0.0495
THRAP3	0.3926	1.0	0.0502
POU1F1	0.2964	1.0	0.0504
NR3C2	0.289	1.0	0.0521
ELL	0.0547	0.1145	0.2807
ESR1	0.0584	0.089	0.3193
CARM1	0.0871	0.5035	0.059
MEN1	0.2899	1.0	0.0593
TFAP2A	0.4344	0.9614	0.0593
PPARA	0.1587	0.6848	0.0594
EGFR	0.2952	0.0624	1.0
SPDEF	0.1798	0.0633	0.8119
SUPT3H	0.2855	0.0649	1.0
MED12	0.477	1.0	0.0667
NFE2L2	0.3932	0.069	1.0
MYB	0.6041	0.0692	0.9868
CDX2	0.1508	0.6728	0.0699
USF1	0.1888	0.0721	0.7399
KAT2B	0.0737	0.2327	0.1807
MEF2A	0.3982	1.0	0.0756
SMARCA4	0.4856	1.0	0.0762
TGFB1	0.0792	0.248	0.2409
MITF	0.406	0.9491	0.0798
INS	0.3884	1.0	0.081
NFYC	0.4545	0.0821	0.9733
ZBTB7A	0.0881	0.2251	0.2733
NR5A1	0.1484	0.6318	0.0889
HNF4A	0.293	0.824	0.0896
NELFCD	0.0999	0.0948	0.5212
STAT1	0.1762	0.6013	0.0973
MECP2	0.5457	0.0977	0.9683
NFYB	0.5094	0.0991	0.9775
PPP1R13B	0.4005	0.1005	1.0
TP53BP2	0.4005	0.1005	1.0
DDIT3	0.4003	0.1006	0.9357
SREBF1	0.6191	0.1008	0.9887
NR4A1	0.1495	0.5943	0.1053
YY1	0.2435	0.1056	0.7251
VHL	0.5617	1.0	0.1119
HDAC1	0.2579	0.7142	0.1137
NCOA3	0.2909	0.7747	0.1159
CDKN2A	0.1428	0.5247	0.121
RB1	0.4521	0.9292	0.1218
AHR	0.3301	0.1278	0.8577
MED8	0.5807	1.0	0.1361
MED9	0.5807	1.0	0.1361
MED4	0.5807	1.0	0.1361
MED6	0.5807	1.0	0.1361
MED7	0.5807	1.0	0.1361
CDK19	0.5807	1.0	0.1361
MED19	0.5807	1.0	0.1361
MED16	0.5807	1.0	0.1361
MED15	0.5807	1.0	0.1361
MED18	0.5807	1.0	0.1361
MED17	0.5807	1.0	0.1361
MED11	0.5807	1.0	0.1361
MED14	0.5807	1.0	0.1361
MED13	0.5807	1.0	0.1361
MED10	0.5807	1.0	0.1361
MED27	0.5807	1.0	0.1361
MED26	0.5807	1.0	0.1361
MED29	0.5807	1.0	0.1361
MED28	0.5807	1.0	0.1361
MED22	0.5807	1.0	0.1361
MED25	0.5807	1.0	0.1361
MED24	0.5807	1.0	0.1361
MED21	0.5807	1.0	0.1361
MED20	0.5807	1.0	0.1361
MED30	0.5807	1.0	0.1361
MED31	0.5807	1.0	0.1361
CDK8	0.5807	1.0	0.1361
CCNC	0.5807	1.0	0.1361
MED13L	0.5807	1.0	0.1361
FAM120B	0.5807	1.0	0.1361
ATM	0.407	0.1368	0.8723
STAT5B	0.6101	0.9663	0.1392
SNW1	0.5888	1.0	0.1415
TAF9	0.4987	0.1448	1.0
VEGFA	0.1464	0.33	0.2801
ESR2	0.1481	0.3073	0.3125
NANOG	0.1509	0.3007	0.2726
FOXO1	0.633	0.9639	0.1509
NOTCH3	0.155	0.3288	0.2741
REL	0.6423	0.157	1.0
TSC22D3	0.4997	0.1617	1.0
FOXQ1	0.5101	1.0	0.1618
PIK3CA	0.513	1.0	0.1653
PTCH1	0.5241	1.0	0.166
CDKN1A	0.3433	0.1663	0.7904
HDAC3	0.6571	0.1665	0.9783
ATF5	0.1844	0.593	0.167
FOXO4	0.6463	0.9764	0.1691
TP73	0.1699	0.3622	0.2302
PRDM1	0.1875	0.17	0.6048
MED23	0.6624	1.0	0.1742
DLX5	0.1921	0.594	0.1751
MAML3	0.3425	0.7532	0.1772
MAMLD1	0.3425	0.7532	0.1772
HSF2	0.1926	0.5878	0.1812
IL12RB1	0.393	0.1824	0.8129
IL12B	0.393	0.1824	0.8129
CTCF	0.1905	0.1837	0.577
EDN1	0.6654	1.0	0.1852
ETV6	0.1889	0.1855	0.5818
SIN3A	0.1902	0.188	0.5306
NR1H4	0.5492	0.9323	0.1885
MMP13	0.1946	0.1887	0.5753
ANKRD1	0.5113	0.1891	1.0
EP300	0.2352	0.1911	0.5358
PURA	0.5162	1.0	0.1912
FOS	0.5311	0.872	0.1923
SERPINB5	0.1949	0.206	0.5533
HIC1	0.6619	0.1957	1.0
ING4	0.3386	0.1988	0.7213
MSC	0.4062	0.8278	0.1992
