Overall graph size pval = 0.5672
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MAX	0.0382	1.0	1.0E-4
FOXM1	0.0073	0.8906	1.0E-4
E2F4	1.0E-4	1.0E-4	0.9555
E2F6	0.0063	1.0E-4	1.0
MYC	0.0337	1.0	1.0E-4
TFDP1	1.0E-4	0.1263	5.0E-4
TFDP2	1.0E-4	0.1741	0.0014
RBL2	1.0E-4	1.0E-4	1.0
E2F1	8.0E-4	0.6747	2.0E-4
CHEK1	2.0E-4	0.0227	0.0405
E2F3	0.0132	0.8882	4.0E-4
YBX1	0.0488	6.0E-4	0.9811
FOXA2	8.0E-4	0.0151	0.0748
MYCN	0.0187	0.9108	8.0E-4
RBL1	0.0055	9.0E-4	0.8147
GLI2	0.0196	0.0014	0.8146
RBBP4	0.0015	0.0022	0.3197
PTGDR	0.0017	0.3117	0.0027
STAT4	0.0175	0.0023	0.7058
E2F5	0.0023	0.0085	0.2676
SF1	0.0035	0.0031	0.5997
CTNNB1	0.2433	0.0034	0.9935
EZH2	0.0408	0.7879	0.0039
NCOA1	0.0605	0.004	0.8487
NPM1	0.0321	0.0041	0.8518
CDK7	0.0045	0.3373	0.0094
MDC1	0.0046	0.2676	0.0185
JAK1	0.0944	0.0046	1.0
RAD51D	0.0053	0.265	0.0205
NELFB	0.0058	0.1342	0.0523
GTF2H2	0.0059	0.3934	0.0085
GATA6	0.0841	0.0067	1.0
LIN54	0.0072	0.0473	0.1545
LIN37	0.0072	0.0473	0.1545
LIN9	0.0072	0.0473	0.1545
LIN52	0.0075	0.0474	0.155
NKX2-5	0.0866	1.0	0.0078
TRRAP	0.0559	0.8497	0.008
HELZ2	0.0542	0.0083	0.7504
ZNF382	0.1743	1.0	0.0084
SP1	0.0091	0.1498	0.0285
NRF1	0.0231	0.6623	0.0092
TCF7L2	0.0094	0.0117	0.3778
LCK	0.1119	0.01	1.0
ACTL6A	0.0843	1.0	0.0108
FOXA1	0.0711	0.8079	0.0112
MED1	0.0832	0.0121	0.7831
TERT	0.1823	0.0121	1.0
CDK5	0.0237	1.0	0.0133
IFNG	0.0134	0.0142	0.5073
POLR2F	0.0139	0.1615	0.0782
SSRP1	0.0146	0.4381	0.0184
NELFA	0.0147	0.3231	0.0344
NELFE	0.0147	0.3231	0.0344
CCNT2	0.0147	0.3231	0.0344
ELOA2	0.0147	0.3231	0.0344
ELOA3	0.0147	0.3231	0.0344
CCNK	0.0147	0.3231	0.0344
SUPT4H1	0.0147	0.3231	0.0344
ELOA3D	0.0147	0.3231	0.0344
