Overall graph size pval = 0.6254
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MYC	0.028	1.0	1.0E-4
MAX	0.0371	1.0	1.0E-4
E2F1	7.0E-4	0.7122	1.0E-4
E2F4	1.0E-4	1.0E-4	0.963
E2F6	0.0061	1.0E-4	1.0
RBL2	5.0E-4	1.0E-4	1.0
FOXM1	0.0085	0.9013	2.0E-4
TFDP1	2.0E-4	0.1362	2.0E-4
TFDP2	2.0E-4	0.1862	4.0E-4
E2F3	0.0119	0.8891	4.0E-4
MYCN	0.0201	0.9165	4.0E-4
YBX1	0.0466	5.0E-4	0.9854
RBL1	0.0054	5.0E-4	0.829
FOXA2	0.0012	0.0156	0.0654
PTGDR	0.0013	0.3318	0.0015
RBBP4	0.0017	0.0019	0.315
GLI2	0.0184	0.002	0.8057
STAT4	0.02	0.0022	0.6826
SF1	0.0032	0.0026	0.6028
E2F5	0.0033	0.0088	0.2725
NPM1	0.0309	0.0039	0.8567
NCOA1	0.0589	0.0048	0.8305
EZH2	0.042	0.7749	0.0055
JAK1	0.0887	0.0059	1.0
NKX2-5	0.0835	1.0	0.006
LIN54	0.006	0.0423	0.1538
LIN52	0.006	0.0423	0.1538
LIN37	0.006	0.0423	0.1538
LIN9	0.006	0.0423	0.1538
MDC1	0.0064	0.2779	0.0191
GATA6	0.0874	0.0067	1.0
RAD51D	0.0069	0.281	0.021
NRF1	0.023	0.6741	0.0076
NELFB	0.0078	0.1446	0.0501
GTF2H2	0.0078	0.4031	0.0096
SP1	0.0078	0.2014	0.017
HELZ2	0.052	0.0078	0.7241
TRRAP	0.0528	0.8577	0.0092
ACTL6A	0.0865	1.0	0.0092
CTNNB1	0.3466	0.0094	0.9928
ZNF382	0.1829	1.0	0.0099
ATF6	0.2041	1.0	0.0107
TCF7L2	0.0109	0.0118	0.3583
FOXA1	0.0786	0.82	0.0113
MED1	0.0812	0.0121	0.7643
TERT	0.1838	0.0146	1.0
NF1	0.035	0.699	0.0146
MYBL2	0.0369	0.6954	0.0161
CREBBP	0.0162	0.0731	0.128
POLR2F	0.0167	0.1751	0.0767
CDK12	0.0168	0.3404	0.0341
ELOA	0.0168	0.3404	0.0341
ELOB	0.0168	0.3404	0.0341
ELOC	0.0168	0.3404	0.0341
NELFA	0.0168	0.3404	0.0341
