Overall graph size pval = 0.8819
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
MYCN	9.0E-4	1.0E-4	1.0
PTGDR	0.0076	5.0E-4	1.0
E2F3	0.0084	7.0E-4	1.0
TFDP1	0.0265	0.0012	1.0
E2F1	0.0286	0.0066	0.8724
RBL2	0.0602	1.0	0.0154
TP53	0.0641	0.503	0.0533
HDAC1	0.2342	1.0	0.0963
TFDP2	0.3324	0.0969	1.0
TP63	0.4602	1.0	0.1014
E2F4	0.5111	1.0	0.2604
YBX1	0.5718	1.0	0.2963
JUN	0.3335	0.3396	0.6114
FANCI	0.4538	0.6794	0.375
MDC1	0.4541	0.6752	0.3766
FANCD2	0.8207	1.0	0.3774
ATR	0.4539	0.671	0.379
BRCA1	0.4285	0.5125	0.5312
CCNK	0.5619	0.74	0.4355
CCNT2	0.5619	0.74	0.4355
ELL	0.5619	0.74	0.4355
CCNT1	0.5619	0.74	0.4355
CCNH	0.5619	0.74	0.4355
ELOA	0.5619	0.74	0.4355
NELFB	0.5619	0.74	0.4355
ELOB	0.5619	0.74	0.4355
NELFA	0.5619	0.74	0.4355
NELFCD	0.5619	0.74	0.4355
ELOC	0.5619	0.74	0.4355
NELFE	0.5619	0.74	0.4355
SUPT16H	0.5619	0.74	0.4355
GTF2F1	0.5619	0.74	0.4355
GTF2F2	0.5619	0.74	0.4355
RAD51D	0.5619	0.74	0.4355
CTDP1	0.5619	0.74	0.4355
SUPT4H1	0.5619	0.74	0.4355
POLR2A	0.5619	0.74	0.4355
POLR2B	0.5619	0.74	0.4355
POLR2C	0.5619	0.74	0.4355
POLR2D	0.5619	0.74	0.4355
POLR2E	0.5619	0.74	0.4355
POLR2F	0.5619	0.74	0.4355
POLR2G	0.5619	0.74	0.4355
POLR2H	0.5619	0.74	0.4355
POLR2I	0.5619	0.74	0.4355
POLR2J	0.5619	0.74	0.4355
POLR2K	0.5619	0.74	0.4355
POLR2L	0.5619	0.74	0.4355
ELOA2	0.5619	0.74	0.4355
GTF2H1	0.5619	0.74	0.4355
ELOA3	0.5619	0.74	0.4355
GTF2H2	0.5619	0.74	0.4355
SSRP1	0.5619	0.74	0.4355
GTF2H3	0.5619	0.74	0.4355
SUPT5H	0.5619	0.74	0.4355
GTF2H4	0.5619	0.74	0.4355
GTF2H5	0.5619	0.74	0.4355
CDK9	0.5619	0.74	0.4355
CDK7	0.5619	0.74	0.4355
ERCC3	0.5619	0.74	0.4355
ELOA3D	0.5619	0.74	0.4355
TCEA1	0.5619	0.74	0.4355
ELOA3B	0.5619	0.74	0.4355
CDK12	0.5619	0.74	0.4355
MNAT1	0.5619	0.74	0.4355
ATF2	0.4444	0.569	0.518
FOS	0.4536	0.5743	0.5257
ERCC2	0.6636	0.7956	0.49
CHEK1	0.5709	0.7066	0.512
MYC	0.9391	1.0	0.5403
SIRT1	0.8257	1.0	0.5806
STAT3	0.8302	0.5849	1.0
ESR1	0.8232	0.6309	1.0
FOXM1	0.8297	0.6806	1.0
ATM	0.8791	0.706	1.0
SP1	0.845	0.8426	0.7418
RELA	1.0	1.0	1.0
