Overall graph size pval = 0.8936
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
E2F4	6.0E-4	1.0	1.0E-4
RBL2	7.0E-4	1.0	2.0E-4
HDAC1	0.0073	1.0	0.0017
RBL1	0.0145	1.0	0.006
E2F5	0.0173	1.0	0.0062
E2F6	0.0168	1.0	0.0066
TP53	0.0459	0.7233	0.0103
E2F1	0.0309	0.0117	0.8278
CDK2	0.0616	0.0159	1.0
RBBP4	0.0166	0.622	0.0228
TFDP1	0.0272	0.1398	0.1512
LIN54	0.0331	0.5892	0.0477
LIN52	0.0331	0.5892	0.0477
LIN37	0.0331	0.5892	0.0477
LIN9	0.0331	0.5892	0.0477
SP1	0.0456	0.0333	0.6512
PTGDR	0.0335	0.0533	0.487
MYCN	0.0939	0.0362	1.0
TP63	0.1562	0.6586	0.0459
TP73	0.0601	0.2403	0.2082
FOXM1	0.15	0.069	1.0
CDK5	0.1445	0.0773	1.0
TFDP2	0.0782	0.3048	0.1668
YY1	0.1908	0.1067	1.0
ESR1	0.1181	0.1301	0.6114
YBX1	0.3624	1.0	0.1316
E2F3	0.2708	0.1354	1.0
CHEK1	0.1718	0.375	0.2571
MYC	0.4074	0.1734	0.9229
CDK1	0.3273	0.1785	1.0
CDK7	0.1869	0.2381	0.5221
EP300	0.1944	0.2371	0.5917
CSNK2A1	0.4169	0.2336	1.0
RAD51D	0.2381	0.3451	0.4386
MDC1	0.2416	0.3488	0.4403
ELL	0.2633	0.4911	0.2682
SSRP1	0.2633	0.3264	0.5215
ERCC2	0.2663	0.3296	0.5225
MAX	0.7802	0.2954	1.0
NR3C1	0.5221	0.2991	0.847
ATR	0.5383	0.3605	1.0
CCNK	0.3758	0.4682	0.4831
CCNT2	0.3758	0.4682	0.4831
CCNT1	0.3758	0.4682	0.4831
SUPT16H	0.3758	0.4682	0.4831
GTF2F1	0.3758	0.4682	0.4831
GTF2F2	0.3758	0.4682	0.4831
SUPT4H1	0.3758	0.4682	0.4831
ELOA2	0.3758	0.4682	0.4831
ELOA3	0.3758	0.4682	0.4831
SUPT5H	0.3758	0.4682	0.4831
ELOA	0.3758	0.4682	0.4831
NELFB	0.3758	0.4682	0.4831
ELOB	0.3758	0.4682	0.4831
NELFCD	0.3758	0.4682	0.4831
NELFA	0.3758	0.4682	0.4831
ELOC	0.3758	0.4682	0.4831
NELFE	0.3758	0.4682	0.4831
CTDP1	0.3758	0.4682	0.4831
POLR2A	0.3758	0.4682	0.4831
POLR2B	0.3758	0.4682	0.4831
POLR2C	0.3758	0.4682	0.4831
POLR2D	0.3758	0.4682	0.4831
POLR2E	0.3758	0.4682	0.4831
POLR2F	0.3758	0.4682	0.4831
POLR2G	0.3758	0.4682	0.4831
POLR2H	0.3758	0.4682	0.4831
POLR2I	0.3758	0.4682	0.4831
POLR2J	0.3758	0.4682	0.4831
POLR2K	0.3758	0.4682	0.4831
POLR2L	0.3758	0.4682	0.4831
GTF2H2	0.3758	0.4682	0.4831
GTF2H3	0.3758	0.4682	0.4831
GTF2H4	0.3758	0.4682	0.4831
GTF2H5	0.3758	0.4682	0.4831
ERCC3	0.3758	0.4682	0.4831
ELOA3D	0.3758	0.4682	0.4831
TCEA1	0.3758	0.4682	0.4831
ELOA3B	0.3758	0.4682	0.4831
GTF2H1	0.378	0.4693	0.4853
CCNH	0.3785	0.4699	0.4853
MNAT1	0.3785	0.4699	0.4853
CDK12	0.3987	0.4804	0.5032
CDK9	0.4038	0.4824	0.5086
FANCI	0.5125	0.6366	0.4369
FANCD2	0.5109	0.6387	0.443
AKT1	0.533	0.4433	1.0
PLK1	0.5433	1.0	0.4508
FOS	0.6725	0.8569	0.4911
JUN	0.5192	0.5911	0.5654
ATM	0.5677	0.5206	0.7335
BRCA1	0.5222	0.554	0.6
AR	0.8177	0.9023	0.5834
RELA	0.8173	0.8999	0.5883
STAT3	0.666	0.6274	0.7641
ATF2	0.902	0.9132	0.7667
SIRT1	0.8943	0.8586	0.8482
PRKACA	1.0	1.0	1.0
PRKDC	1.0	1.0	1.0
TOPBP1	1.0	1.0	1.0
AURKB	1.0	1.0	1.0
MAPK1	1.0	1.0	1.0
MAPK3	1.0	1.0	1.0
