Overall graph size pval = 0.9877
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
E2F3	0.0083	1.0	1.0E-4
MYCN	2.0E-4	0.4856	1.0E-4
AHR	0.0072	1.0	6.0E-4
SREBF1	0.0533	1.0	0.001
E2F1	0.0543	0.9206	0.003
TFDP1	0.0957	1.0	0.0034
RBL2	0.0347	0.0034	1.0
RBL1	0.0175	0.0042	1.0
E2F5	0.0325	0.0055	1.0
SREBF2	0.1047	1.0	0.0065
FOS	0.0097	0.0704	0.0637
GABPA	0.1047	0.0116	1.0
MAX	0.0425	0.5514	0.0139
PTGDR	0.1758	1.0	0.0165
MLX	0.0313	0.2946	0.0641
E2F2	0.1707	1.0	0.0356
SOX17	0.0372	0.0654	0.3129
SOX2	0.0443	0.4977	0.0421
ARNT	0.2938	0.9652	0.0428
NRF1	0.2851	0.0456	1.0
PURA	0.1374	0.0461	1.0
EZH2	0.1597	0.801	0.0468
TNFRSF11B	0.1382	1.0	0.0488
MET	0.1355	1.0	0.0491
MLXIPL	0.0502	0.3359	0.0887
JUN	0.0516	0.3033	0.071
E2F4	0.2065	0.0521	1.0
ZBTB7A	0.1381	0.0529	1.0
CREB1	0.354	1.0	0.0587
NFATC1	0.184	1.0	0.0611
STAT6	0.3641	0.0657	1.0
HIF1A	0.6292	1.0	0.0694
STAT3	0.2384	0.8148	0.0728
BTF3	0.2388	0.0748	1.0
POU5F1	0.1235	0.639	0.0776
NANOG	0.3189	1.0	0.0777
POU2F1	0.2275	1.0	0.0797
NFIC	0.0805	0.0835	0.4463
HSF1	0.2469	1.0	0.0854
GABPB1	0.3442	0.086	1.0
MYC	0.3724	0.8918	0.0901
BRCA1	0.3736	0.9213	0.1094
FOSL1	0.4023	1.0	0.1242
HDAC7	0.3979	1.0	0.1294
ATF2	0.2772	0.1302	0.7149
IRF3	0.133	0.2727	0.3124
MDC1	0.1357	0.2578	0.3319
ATR	0.1395	0.2533	0.3334
SMAD7	0.1395	0.4923	0.1396
E2F6	0.3397	0.1403	1.0
FANCI	0.1423	0.2544	0.3267
STAT1	0.1556	0.1481	0.4526
TFDP2	0.5507	1.0	0.1519
NFYB	0.4474	1.0	0.1526
NFYC	0.4474	1.0	0.1526
NR1I2	0.4527	0.1535	1.0
NR3C1	0.1576	0.1991	0.383
SP1	0.8286	0.9984	0.1592
PAX5	0.4496	0.1612	1.0
PPARGC1A	0.667	0.1631	1.0
YBX1	0.5384	0.1634	1.0
TCF4	0.4881	0.1636	1.0
TP63	0.3105	0.1697	0.6791
ESRRA	0.1876	0.3243	0.3567
CHEK1	0.1877	0.3164	0.3689
CDK12	0.1901	0.2997	0.3816
ELOA	0.1901	0.2997	0.3816
ELOB	0.1901	0.2997	0.3816
NELFA	0.1901	0.2997	0.3816
ELOC	0.1901	0.2997	0.3816
NELFE	0.1901	0.2997	0.3816
CTDP1	0.1901	0.2997	0.3816
GTF2H1	0.1901	0.2997	0.3816
GTF2H2	0.1901	0.2997	0.3816
GTF2H3	0.1901	0.2997	0.3816
GTF2H4	0.1901	0.2997	0.3816
GTF2H5	0.1901	0.2997	0.3816
CCNT2	0.1901	0.2997	0.3816
CCNT1	0.1901	0.2997	0.3816
SUPT16H	0.1901	0.2997	0.3816
GTF2F1	0.1901	0.2997	0.3816
GTF2F2	0.1901	0.2997	0.3816
ELOA2	0.1901	0.2997	0.3816
ELOA3	0.1901	0.2997	0.3816
CDK9	0.1901	0.2997	0.3816
CDK7	0.1901	0.2997	0.3816
MNAT1	0.1901	0.2997	0.3816
POLR2A	0.1901	0.2997	0.3816
POLR2B	0.1901	0.2997	0.3816
POLR2C	0.1901	0.2997	0.3816
POLR2D	0.1901	0.2997	0.3816
POLR2E	0.1901	0.2997	0.3816
POLR2F	0.1901	0.2997	0.3816
POLR2G	0.1901	0.2997	0.3816
POLR2H	0.1901	0.2997	0.3816
POLR2I	0.1901	0.2997	0.3816
POLR2J	0.1901	0.2997	0.3816
POLR2K	0.1901	0.2997	0.3816
POLR2L	0.1901	0.2997	0.3816
CCNK	0.1901	0.2997	0.3816
CCNH	0.1901	0.2997	0.3816
SUPT4H1	0.1901	0.2997	0.3816
RAD51D	0.1901	0.2997	0.3816
ELOA3D	0.1901	0.2997	0.3816
TCEA1	0.1901	0.2997	0.3816
ELOA3B	0.1901	0.2997	0.3816
SUPT5H	0.1901	0.2997	0.3816
ERCC3	0.1901	0.2997	0.3816
NFYA	0.2783	0.6995	0.1906
BCL6	0.5426	1.0	0.1923
TBL1X	0.501	0.1992	0.8867
TBL1XR1	0.501	0.1992	0.8867
SMARCD3	0.5011	0.2017	0.8859
CHD9	0.5011	0.2017	0.8859
TGS1	0.5011	0.2017	0.8859
HEY1	0.4861	1.0	0.2022
ETS2	0.4414	1.0	0.2026
CARM1	0.5274	0.2153	0.8951
SIRT1	0.708	0.2265	1.0
ATM	0.5341	1.0	0.2266
RARA	0.2453	0.5719	0.2298
ETS1	0.4572	0.8741	0.23
FOXA2	0.2329	0.4616	0.2672
IL8	0.2335	0.3784	0.3888
REST	0.2337	0.4198	0.3351
NCOA6	0.5601	0.234	0.9003
NELFB	0.2372	0.3493	0.414
USF1	0.3671	0.7521	0.2385
SSRP1	0.2425	0.3413	0.4306
SRF	0.2448	0.5476	0.2527
TCF7	0.5024	0.2528	1.0
CDX2	0.6512	0.2538	1.0
CDKN1A	0.543	1.0	0.2542
IL2RG	0.5116	0.2542	1.0
IL2	0.5162	0.2542	1.0
IRF9	0.511	0.2562	1.0
PAX3	0.5216	0.2569	1.0
JAK2	0.538	1.0	0.2614
IL12RB1	0.538	1.0	0.2614
IL12B	0.538	1.0	0.2614
TYK2	0.538	1.0	0.2614
HELZ2	0.6152	0.2639	0.9171
IL10	0.5719	0.2646	1.0
NFKBIA	0.5715	0.2716	1.0
HNF4A	0.5771	1.0	0.2777
MED1	0.6395	0.2793	0.9224
ETV6	0.502	0.2804	1.0
FOSB	0.5108	1.0	0.2841
ATF3	0.5073	1.0	0.285
SPDEF	0.2876	0.3924	0.4468
ELL	0.2964	0.4005	0.4518
NOTCH1	0.5754	0.2965	1.0
HEY2	0.5098	1.0	0.2973
DNMT1	0.6267	0.3007	1.0
SP4	0.5788	0.302	1.0
NCOA2	0.6659	0.303	0.928
ZFP36	0.5113	1.0	0.3031
GATA4	0.5206	1.0	0.3042
WWTR1	0.5713	0.3055	1.0
AIP	0.5046	0.3093	1.0
JUNB	0.6049	1.0	0.3114
APC	0.5142	0.315	1.0
HDAC1	0.4295	0.3159	0.6979
HIPK2	0.5811	1.0	0.3176
FANCD2	0.5822	0.3181	1.0
F2	0.5851	0.3215	1.0
JUND	0.6557	1.0	0.324
FOXA3	0.5152	1.0	0.3252
SERPINB5	0.5191	1.0	0.3257
NCOA1	0.7127	0.3283	0.9412
PPP1R13B	0.5078	1.0	0.3293
TP53BP2	0.5078	1.0	0.3293
SP3	0.483	0.3314	0.7311
LIN54	0.5693	0.3332	1.0
LIN52	0.5693	0.3332	1.0
LIN37	0.5693	0.3332	1.0
LIN9	0.5693	0.3332	1.0
GLI1	0.3375	0.4276	0.4978
ZBTB16	0.5724	0.3397	1.0
PGR	0.5867	1.0	0.3465
GATA3	0.4049	0.6664	0.3481
ATF4	0.6781	1.0	0.3498
EDN1	0.6259	0.3499	1.0
LEF1	0.7685	0.35	1.0
NELFCD	0.3519	0.4393	0.496
TFAP2A	0.7835	1.0	0.352
MYB	0.6713	0.9305	0.3561
MYBL2	0.5819	1.0	0.3568
SOX6	0.5838	0.3594	1.0
VEGFA	0.5753	1.0	0.3631
REL	0.5728	1.0	0.3645
HBP1	0.5727	0.3645	1.0
MAML2	0.6778	0.3694	1.0
MAML3	0.6778	0.3694	1.0
MAMLD1	0.6778	0.3694	1.0
KAT2A	0.6798	0.3697	1.0
NR4A1	0.6325	0.3773	1.0
TWIST2	0.513	0.3797	0.757
RXRA	0.7695	0.3797	0.9517
IL12RB2	0.5807	1.0	0.3815
IL12A	0.5807	1.0	0.3815
IL2RA	0.5802	1.0	0.3833
SNAI1	0.6813	1.0	0.3837
