Overall graph size pval = 0.8772
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
E2F1	1.0E-4	1.0E-4	0.7202
E2F4	2.0E-4	0.9846	1.0E-4
RBL2	0.0024	1.0	1.0E-4
RBL1	0.0033	0.8909	1.0E-4
LEF1	0.0457	0.9931	1.0E-4
E2F6	0.0204	1.0	3.0E-4
CTNNB1	0.1419	0.9981	3.0E-4
YBX1	0.0307	0.9943	4.0E-4
E2F3	0.0173	0.0015	0.8358
TFDP2	0.0068	0.0023	0.5195
MAX	0.5986	0.0028	0.9999
FOXM1	0.0913	0.0031	0.9636
TFDP1	0.0053	0.0036	0.4458
SREBF1	0.2677	0.0037	0.9965
MYBL2	0.014	0.0039	0.7632
MYC	0.748	0.0042	1.0
NFYC	0.2126	0.0057	0.9911
PTGDR	0.0282	0.0058	0.6997
MYCN	0.1625	0.0071	0.9666
SREBF2	0.3696	0.0078	0.997
NFYB	0.1508	0.0079	0.9547
SP3	0.0173	0.5046	0.008
IL12RB2	0.1064	0.0082	0.9413
IL12A	0.1064	0.0082	0.9413
TCF7L2	0.0099	0.4636	0.0096
NANOG	0.0122	0.267	0.0265
NKX2-5	0.1503	0.0126	1.0
JAK1	0.1469	1.0	0.0144
EGFR	0.1475	0.0144	1.0
GTF2H2	0.077	0.015	0.8457
E2F5	0.04	0.677	0.0157
LIN54	0.0158	0.2259	0.0685
LIN52	0.0158	0.2259	0.0685
LIN37	0.0158	0.2259	0.0685
LIN9	0.0158	0.2259	0.0685
IL10	0.2148	0.9388	0.0182
RBBP4	0.0183	0.4358	0.0228
MOV10	0.0633	0.0202	0.7435
AGO3	0.0633	0.0202	0.7435
AGO4	0.0633	0.0202	0.7435
AGO1	0.0633	0.0202	0.7435
TNRC6C	0.0633	0.0202	0.7435
TNRC6A	0.0633	0.0202	0.7435
TNRC6B	0.0633	0.0202	0.7435
ATF6	0.3548	0.0221	1.0
ZNF382	0.3032	0.0227	1.0
NFE2L2	0.2995	0.0234	1.0
NF1	0.0702	0.0238	0.7688
