Overall graph size pval = 0.7872
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
E2F1	1.0E-4	0.7009	1.0E-4
E2F4	9.0E-4	1.0E-4	0.9824
E2F6	0.0161	1.0E-4	1.0
YBX1	0.0255	1.0E-4	0.9922
RBL2	0.0019	1.0E-4	1.0
RBL1	0.0033	1.0E-4	0.8878
LEF1	0.0409	1.0E-4	0.9932
CTNNB1	0.0774	4.0E-4	0.9962
E2F3	0.0138	0.8136	0.0014
MYBL2	0.0101	0.759	0.0024
MAX	0.5508	1.0	0.0026
FOXM1	0.0811	0.963	0.0027
SREBF1	0.2342	0.9958	0.0029
TFDP2	0.006	0.5137	0.003
TFDP1	0.0059	0.4371	0.0032
MYC	0.6876	1.0	0.0035
PTGDR	0.0256	0.6933	0.0041
NFYC	0.193	0.9903	0.0042
SP3	0.015	0.0066	0.4774
NFYB	0.1368	0.9512	0.0066
MYCN	0.141	0.9633	0.0066
IL12RB2	0.1009	0.9397	0.007
IL12A	0.1009	0.9397	0.007
SREBF2	0.3426	0.9975	0.0074
FAM20C	0.0288	0.0091	1.0
NANOG	0.0096	0.0234	0.2552
TCF7L2	0.0112	0.0098	0.4446
NKX2-5	0.1396	1.0	0.0113
LIN54	0.0131	0.0671	0.2179
LIN37	0.0131	0.0671	0.2179
LIN9	0.0131	0.0671	0.2179
CDK7	0.0671	0.8309	0.0134
LIN52	0.0135	0.0676	0.2186
E2F5	0.0359	0.0135	0.67
JAK1	0.1528	0.014	1.0
GTF2H2	0.0682	0.8322	0.0145
CHEK1	0.0146	0.2049	0.0594
RBBP4	0.0147	0.0185	0.442
YWHAE	0.0453	0.0152	1.0
EGFR	0.1577	1.0	0.0164
IL10	0.1978	0.017	0.9362
MOV10	0.065	0.7325	0.0185
AGO3	0.065	0.7325	0.0185
AGO4	0.065	0.7325	0.0185
AGO1	0.065	0.7325	0.0185
TNRC6C	0.065	0.7325	0.0185
TNRC6A	0.0651	0.7328	0.0185
TNRC6B	0.065	0.7325	0.0185
TEAD1	0.1485	0.0217	1.0
CDK5	0.1028	1.0	0.0217
SSRP1	0.118	0.8626	0.0221
ATF6	0.3317	1.0	0.0224
CTBP1	0.1448	0.0224	1.0
STAT4	0.0284	0.0225	0.4261
TERT	0.2929	0.0225	1.0
ZNF382	0.2887	1.0	0.0234
NFE2L2	0.2895	1.0	0.0245
TRBC1	0.1581	1.0	0.0247
CD3G	0.1581	1.0	0.0247
CD3E	0.1581	1.0	0.0247
TRAC	0.1581	1.0	0.0247
CDK2	0.1733	1.0	0.0247
NF1	0.0722	0.7618	0.0257
RAD51D	0.0706	0.7522	0.0258
IL12RB1	0.2018	0.9078	0.027
IL12B	0.2018	0.9078	0.027
CDK6	0.1166	1.0	0.0271
MDC1	0.0715	0.7505	0.0274
MAPK3	0.1012	0.7572	0.0285
HEY1	0.0316	0.0312	0.4347
