symbol	hgnc_id	gene_type
H1-0	HGNC:4714	H1 histones
H1-1	HGNC:4715	H1 histones
H1-10	HGNC:4722	H1 histones
H1-2	HGNC:4716	H1 histones
H1-3	HGNC:4717	H1 histones
H1-4	HGNC:4718	H1 histones
H1-5	HGNC:4719	H1 histones
H1-6	HGNC:4720	H1 histones
H1-7	HGNC:24893	H1 histones
H1-8	HGNC:18463	H1 histones
H2AB1	HGNC:22516	H2A histones
H2AB2	HGNC:18298	H2A histones
H2AB3	HGNC:14455	H2A histones
H2AC1	HGNC:18729	H2A histones
H2AC11	HGNC:4737	H2A histones
H2AC12	HGNC:13671	H2A histones
H2AC13	HGNC:4725	H2A histones
H2AC14	HGNC:4727	H2A histones
H2AC15	HGNC:4726	H2A histones
H2AC16	HGNC:4730	H2A histones
H2AC17	HGNC:4735	H2A histones
H2AC18	HGNC:4736	H2A histones
H2AC19	HGNC:29668	H2A histones
H2AC20	HGNC:4738	H2A histones
H2AC21	HGNC:20508	H2A histones
H2AC4	HGNC:4734	H2A histones
H2AC6	HGNC:4733	H2A histones
H2AC7	HGNC:4729	H2A histones
H2AC8	HGNC:4724	H2A histones
H2AJ	HGNC:14456	H2A histones
H2AW	HGNC:20507	H2A histones
H2AX	HGNC:4739	H2A histones
H2AZ1	HGNC:4741	H2A histones
H2AZ2	HGNC:20664	H2A histones
MACROH2A1	HGNC:4740	H2A histones
MACROH2A2	HGNC:14453	H2A histones
H2BC1	HGNC:18730	H2B histones
H2BC10	HGNC:4756	H2B histones
H2BC11	HGNC:4761	H2B histones
H2BC12	HGNC:13954	H2B histones
H2BC13	HGNC:4748	H2B histones
H2BC14	HGNC:4750	H2B histones
H2BC15	HGNC:4749	H2B histones
H2BC17	HGNC:4758	H2B histones
H2BC18	HGNC:24700	H2B histones
H2BC21	HGNC:4760	H2B histones
H2BC3	HGNC:4751	H2B histones
H2BC4	HGNC:4757	H2B histones
H2BC5	HGNC:4747	H2B histones
H2BC6	HGNC:4753	H2B histones
H2BC7	HGNC:4752	H2B histones
H2BC8	HGNC:4746	H2B histones
H2BC9	HGNC:4755	H2B histones
H2BS1	HGNC:4762	H2B histones
H2BU1	HGNC:20514	H2B histones
H2BW1	HGNC:27252	H2B histones
H2BW2	HGNC:27867	H2B histones
H3-2	HGNC:32060	H3 histones
H3-3A	HGNC:4764	H3 histones
H3-3B	HGNC:4765	H3 histones
H3-4	HGNC:4778	H3 histones
H3-5	HGNC:33164	H3 histones
H3C1	HGNC:4766	H3 histones
H3C10	HGNC:4775	H3 histones
H3C11	HGNC:4771	H3 histones
H3C12	HGNC:4774	H3 histones
H3C13	HGNC:25311	H3 histones
H3C14	HGNC:20503	H3 histones
H3C15	HGNC:20505	H3 histones
H3C2	HGNC:4776	H3 histones
H3C3	HGNC:4768	H3 histones
H3C4	HGNC:4767	H3 histones
H3C6	HGNC:4769	H3 histones
H3C7	HGNC:4773	H3 histones
H3C8	HGNC:4772	H3 histones
H3Y1	HGNC:43735	H3 histones
H3Y2	HGNC:43734	H3 histones
CENPA	HGNC:1851	H3 histones
H4-16	HGNC:20510	H4 histones
H4C1	HGNC:4781	H4 histones
H4C11	HGNC:4785	H4 histones
H4C12	HGNC:4784	H4 histones
H4C13	HGNC:4791	H4 histones
H4C14	HGNC:4794	H4 histones
H4C15	HGNC:29607	H4 histones
H4C2	HGNC:4789	H4 histones
H4C3	HGNC:4787	H4 histones
H4C4	HGNC:4782	H4 histones
H4C5	HGNC:4790	H4 histones
H4C6	HGNC:4783	H4 histones
H4C7	HGNC:4792	H4 histones
H4C8	HGNC:4788	H4 histones
H4C9	HGNC:4793	H4 histones
BRD1	HGNC:1102	Ac_protection
BRD2	HGNC:1103	Ac_protection
BRD3	HGNC:1104	Ac_protection
BRD4	HGNC:13575	Ac_protection
CREBBP	HGNC:2348	HAT
EP300	HGNC:3373	HAT
HAT1	HGNC:4821	HAT
KAT2A	HGNC:4201	HAT
KAT2B	HGNC:8638	HAT
TAF1	HGNC:11535	HAT
KAT5	HGNC:5275	HAT
KAT6A	HGNC:13013	HAT
KAT6B	HGNC:17582	HAT
KAT7	HGNC:17016	HAT
KAT8	HGNC:17933	HAT
CLOCK	HGNC:2082	HAT
NCOA1	HGNC:7668	HAT
NCOA3	HGNC:7670	HAT
MCM3AP	HGNC:6946	HAT
ATF2	HGNC:784	HAT
ATF2	HGNC:4232	HAT
ELP3	HGNC:20696	HAT
HDAC1	HGNC:4852	Deacetylase
HDAC2	HGNC:4853	Deacetylase
HDAC3	HGNC:4854	Deacetylase
HDAC4	HGNC:14063	Deacetylase
HDAC5	HGNC:14068	Deacetylase
HDAC6	HGNC:14064	Deacetylase
HDAC7	HGNC:14067	Deacetylase
HDAC8	HGNC:13315	Deacetylase
HDAC9	HGNC:14065	Deacetylase
HDAC10	HGNC:18128	Deacetylase
HDAC11	HGNC:19086	Deacetylase
SIRT1	HGNC:14929	Deacetylase
SIRT2	HGNC:10886	Deacetylase
SIRT3	HGNC:14931	Deacetylase
SIRT5	HGNC:14933	Deacetylase
SIRT6	HGNC:14934	Deacetylase
SIRT7	HGNC:14935	Deacetylase
