	BestCall	StromalScore	ImmuneScore	ESTIMATEScore	ssgsea_rna_c4	ssgsea_rna_c3	ssgsea_rna_c2	ImmuneClustC4
C01CO005	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C01CO006	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C01CO008	Inflammatory	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C01CO013	Wound_Healing	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C01CO014	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C01CO015	Lymphocyte_Depleted	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C01CO019	Wound_Healing	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C01CO022	Lymphocyte_Depleted	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C01OV007	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C01OV017	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C01OV018	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C01OV023	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C01OV026	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C01OV030	Inflammatory	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C01OV039	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C01OV041	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C01OV047	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C02OV005	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C02OV006	Lymphocyte_Depleted	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C02OV008	Lymphocyte_Depleted	False	True	False	2_c4	2_c3	0_c2	ImmuneCold
C02OV015	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C02OV022	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C02OV023	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C02OV029	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C02OV032	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C02OV036	IFN-Gamma	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C02OV041	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C02OV044	Lymphocyte_Depleted	False	True	False	2_c4	2_c3	0_c2	ImmuneCold
C02OV046	IFN-Gamma	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C04OV001	IFN-Gamma	True	False	False	0_c4	1_c3	0_c2	ImmuneCool
C04OV004	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C04OV005	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C04OV008	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C04OV011	Wound_Healing	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C04OV012	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C04OV013	IFN-Gamma	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C04OV017	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C04OV018	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C04OV021	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C04OV023	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C04OV024	Lymphocyte_Depleted	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C04OV027	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C04OV028	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C04OV031	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C04OV033	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C04OV036	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C04OV037	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C04OV039	Wound_Healing	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C04OV040	IFN-Gamma	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C04OV044	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C04OV045	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C04OV048	Lymphocyte_Depleted	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C04OV049	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C04OV050	Lymphocyte_Depleted	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C04OV051	IFN-Gamma	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C04OV053	IFN-Gamma	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C04OV054	IFN-Gamma	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C04OV055	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C04OV057	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C04OV058	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C04OV063	IFN-Gamma	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C05CO002	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C05CO003	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C05CO006	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C05CO011	IFN-Gamma	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C05CO015	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C05CO020	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C05CO026	Wound_Healing	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C05CO028	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C05CO029	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C05CO032	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C05CO033	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C05CO034	Lymphocyte_Depleted	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C05CO035	Wound_Healing	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C05CO037	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C05CO039	IFN-Gamma	False	True	False	1_c4	0_c3	1_c2	ImmuneWarm
C05CO041	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C05CO044	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C05CO045	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C05CO047	Lymphocyte_Depleted	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C05CO048	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C05CO049	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C05CO050	Wound_Healing	False	True	False	1_c4	0_c3	1_c2	ImmuneWarm
C05CO053	IFN-Gamma	False	True	False	1_c4	0_c3	1_c2	ImmuneWarm
C05CO054	IFN-Gamma	False	True	False	1_c4	0_c3	1_c2	ImmuneWarm
C06CO001	Wound_Healing	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C06CO002	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C09CO005	Inflammatory	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C09CO006	Lymphocyte_Depleted	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C09CO008	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C09CO011	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C09CO013	Wound_Healing	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C09CO014	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C09CO015	Wound_Healing	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C09CO018	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C09CO019	Wound_Healing	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C09CO022	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO005	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO007	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO008	Lymphocyte_Depleted	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO010	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO018	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO019	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO020	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO021	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO022	Wound_Healing	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO027	IFN-Gamma	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C11CO030	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO031	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO032	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO033	TGF-Beta	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO036	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO037	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO039	IFN-Gamma	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C11CO042	Wound_Healing	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C11CO043	Wound_Healing	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C11CO044	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO045	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO047	Wound_Healing	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C11CO048	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO051	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO052	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO053	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO054	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO057	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO058	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO061	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO062	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO070	Lymphocyte_Depleted	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C11CO072	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO077	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C11CO079	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C11OV002	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C13OV003	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C14CO003	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C14CO005	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C14OV011	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C15CO001	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C15CO002	Wound_Healing	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C15OV001	TGF-Beta	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C16CO002	Lymphocyte_Depleted	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C16CO003	Lymphocyte_Depleted	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C16CO006	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C16CO011	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C17OV001	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C17OV002	Lymphocyte_Depleted	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C17OV010	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C17OV011	Inflammatory	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C17OV013	Inflammatory	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C17OV014	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C17OV015	Inflammatory	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C17OV017	Lymphocyte_Depleted	False	True	False	2_c4	2_c3	0_c2	ImmuneCold
C17OV018	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C17OV025	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C17OV027	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C17OV028	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C17OV029	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C17OV030	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
