Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
CDK1	phosphorylates	MAP7	S209	CDK1-G	-3.185387012317032	0.041362235008575	MAP7-P-S209-2	-3.7442948724708356	0.0236523010576449
CHEK1	phosphorylates	TFDP1	S23	CHEK1-G	-3.401727698214006	0.0333156608013706	TFDP1-P-S23	-2.934941672642535	0.0531338183712354
CDK1	phosphorylates	CALD1	S724;T638;S504;S744;S524;S469;S514;S489;T403;T469;S498;T730;T500;S509;S759;S529;T409;T475;S463;T377;T495;S483;S494;T383	CDK1-G	-3.185387012317032	0.041362235008575	CALD1-P-T492-S498	-2.914545556332466	0.0542286693095616
CDK1	phosphorylates	TP53BP1	S1678;T1609	CDK1-G	-3.185387012317032	0.041362235008575	TP53BP1-P-T1609	-2.9030808613791623	0.0548539620069511
CDK2	phosphorylates	TP53BP1	T1609;T1612	CDK2-G	-2.7754312978249076	0.0623225912942161	TP53BP1-P-T1609	-2.9030808613791623	0.0548539620069511
CDK1	phosphorylates	NCKAP5L	S436;S447;S767;S577;S567;S477;S466;S763;S573;S571;S440;S451;S473;S470	CDK1-G	-3.185387012317032	0.041362235008575	NCKAP5L-P-S477	-2.7465357473193626	0.0641497075152292
FN1	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	FN1-G	9.076137083207312	1.143625282191E-4	PTK2-P-Y576-2	2.2539913318274207	0.104979379709715
WNT5A	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	WNT5A-G	4.270732013999426	0.01397155203745	PTK2-P-Y576-2	2.2539913318274207	0.104979379709715
GFRA1	phosphorylates	PTK2	Y576;Y861;Y925	GFRA1-G	4.073097452689106	0.0170245739420644	PTK2-P-Y576-2	2.2539913318274207	0.104979379709715
CNGB3	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	CNGB3-G	4.511872862540322	0.010977880848883	PTK2-P-Y576-2	2.2539913318274207	0.104979379709715
FLNA	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	FLNA-G	4.384121188135664	0.0124738454823075	PTK2-P-Y576-2	2.2539913318274207	0.104979379709715
TLN1	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	TLN1-G	3.389549642841515	0.0337238612624538	PTK2-P-Y576-2	2.2539913318274207	0.104979379709715
HGF	phosphorylates	PTK2	Y397;Y576;Y577;Y194	HGF-G	3.9962091283468766	0.0183852028958106	PTK2-P-Y576-2	2.2539913318274207	0.104979379709715
