Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
CDK1	phosphorylates	MAP7	S209	CDK1-G	-3.9506562910270393	0.0192420692331489	MAP7-P-S209-2	-3.3778482739111095	0.0341207944063582
FN1	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	FN1-G	17.423275661349425	2.71123725564748E-8	PTK2-P-Y576-2	2.5744404603354294	0.0761964458065946
RAP1B	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	RAP1B-G	4.486761781884284	0.0112570375953492	PTK2-P-Y576-2	2.5744404603354294	0.0761964458065946
WNT5A	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	WNT5A-G	3.3677958479784937	0.0344655209309015	PTK2-P-Y576-2	2.5744404603354294	0.0761964458065946
GFRA1	phosphorylates	PTK2	Y576;Y861;Y925	GFRA1-G	5.260979311269081	0.0051902193887148	PTK2-P-Y576-2	2.5744404603354294	0.0761964458065946
CNGB3	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	CNGB3-G	6.583775646952718	0.0013826191456866	PTK2-P-Y576-2	2.5744404603354294	0.0761964458065946
FLNA	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	FLNA-G	8.144754881521457	2.902537894895E-4	PTK2-P-Y576-2	2.5744404603354294	0.0761964458065946
FGA	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	FGA-G	4.304333640072032	0.0135098849890219	PTK2-P-Y576-2	2.5744404603354294	0.0761964458065946
FGB	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	FGB-G	4.469037338316459	0.0114583410487709	PTK2-P-Y576-2	2.5744404603354294	0.0761964458065946
TLN1	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	TLN1-G	8.263214592638665	2.578288429421E-4	PTK2-P-Y576-2	2.5744404603354294	0.0761964458065946
CDK1	phosphorylates	NCKAP5L	S436;S447;S767;S577;S567;S477;S466;S763;S573;S571;S440;S451;S473;S470	CDK1-G	-3.9506562910270393	0.0192420692331489	NCKAP5L-P-S477	-2.5744404603354294	0.0761964458065946
HGF	phosphorylates	PTK2	Y397;Y576;Y577;Y194	HGF-G	3.355093830674936	0.0349060947386622	PTK2-P-Y576-2	2.5744404603354294	0.0761964458065946
VWF	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	VWF-G	4.119140924050899	0.0162584757096478	PTK2-P-Y576-2	2.5744404603354294	0.0761964458065946
FGG	phosphorylates	PTK2	Y397;Y576;Y861;Y577;Y925;Y407	FGG-G	5.136334707284949	0.0058791992560735	PTK2-P-Y576-2	2.5744404603354294	0.0761964458065946
GNAZ	phosphorylates	PTK2	Y576;Y861;Y577;Y925;Y407	GNAZ-G	2.405411215921497	0.0902283846316632	PTK2-P-Y576-2	2.5744404603354294	0.0761964458065946
