Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
FAM20C	phosphorylates	LGALS1	S30	FAM20C-inactive-by-network-sig	-1.0		LGALS1-P-S30	-6.658703678391586	0.001282808225024
FAM20C	phosphorylates	FBN1	S2702	FAM20C-inactive-by-network-sig	-1.0		FBN1-P-S2702	-6.422643929821526	0.0016243558694373
PRKD1	phosphorylates	SSH1	S978;S402;S937	PRKD1-G	-8.641368940995465	1.766449201779E-4	SSH1-P-S937	-5.804830879865284	0.0030129642629246
PRKD1	phosphorylates	SSH1	S978;S402;S937	PRKD1-P-S205	-3.422427472376961	0.0326331227098913	SSH1-P-S937	-5.804830879865284	0.0030129642629246
PRKD1	phosphorylates	SSH1	S978;S402;S937	PRKD1-P-S910	-2.433804443495808	0.0877025377334043	SSH1-P-S937	-5.804830879865284	0.0030129642629246
PAK2	phosphorylates	MYLK	S1208;S1759;S1760	PAK2-P-S197	-3.3295992737490496	0.0358074511786986	MYLK-P-S1760	-4.202868362491484	0.0149526256995282
PAK2	phosphorylates	MYLK	S1208;S1759;S1760	PAK2-inactive-by-network-sig	-1.0		MYLK-P-S1759	-5.311434833813082	0.0049348409587824
PAK2	phosphorylates	MYLK	S1208;S1759;S1760	PAK2-P-S141	-2.51889111055659	0.0805488770443742	MYLK-P-S1759	-5.311434833813082	0.0049348409587824
PAK2	phosphorylates	MYLK	S1208;S1759;S1760	PAK2-P-S197	-3.3295992737490496	0.0358074511786986	MYLK-P-S1759	-5.311434833813082	0.0049348409587824
PAK2	phosphorylates	MYLK	S1208;S1759;S1760	PAK2-inactive-by-network-sig	-1.0		MYLK-P-S1760	-4.202868362491484	0.0149526256995282
PAK2	phosphorylates	MYLK	S1208;S1759;S1760	PAK2-P-S141	-2.51889111055659	0.0805488770443742	MYLK-P-S1760	-4.202868362491484	0.0149526256995282
CDK6	phosphorylates	RUNX1	S249;S21;S424;S303;S48;S276;S397;T300;S266;T273;S293	CDK6-G	-5.019949188223151	0.0066048623055782	RUNX1-P-T14-S21	-4.189391949342234	0.015155497382079
CDK6	phosphorylates	RUNX1	S249;S21;S424;S303;S48;S276;S397;T300;S266;T273;S293	CDK6-G	-5.019949188223151	0.0066048623055782	RUNX1-P-S21	-5.093018321896669	0.0061394610233056
CDK6	phosphorylates	ZYX	T270;S259;S267;S344;S202;T179;T274;S281;S308	CDK6-G	-5.019949188223151	0.0066048623055782	ZYX-P-S281	-2.5610329035450654	0.0772249333264679
CDK6	phosphorylates	ZYX	T270;S259;S267;S344;S202;T179;T274;S281;S308	CDK6-G	-5.019949188223151	0.0066048623055782	ZYX-P-T270	-5.686413482696931	0.0033917357000795
CDK6	phosphorylates	ZYX	T270;S259;S267;S344;S202;T179;T274;S281;S308	CDK6-G	-5.019949188223151	0.0066048623055782	ZYX-P-S344	-3.990398633801753	0.0184923409781377
PAK2	phosphorylates	VIM	S66;S26;S39;S51;S73	PAK2-P-S141	-2.51889111055659	0.0805488770443742	VIM-P-S39	-4.5968226235846705	0.0100838250045064
PAK2	phosphorylates	VIM	S66;S26;S39;S51;S73	PAK2-P-S197	-3.3295992737490496	0.0358074511786986	VIM-P-S39	-4.5968226235846705	0.0100838250045064
PAK2	phosphorylates	VIM	S66;S26;S39;S51;S73	PAK2-P-S141	-2.51889111055659	0.0805488770443742	VIM-P-S51	-2.651954316533184	0.0705132730597715
PAK2	phosphorylates	VIM	S66;S26;S39;S51;S73	PAK2-inactive-by-network-sig	-1.0		VIM-P-S39	-4.5968226235846705	0.0100838250045064
PAK2	phosphorylates	VIM	S66;S26;S39;S51;S73	PAK2-P-S197	-3.3295992737490496	0.0358074511786986	VIM-P-S51	-2.651954316533184	0.0705132730597715
PAK2	phosphorylates	VIM	S66;S26;S39;S51;S73	PAK2-inactive-by-network-sig	-1.0		VIM-P-S51	-2.651954316533184	0.0705132730597715
CDK6	phosphorylates	PPP1R13L	S316;S358;S567;S113;S597;S158;S84;S53;S280;T123;S120;S395;S110;S187;S183	CDK6-G	-5.019949188223151	0.0066048623055782	PPP1R13L-P-S113	-4.284481280741104	0.0137807680173947
CAMK2G	phosphorylates	MYLK	S1760	CAMK2G-G	-4.171606011537556	0.0154274635330045	MYLK-P-S1760	-4.202868362491484	0.0149526256995282
CAMK2G	phosphorylates	MYLK	S1760	CAMK2G-P-T287	-2.4859624080692346	0.0832453999029552	MYLK-P-S1760	-4.202868362491484	0.0149526256995282
FAM20C	phosphorylates	APOA2	S54;S68	FAM20C-inactive-by-network-sig	-1.0		APOA2-P-S68	-4.098825332090404	0.0165921542300693
NRP1	phosphorylates	DPYSL3	S522	NRP1-G	-9.144232573514241	1.06834187657E-4	DPYSL3-P-S522	-4.0254971876706	0.0178545448865842
PLXNA1	phosphorylates	DPYSL3	S522	PLXNA1-G	-6.209668853252178	0.0020099029266987	DPYSL3-P-S522	-4.0254971876706	0.0178545448865842
CAMK2D	phosphorylates	SSH1	S978;S937	CAMK2D-P-T287	-3.990398633801753	0.0184923409781377	SSH1-P-S937	-5.804830879865284	0.0030129642629246
FAM20C	phosphorylates	ITIH2	S886;S466;S60	FAM20C-inactive-by-network-sig	-1.0		ITIH2-P-S60	-3.9330407984074793	0.0195840308300333
PRKG1	phosphorylates	LIPE	S853	PRKG1-G	-24.624831148178462	2.0210251339884297E-11	LIPE-P-S853	-3.7762477070757803	0.0229084897181351
ROCK2	phosphorylates	VIM	S39;S72	ROCK2-G	-3.5012512053596714	0.0301596239217033	VIM-P-S39	-4.5968226235846705	0.0100838250045064
FAM20C	phosphorylates	NUCB1	S86;S369;T148	FAM20C-inactive-by-network-sig	-1.0		NUCB1-P-S369	-3.129200383133099	0.0437527687208425
CAMK2D	phosphorylates	LIMA1	S369;S132;T592	CAMK2D-P-T287	-3.990398633801753	0.0184923409781377	LIMA1-P-S369	-3.1215105045590383	0.0440905191651545
FAM20C	phosphorylates	FSTL1	S165	FAM20C-inactive-by-network-sig	-1.0		FSTL1-P-S165	-3.062903585575123	0.0467517502439432
MAP3K7	phosphorylates	PPP1R13L	S526;S225;T341;S395;S187;S220;S81;S84;S183	MAP3K7-G	-3.7994607817532176	0.0223828378373513	PPP1R13L-P-T341	-3.062903585575123	0.0467517502439432
FAM20C	phosphorylates	ALB	T107;S89;S29;S82	FAM20C-inactive-by-network-sig	-1.0		ALB-P-S82	-3.0504620541344734	0.0473370470589669
FAM20C	phosphorylates	KNG1	S332	FAM20C-inactive-by-network-sig	-1.0		KNG1-P-S332	-3.009005838440999	0.0493407070196316
GULP1	phosphorylates	LRP1	S4517;T4460;S4520;S4523	GULP1-G	-4.375098727654883	0.0125868995060183	LRP1-P-S4523	-3.0068705455725304	0.0494461764434363
GULP1	phosphorylates	LRP1	S4517;T4460;S4520;S4523	GULP1-G	-4.375098727654883	0.0125868995060183	LRP1-P-S4520	-2.3640063765645434	0.0940426969879209
GH2	phosphorylates	STAT5A	Y694	GH2-inactive-by-network-sig	-1.0		STAT5A-P-Y694	-2.9473247715253876	0.052479914080912
GH1	phosphorylates	STAT5A	Y694	GH1-inactive-by-network-sig	-1.0		STAT5A-P-Y694	-2.9473247715253876	0.052479914080912
PLCG1	phosphorylates	STAT5A	Y694	PLCG1-G	-8.236813871449307	2.647263594189E-4	STAT5A-P-Y694	-2.9473247715253876	0.052479914080912
CXCL12	phosphorylates	STAT5A	Y694	CXCL12-G	-11.64765948647536	8.73948332239231E-6	STAT5A-P-Y694	-2.9473247715253876	0.052479914080912
PDGFRB	phosphorylates	STAT5A	Y694	PDGFRB-G	-18.801433936089484	6.833465241041061E-9	STAT5A-P-Y694	-2.9473247715253876	0.052479914080912
FAM20C	phosphorylates	VCAN	S2116	FAM20C-inactive-by-network-sig	-1.0		VCAN-P-S2116	-2.791577125271966	0.0613244213133919
CAMK2D	phosphorylates	VIM	S83	CAMK2D-P-T287	-3.990398633801753	0.0184923409781377	VIM-P-S83	-2.73380366165465	0.0649716887504523
FAM20C	phosphorylates	LAMB1	S1666;S1682;S1496;S1478	FAM20C-inactive-by-network-sig	-1.0		LAMB1-P-S1666	-2.651954316533184	0.0705132730597715
PAK2	phosphorylates	PXN	S274;S272	PAK2-P-S141	-2.51889111055659	0.0805488770443742	PXN-P-S272	-2.631032335848047	0.072004091452744
PAK2	phosphorylates	PXN	S274;S272	PAK2-P-S197	-3.3295992737490496	0.0358074511786986	PXN-P-S272	-2.631032335848047	0.072004091452744
PAK2	phosphorylates	PXN	S274;S272	PAK2-inactive-by-network-sig	-1.0		PXN-P-S272	-2.631032335848047	0.072004091452744
FAM20C	phosphorylates	APOB	S4048	FAM20C-inactive-by-network-sig	-1.0		APOB-P-S4048	-2.6273790764531992	0.0722676221562237
MAPK1	phosphorylates	PPP1R13L	S316;S358;S567;S113;S597;S158;S53;S280;T123;S120;S395;S110;S187;S183	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853	PPP1R13L-P-S113	-4.284481280741104	0.0137807680173947
TLN1	phosphorylates	MAPK1	T185;Y187	TLN1-G	-14.533041939143642	4.87955346114542E-7	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
MAPK1	phosphorylates	PHLDB1	S443;S461	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853	PHLDB1-P-S461	-2.652736677010696	0.070458127836324
MAPK1	phosphorylates	PHLDB1	S443;S461	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853	PHLDB1-P-S443	-5.438256759526641	0.0043470546310434
QKI	phosphorylates	MAPK1	T185;Y187	QKI-G	-6.022161771062383	0.0024244228787459	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
GH1	phosphorylates	MAPK1	T185;Y187	GH1-inactive-by-network-sig	-1.0		MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
GH2	phosphorylates	MAPK1	T185;Y187	GH2-inactive-by-network-sig	-1.0		MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
FN1	phosphorylates	MAPK1	T185;Y187	FN1-G	-23.062014892510394	9.64482141547392E-11	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
AP3B1	phosphorylates	MAPK1	T185;Y187	AP3B1-G	-5.814508593080272	0.0029839462991073	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
MAPK1	phosphorylates	GJA1	S279;S255;S282	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853	GJA1-P-S255	-5.499111510252235	0.0040904041065438
MPRIP	phosphorylates	MAPK1	T185;Y187	MPRIP-G	-13.366313638964042	1.56705320936986E-6	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
VCL	phosphorylates	MAPK1	T185;Y187	VCL-P-Y822	-8.035737457185595	3.236857380425E-4	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
VCL	phosphorylates	MAPK1	T185;Y187	VCL-G	-13.366313638964042	1.56705320936986E-6	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
GNB1	phosphorylates	MAPK1	T190;T185;Y187	GNB1-G	-3.17195072343502	0.041921740367325	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
MAPK1	phosphorylates	APBB1	S347;S287;S175;T709	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853	APBB1-P-T709	-2.6325485009251204	0.071895004082005
VWF	phosphorylates	MAPK1	T185;Y187	VWF-G	-5.348072307184923	0.004757312803713	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
FGG	phosphorylates	MAPK1	T185;Y187	FGG-G	-6.324481628926186	0.0017918948763053	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
FGA	phosphorylates	MAPK1	T185;Y187	FGA-G	-4.580271093798783	0.0102521166344025	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
FGB	phosphorylates	MAPK1	T185;Y187	FGB-G	-5.301544837607539	0.0049838886581327	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
LMNA	phosphorylates	MAPK1	T185;Y187	LMNA-G	-2.475751452748245	0.0840997695036605	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
LMNA	phosphorylates	MAPK1	T185;Y187	LMNA-P-S390	-3.891341939902411	0.0204179280130561	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
RAP1B	phosphorylates	MAPK1	T185;Y187	RAP1B-G	-4.755109143900019	0.0086076051744075	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853
MAPK1	phosphorylates	MYLK	S1779	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853	MYLK-P-S1779	-2.6063463028497327	0.0738037081391732
TBK1	phosphorylates	PPP1R13L	T308;S134;S332;T341;S152	TBK1-G	-2.5937573817264767	0.0747386900583222	PPP1R13L-P-T341	-3.062903585575123	0.0467517502439432
CDK9	phosphorylates	NCOA2	S469;S487;S499;S493	CDK9-G	3.301493643775415	0.0368281182100089	NCOA2-P-S493	2.552919082175205	0.0778540715467881
NCK2	phosphorylates	PAK2	T402;Y130;S141	NCK2-G	-5.060488978273661	0.0063424574306603	PAK2-P-S141	-2.51889111055659	0.0805488770443742
EPHB3	phosphorylates	PAK2	T402;S141	EPHB3-G	-2.866309953165412	0.0569085347685709	PAK2-P-S141	-2.51889111055659	0.0805488770443742
EPHB2	phosphorylates	PAK2	T402;S141	EPHB2-G	-2.5353729230751116	0.0792321662514875	PAK2-P-S141	-2.51889111055659	0.0805488770443742
NRP1	phosphorylates	PAK2	T402;S141	NRP1-G	-9.144232573514241	1.06834187657E-4	PAK2-P-S141	-2.51889111055659	0.0805488770443742
PLXNA1	phosphorylates	PAK2	T402;S141	PLXNA1-G	-6.209668853252178	0.0020099029266987	PAK2-P-S141	-2.51889111055659	0.0805488770443742
PLCG1	phosphorylates	PAK2	T402;S141	PLCG1-G	-8.236813871449307	2.647263594189E-4	PAK2-P-S141	-2.51889111055659	0.0805488770443742
CDK6	phosphorylates	FLNA	S1459;S2152	CDK6-G	-5.019949188223151	0.0066048623055782	FLNA-P-S2152	-2.5136965066975163	0.0809683851979192
PPP2R5C	dephosphorylates	RIF1	S2205	PPP2R5C-G	-2.4999377361792643	0.0820901097086544	RIF1-P-S2205	2.6325485009251204	0.071895004082005
MAPK1	phosphorylates	CDC42EP1	S113;S195	MAPK1-P-T185-Y187	-2.6232497709993052	0.0725666542149853	CDC42EP1-P-S195	-2.4887126246891844	0.0830167715534572
MAPK7	phosphorylates	GJA1	S255;S282	MAPK7-G	-2.4686269807981556	0.0847010754025768	GJA1-P-S255	-5.499111510252235	0.0040904041065438
PLXNA3	phosphorylates	DPYSL3	S522	PLXNA3-G	-2.382661791516547	0.0923045547441893	DPYSL3-P-S522	-4.0254971876706	0.0178545448865842
PLXNA3	phosphorylates	PAK2	T402;S141	PLXNA3-G	-2.382661791516547	0.0923045547441893	PAK2-P-S141	-2.51889111055659	0.0805488770443742
MAPK3	phosphorylates	MYLK	S1779	MAPK3-P-T202-Y204	-2.3557698948088084	0.0948204766328309	MYLK-P-S1779	-2.6063463028497327	0.0738037081391732
TLN1	phosphorylates	MAPK3	Y204;T202	TLN1-G	-14.533041939143642	4.87955346114542E-7	MAPK3-P-T202-Y204	-2.3557698948088084	0.0948204766328309
GH1	phosphorylates	MAPK3	Y204;T202	GH1-inactive-by-network-sig	-1.0		MAPK3-P-T202-Y204	-2.3557698948088084	0.0948204766328309
GH2	phosphorylates	MAPK3	Y204;T202	GH2-inactive-by-network-sig	-1.0		MAPK3-P-T202-Y204	-2.3557698948088084	0.0948204766328309
