Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
FAM20C	phosphorylates	VCAN	S2116	FAM20C-inactive-by-network-sig	-1.0		VCAN-P-S2116	-7.001224057774199	9.107664522111E-4
FAM20C	phosphorylates	FBN1	S2702	FAM20C-inactive-by-network-sig	-1.0		FBN1-P-S2702	-6.256209590993587	0.0019185039469028
GULP1	phosphorylates	LRP1	S4517;T4460;S4520;S4523	GULP1-G	-7.668756804611559	4.671982815662E-4	LRP1-P-S4523	-5.031790872556357	0.0065271108736071
GULP1	phosphorylates	LRP1	S4517;T4460;S4520;S4523	GULP1-G	-7.668756804611559	4.671982815662E-4	LRP1-P-S4520	-3.147801328299316	0.042946448278609
PRKD1	phosphorylates	SSH1	S978;S402;S937	PRKD1-G	-8.326447063921659	2.420304377424E-4	SSH1-P-S937	-4.942025008896083	0.0071401249063573
PRKD1	phosphorylates	SSH1	S978;S402;S937	PRKD1-P-S205	-2.550241274260175	0.0780628291774672	SSH1-P-S937	-4.942025008896083	0.0071401249063573
PRKD1	phosphorylates	SSH1	S978;S402;S937	PRKD1-P-S910	-2.5115906309746565	0.0811390742164771	SSH1-P-S937	-4.942025008896083	0.0071401249063573
NRP1	phosphorylates	DPYSL3	S522	NRP1-G	-8.660241706232625	1.733424039002E-4	DPYSL3-P-S518-S522	-3.361537240268379	0.0346819035265119
NRP1	phosphorylates	DPYSL3	S522	NRP1-G	-8.660241706232625	1.733424039002E-4	DPYSL3-P-S522	-4.86658230414215	0.0076996353826818
PLXNA1	phosphorylates	DPYSL3	S522	PLXNA1-G	-6.750972507886847	0.0011697414846383	DPYSL3-P-S522	-4.86658230414215	0.0076996353826818
PLXNA1	phosphorylates	DPYSL3	S522	PLXNA1-G	-6.750972507886847	0.0011697414846383	DPYSL3-P-S518-S522	-3.361537240268379	0.0346819035265119
PLXNA3	phosphorylates	DPYSL3	S522	PLXNA3-G	-6.612035708857413	0.0013440931800939	DPYSL3-P-S522	-4.86658230414215	0.0076996353826818
PLXNA3	phosphorylates	DPYSL3	S522	PLXNA3-G	-6.612035708857413	0.0013440931800939	DPYSL3-P-S518-S522	-3.361537240268379	0.0346819035265119
AURKB	phosphorylates	CDCA2	S977;S893;S981	AURKB-G	5.75954625473799	0.0031525417248343	CDCA2-P-S977	4.687478223546135	0.0092098821603584
CAMK2G	phosphorylates	MYLK	S1760	CAMK2G-G	-4.580367002681921	0.0102511334124969	MYLK-P-S1759-S1760	-3.0041765481472926	0.0495795639075322
CAMK2G	phosphorylates	MYLK	S1760	CAMK2G-G	-4.580367002681921	0.0102511334124969	MYLK-P-S1760	-4.737312050066559	0.0087621668258963
